"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"BACH2"	"EOMES"	"BCL2A1"	"BCL2A1"	"ATG7"	"CCL4"	"ARPC5L"	"BCL2A1"	"ACAP1"	"ARPC5L"	"ARPC5L"	"CCR7"	"BLVRA"	"AIF1"	"CD93"	"ASPN"	"AIF1"	"AMPD1"	"ACAP1"
"BLK"	"FGFBP2"	"BIRC3"	"CCL4"	"BCL2A1"	"CD84"	"CCL4"	"C5AR1"	"AIM2"	"BIN2"	"CCL1"	"CD2"	"CCL1"	"CCDC88A"	"CDH5"	"COL14A1"	"AKAP13"	"CCDC88A"	"AIF1"
"CCL17"	"GZMA"	"BLVRA"	"CCR1"	"BLVRA"	"CXCL3"	"CCR5"	"CLC"	"ARHGAP15"	"CCL4"	"CCL4"	"CD247"	"CCL19"	"CCL8"	"EMCN"	"COL3A1"	"C5AR1"	"CD19"	"AIM2"
"CD19"	"GZMB"	"CCL1"	"CD69"	"C5AR1"	"KLRG1"	"CD2"	"CLEC4E"	"CCL4"	"CCR5"	"CCR2"	"CD27"	"CCL22"	"CFP"	"ERG"	"DCN"	"CCR2"	"CD27"	"AKAP13"
"CD1A"	"GZMH"	"CCL17"	"CLC"	"CCDC88A"	"LCP2"	"CD244"	"CREB5"	"CCR2"	"CCR7"	"CCR5"	"CD37"	"CCL24"	"CLEC10A"	"PCDH12"	"GREM1"	"CD1E"	"CD38"	"AMPD1"
"CD1C"	"KLRB1"	"CCL19"	"CSF2RB"	"CCL1"	"MMP9"	"CD247"	"CSF2RB"	"CCR7"	"CD2"	"CD2"	"CD3E"	"CCL4"	"CLEC4A"	"RAMP3"	"ISLR"	"CD244"	"CD79A"	"ARHGAP15"
"CD37"	"KLRD1"	"CCL22"	"DEFA4"	"CCL19"	"PTGDR"	"CRTAM"	"CSF3R"	"CD2"	"CD244"	"CD244"	"CD5"	"CCL8"	"FGR"	"TFEC"	"ITIH3"	"CD37"	"CD79B"	"ARPC5L"
"CD53"	"KLRK1"	"CCL24"	"DPEP2"	"CCL22"	"SAMSN1"	"CST7"	"CXCR1"	"CD247"	"CD247"	"CD247"	"CD7"	"CCR1"	"HCK"	""	"LMOD1"	"CFP"	"CYBA"	"ATG7"
"CD69"	"NKG7"	"CCL4"	"EMR3"	"CCL24"	"STAP1"	"CX3CR1"	"FAM65B"	"CD27"	"CD27"	"CD300A"	"CISH"	"CCR7"	"HLA-DQA1"	""	"PRKG1"	"CLEC10A"	"DOK3"	"BACH2"
"CD79A"	"PRF1"	"CCL8"	"FCER1A"	"CCL8"	""	"CXCR6"	"FCAR"	"CD37"	"CD300A"	"CHST12"	"CTLA4"	"CD38"	"ITGAX"	""	"SGCD"	"CLEC4A"	"ENTPD1"	"BCL2A1"
"CD79B"	"RORA"	"CCR2"	"GPR183"	"CCR1"	""	"EOMES"	"FCGR3B"	"CD3E"	"CD3E"	"CST7"	"CXCR6"	"CD40"	"LILRA2"	""	"TCF21"	"CLEC4E"	"FCRL2"	"BIN2"
"CD80"	"RUNX3"	"CCR5"	"GPR65"	"CD80"	""	"FASLG"	"FPR1"	"CD3G"	"CD3G"	"CTLA4"	"FAIM3"	"CD80"	"MMP9"	""	"WISP1"	"CLEC5A"	"HSPA6"	"BIRC3"
"CR1"	""	"CCR7"	"MMP25"	"CD84"	""	"GZMA"	"FPR2"	"CD5"	"CD7"	"CXCR6"	"GPR171"	"CD84"	"MS4A6A"	""	"WNT2"	"CLEC7A"	"IRF4"	"BLK"
"FAIM3"	""	"CD1A"	"NCF2"	"CHI3L1"	""	"GZMB"	"HCK"	"CD6"	"CD8B"	"FASLG"	"HS3ST3B1"	"CLEC4E"	"NCF2"	""	""	"CSF1R"	"KIAA0125"	"BLVRA"
"FAM65B"	""	"CD1B"	"RGS1"	"CLEC4E"	""	"GZMH"	"HPSE"	"CD69"	"CHST12"	"GPR15"	"ICOS"	"CSF1"	"NCKAP1L"	""	""	"CSF3R"	"PNOC"	"C5AR1"
