"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"BACH2"	"CTSW"	"BCL2A1"	"BCL2A1"	"BCL2A1"	"CCL4"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"BCL11B"	"APOBEC3G"	"CCR3"	"CCL19"	"AIF1"	"CD93"	"ABCA6"	"AIF1"	"AMPD1"	"ACAP1"
"BANK1"	"DUSP2"	"BIRC3"	"CCL4"	"BHLHE41"	"CD84"	"CCL4"	"C5AR1"	"AIM2"	"BIN2"	"CCL4"	"CCR7"	"CCL22"	"CCDC88A"	"CDH5"	"ASPN"	"AKAP13"	"CCDC88A"	"AIF1"
"BCL11A"	"EOMES"	"CCL17"	"CCR1"	"C5AR1"	"CXCL3"	"CCR5"	"CLEC4E"	"ARHGAP15"	"CCL4"	"CCR2"	"CD2"	"CCL24"	"CCL8"	"EMCN"	"COL14A1"	"C5AR1"	"CD19"	"AIM2"
"BLK"	"FGFBP2"	"CCL19"	"CCR3"	"CCDC88A"	"KLRG1"	"CD160"	"CREB5"	"BCL11B"	"CCR5"	"CCR3"	"CD247"	"CCL4"	"CFP"	"ERG"	"COL3A1"	"CCR2"	"CD27"	"AKAP13"
"CCL17"	"GZMA"	"CCL22"	"CD69"	"CCL19"	"LCP2"	"CD2"	"CSF2RB"	"CCL4"	"CCR7"	"CCR5"	"CD27"	"CCL8"	"CLEC10A"	"KDR"	"DCN"	"CD1E"	"CD38"	"AMPD1"
"CD19"	"GZMB"	"CCL24"	"CSF2RB"	"CCL22"	"PTGDR"	"CD244"	"CXCR1"	"CCR2"	"CD160"	"CD160"	"CD37"	"CCR1"	"CLEC4A"	"RAMP3"	"GREM1"	"CD244"	"CD79A"	"APOBEC3G"
"CD1A"	"GZMH"	"CCL4"	"DPEP2"	"CCL24"	"SAMSN1"	"CD247"	"FAM65B"	"CCR7"	"CD2"	"CD2"	"CD3E"	"CCR7"	"FDX1"	"TFEC"	"ISLR"	"CD37"	"CD79B"	"ARHGAP15"
"CD1C"	"KLRB1"	"CCL8"	"EMR3"	"CCL8"	"STAP1"	"CRTAM"	"FCAR"	"CD2"	"CD244"	"CD244"	"CD5"	"CD38"	"FGR"	""	"ITIH3"	"CFP"	"CYBA"	"BACH2"
"CD37"	"KLRD1"	"CCR2"	"FCER1A"	"CCR1"	""	"CST7"	"FPR1"	"CD247"	"CD247"	"CD247"	"CD7"	"CD40"	"HCK"	""	"LMOD1"	"CLEC10A"	"DOK3"	"BANK1"
"CD53"	"KLRF1"	"CCR5"	"GMIP"	"CD80"	""	"CTSW"	"FPR2"	"CD27"	"CD27"	"CD300A"	"CTLA4"	"CD80"	"HLA-DQA1"	""	"SGCD"	"CLEC4A"	"ENTPD1"	"BCL11A"
"CD69"	"KLRK1"	"CCR7"	"GPR183"	"CD84"	""	"CX3CR1"	"HCK"	"CD37"	"CD300A"	"CD96"	"CXCR6"	"CD84"	"ITGAX"	""	"TCF21"	"CLEC4E"	"FCRL2"	"BCL11B"
"CD79A"	"NKG7"	"CD1A"	"GPR65"	"CHI3L1"	""	"CXCR6"	"IL18RAP"	"CD3E"	"CD3E"	"CHST12"	"FAIM3"	"CLEC4E"	"LILRA2"	""	"WISP1"	"CLEC7A"	"IRF4"	"BCL2A1"
"CD79B"	"PRF1"	"CD1B"	"LRMP"	"CLEC4E"	""	"EOMES"	"LILRA1"	"CD3G"	"CD3G"	"CST7"	"GPR171"	"CSF1"	"MMP19"	""	"WNT2"	"CSF1R"	"KIAA0125"	"BHLHE41"
"CD80"	"RORA"	"CD1C"	"NCF2"	"CSF1"	""	"FASLG"	"LILRA2"	"CD5"	"CD7"	"CTLA4"	"HS3ST3B1"	"CSF1R"	"MS4A6A"	""	""	"CX3CR1"	"PNOC"	"BIN2"
"CR1"	"RUNX3"	"CD1E"	"RGS1"	"CSF1R"	""	"GZMA"	"LILRB2"	"CD6"	"CD8B"	"CXCR6"	"ICOS"	"CXCL10"	"NCF2"	""	""	"CYBB"	"RGS1"	"BIRC3"
"FAIM3"	""	"CD209"	"RNASE2"	"CXCL5"	""	"GZMB"	"LST1"	"CD69"	"CD96"	"FASLG"	"IL10RA"	"CXCL11"	"NCKAP1L"	""	""	"DOK3"	"TNFRSF17"	"BLK"
