"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"BANK1"	"CTSW"	"BCL2A1"	"BCL2A1"	"BCL2A1"	"CD84"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"BCL11B"	"APOBEC3G"	"CCR3"	"CCL19"	"AIF1"	"CD93"	"ABCA6"	"AIF1"	"AMPD1"	"ACAP1"
"BLK"	"EOMES"	"CCL17"	"CCR1"	"CCL19"	"KLRG1"	"CCR5"	"CLC"	"AIM2"	"BIN2"	"CCR2"	"CCR7"	"CCL22"	"CCL8"	"CDH5"	"ASPN"	"CCR2"	"CD19"	"AIF1"
"CCL17"	"GZMA"	"CCL19"	"CCR3"	"CCL22"	"LCP2"	"CD2"	"CLEC4E"	"ARHGAP15"	"CCR5"	"CCR3"	"CD2"	"CCL24"	"CFP"	"EMCN"	"COL14A1"	"CD1E"	"CD27"	"AIM2"
"CD19"	"GZMB"	"CCL22"	"CD69"	"CCL24"	"MMP9"	"CD244"	"CSF2RB"	"BATF"	"CCR7"	"CCR5"	"CD247"	"CCL8"	"CLEC10A"	"ERG"	"COL3A1"	"CD244"	"CD38"	"AMPD1"
"CD1C"	"GZMH"	"CCL24"	"CLC"	"CCL8"	"PTGDR"	"CD247"	"CSF3R"	"BCL11B"	"CD2"	"CD2"	"CD27"	"CCR1"	"CLEC4A"	"KDR"	"DCN"	"CD37"	"CD79A"	"APOBEC3G"
"CD37"	"KLRB1"	"CCL8"	"CSF2RB"	"CCR1"	"SAMSN1"	"CRTAM"	"CXCR1"	"CCR2"	"CD244"	"CD244"	"CD37"	"CCR7"	"FGR"	"PCDH12"	"GREM1"	"CFP"	"CD79B"	"ARHGAP15"
"CD53"	"KLRD1"	"CCR2"	"DPEP2"	"CD80"	"STAP1"	"CST7"	"CXCR2"	"CCR7"	"CD247"	"CD247"	"CD3E"	"CD38"	"HCK"	"RAMP3"	"ISLR"	"CLEC10A"	"DOK3"	"BANK1"
"CD69"	"KLRK1"	"CCR5"	"EMR3"	"CD84"	""	"CTSW"	"FAM65B"	"CD2"	"CD27"	"CD300A"	"CD5"	"CD40"	"ITGAX"	"TFEC"	"ITIH3"	"CLEC4A"	"ENTPD1"	"BATF"
"CD79A"	"NKG7"	"CCR7"	"GMIP"	"CHI3L1"	""	"CX3CR1"	"FCAR"	"CD247"	"CD300A"	"CD96"	"CD7"	"CD80"	"LILRA2"	""	"LMOD1"	"CLEC4E"	"FCRL2"	"BCL11B"
"CD79B"	"PRF1"	"CD1B"	"GPR183"	"CLEC4E"	""	"CXCR6"	"FPR1"	"CD27"	"CD3E"	"CHST12"	"CISH"	"CD84"	"MMP19"	""	"PRKG1"	"CLEC5A"	"HSPA6"	"BCL2A1"
