"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"BACH2"	"CTSW"	"BCL2A1"	"BCL2A1"	"ATG7"	"CCL4"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"BIN2"	"APOBEC3G"	"CCR3"	"BLVRA"	"AIF1"	"CD93"	"ABCA6"	"AIF1"	"AMPD1"	"ACAP1"
"BANK1"	"EOMES"	"BCL2L11"	"CAMP"	"BCL2A1"	"CD84"	"CCL4"	"C5AR1"	"AIM2"	"CCL4"	"CCL1"	"CCR7"	"CCL1"	"CAMP"	"CDH5"	"ASPN"	"AKAP13"	"CAMP"	"AIF1"
"BCL2L11"	"FGFBP2"	"BIRC3"	"CCL4"	"BHLHE41"	"KLRG1"	"CCR5"	"CLC"	"ARHGAP15"	"CCR5"	"CCL4"	"CD2"	"CCL19"	"CCDC88A"	"EMCN"	"COL14A1"	"BCL2L11"	"CCDC88A"	"AIM2"
"BLK"	"GZMA"	"BLVRA"	"CCR1"	"BLVRA"	"LCP2"	"CD160"	"CLEC4E"	"BATF"	"CCR7"	"CCR2"	"CD247"	"CCL22"	"CCL8"	"ERG"	"COL3A1"	"C5AR1"	"CD19"	"AKAP13"
"CCL17"	"GZMH"	"CCL1"	"CCR3"	"C5AR1"	"MMP9"	"CD2"	"CSF2RB"	"CCL4"	"CD160"	"CCR3"	"CD27"	"CCL4"	"CFP"	"KDR"	"DCN"	"CCR2"	"CD27"	"AMPD1"
"CD19"	"KLRB1"	"CCL17"	"CD69"	"CAMP"	"PTGDR"	"CD244"	"CSF3R"	"CCR2"	"CD2"	"CCR5"	"CD37"	"CCL8"	"CLEC10A"	"PCDH12"	"GREM1"	"CD1E"	"CD38"	"APOBEC3G"
"CD1A"	"KLRD1"	"CCL19"	"CLC"	"CCDC88A"	"SAMSN1"	"CD247"	"CXCR1"	"CCR7"	"CD244"	"CD160"	"CD3E"	"CCR1"	"CLEC4A"	"RAMP3"	"ISLR"	"CD244"	"CD79A"	"ARHGAP15"
"CD1C"	"KLRF1"	"CCL22"	"CSF2RB"	"CCL1"	"STAP1"	"CRTAM"	"CXCR2"	"CD2"	"CD247"	"CD2"	"CD5"	"CCR7"	"FGR"	"TFEC"	"ITIH3"	"CD37"	"CD79B"	"ATG7"
"CD37"	"KLRK1"	"CCL4"	"DPEP2"	"CCL19"	"ZBTB1"	"CST7"	"FAM65B"	"CD247"	"CD27"	"CD244"	"CD7"	"CD38"	"HCK"	""	"LMOD1"	"CFP"	"DOK3"	"BACH2"
"CD53"	"NKG7"	"CCL8"	"EMR3"	"CCL22"	""	"CTSW"	"FCAR"	"CD27"	"CD300A"	"CD247"	"CTLA4"	"CD40"	"HLA-DQA1"	""	"PRKG1"	"CLEC10A"	"ENTPD1"	"BANK1"
