"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"CD69"	"RORA"	"BLVRA"	"CCL4"	"BLVRA"	"CCL4"	"APOBEC3G"	"P2RY13"	"BCL11B"	"BCL11B"	"APOBEC3G"	"CCR7"	"BLVRA"	"CLEC10A"	"CDH5"	"COL14A1"	"CCR2"	""	"APOBEC3G"
"GNG7"	""	"CCL19"	"CD69"	"CCL19"	"KLRG1"	"CCL4"	"ZDHHC18"	"CCL4"	"BIN2"	"CCL4"	"CD2"	"CCL19"	"FGR"	"ERG"	"PRKG1"	"CLEC10A"	""	"BCL11B"
"PTPN6"	""	"CCL4"	"DPEP2"	"FGR"	"LCP2"	"CD2"	""	"CCR2"	"CCL4"	"CCR2"	"CD3D"	"CCL4"	"ITGAX"	"KDR"	""	"DPEP2"	""	"BIN2"
"S1PR4"	""	"CCR2"	""	"ITGAX"	""	"CRTAM"	""	"CCR7"	"CCR7"	"CD2"	"CD3E"	"CCR7"	"NAGPA"	"RAMP3"	""	"FGR"	""	"BLVRA"
""	""	"CCR7"	""	"NAGPA"	""	"CST7"	""	"CD2"	"CD2"	"CD3D"	"CD5"	""	""	"TFEC"	""	"MYO1F"	""	"CCL19"
""	""	"CLEC10A"	""	"NSMAF"	""	"CXCR6"	""	"CD3D"	"CD3D"	"CD96"	"CD7"	""	""	""	""	"P2RY13"	""	"CCL4"
""	""	"CLIC2"	""	""	""	"GZMK"	""	"CD3E"	"CD3E"	"CHST12"	"CISH"	""	""	""	""	""	""	"CCR2"
""	""	"CYTH4"	""	""	""	"GZMM"	""	"CD3G"	"CD3G"	"CST7"	"CTLA4"	""	""	""	""	""	""	"CCR7"
""	""	"GPR132"	""	""	""	"IFNG"	""	"CD5"	"CD7"	"CTLA4"	"CXCR6"	""	""	""	""	""	""	"CD2"
""	""	"NAGPA"	""	""	""	"IL2RB"	""	"CD6"	"CD96"	"CXCR6"	"GPR171"	""	""	""	""	""	""	"CD3D"
