"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"BLK"	"CTSW"	"BCL2A1"	"BCL2A1"	"BCL2A1"	"CCL4"	"CCL4"	"BCL2A1"	"ACAP1"	"BIN2"	"CCL1"	"CCR3"	"CCL1"	"AIF1"	"CD93"	"ABCA6"	"AIF1"	"AMPD1"	"ACAP1"
"CCL17"	"EOMES"	"BIRC3"	"CAMP"	"C5AR1"	"CD84"	"CCR5"	"C5AR1"	"AIM2"	"CCL4"	"CCL4"	"CCR7"	"CCL19"	"CAMP"	"CDH5"	"ASPN"	"AKAP13"	"CAMP"	"AIF1"
"CD19"	"GZMA"	"CCL1"	"CCL4"	"CAMP"	"LCP2"	"CD2"	"CLC"	"ARHGAP15"	"CCR5"	"CCR2"	"CD2"	"CCL22"	"CCL8"	"EMCN"	"COL14A1"	"C5AR1"	"CD19"	"AIM2"
"CD1A"	"GZMB"	"CCL17"	"CCR1"	"CCL1"	"MMP9"	"CD244"	"CLEC4E"	"CCL4"	"CCR7"	"CCR3"	"CD247"	"CCL4"	"CFP"	"ERG"	"COL3A1"	"CCR2"	"CD27"	"AKAP13"
"CD1C"	"GZMH"	"CCL19"	"CCR3"	"CCL19"	"PTGDR"	"CD247"	"CSF2RB"	"CCR2"	"CD2"	"CCR5"	"CD27"	"CCL8"	"CLEC10A"	"KDR"	"DCN"	"CD1E"	"CD38"	"AMPD1"
"CD37"	"KLRB1"	"CCL22"	"CD69"	"CCL22"	"SAMSN1"	"CRTAM"	"CSF3R"	"CCR7"	"CD244"	"CD2"	"CD37"	"CCR1"	"CLEC4A"	"PCDH12"	"GREM1"	"CD244"	"CD79A"	"ARHGAP15"
"CD53"	"KLRD1"	"CCL4"	"CLC"	"CCL8"	"STAP1"	"CST7"	"CXCR1"	"CD2"	"CD247"	"CD244"	"CD3D"	"CCR7"	"COL4A3BP"	"RAMP3"	"ITIH3"	"CD37"	"CD79B"	"BCL2A1"
"CD69"	"KLRF1"	"CCL8"	"CSF2RB"	"CCR1"	""	"CTSW"	"CXCR2"	"CD247"	"CD27"	"CD247"	"CD3E"	"CD38"	"FGR"	"TFEC"	"LMOD1"	"CFP"	"DOK3"	"BIN2"
"CD79A"	"KLRK1"	"CCR2"	"DEFA4"	"CD80"	""	"CX3CR1"	"FAM65B"	"CD27"	"CD300A"	"CD300A"	"CD5"	"CD40"	"HCK"	""	"SGCD"	"CLEC10A"	"ENTPD1"	"BIRC3"
"CD79B"	"NKG7"	"CCR5"	"DPEP2"	"CD84"	""	"CXCR6"	"FCAR"	"CD37"	"CD3D"	"CD3D"	"CD7"	"CD80"	"HLA-DQA1"	""	"TCF21"	"CLEC4A"	"FCRL2"	"BLK"
"CD80"	"PRF1"	"CCR7"	"EMR3"	"CHI3L1"	""	"EOMES"	"FCGR3B"	"CD3D"	"CD3E"	"CD96"	"CTLA4"	"CD84"	"ITGAX"	""	"WISP1"	"CLEC4E"	"IRF4"	"C5AR1"
