"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"BCL11A"	"CTSW"	"BCL2A1"	"BCL2A1"	"ACTR2"	"CCL4"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"BCL11B"	"APOBEC3G"	"CCR7"	"ACTR2"	"AIF1"	"CD93"	"ABCA6"	"AIF1"	"BMP8B"	"ACAP1"
"BLK"	"DUSP2"	"BIRC3"	"CAMP"	"BCL2A1"	"CD84"	"CCL4"	"C5AR1"	"AIM2"	"BIN2"	"CCL4"	"CD2"	"BLVRA"	"CAMP"	"CDH5"	"ASPN"	"C5AR1"	"CAMP"	"ACTR2"
"BMP8B"	"EOMES"	"BLVRA"	"CCL4"	"BHLHE41"	"KLRG1"	"CCR5"	"CLC"	"ARHGAP15"	"CCL4"	"CCR2"	"CD247"	"CCL19"	"CCDC88A"	"EMCN"	"COL14A1"	"CCR2"	"CCDC88A"	"AIF1"
"CCL17"	"FGFBP2"	"CCL13"	"CCR1"	"BLVRA"	"LCP2"	"CD2"	"CLEC4E"	"BATF"	"CCR5"	"CCR5"	"CD27"	"CCL22"	"CCL13"	"ERG"	"COL3A1"	"CD244"	"CD19"	"AIM2"
"CD19"	"GZMA"	"CCL17"	"CD69"	"C5AR1"	"PTGDR"	"CD244"	"CREB5"	"BCL11B"	"CCR7"	"CD2"	"CD37"	"CCL4"	"CCL8"	"KDR"	"DCN"	"CD37"	"CD27"	"APOBEC3G"
"CD1A"	"GZMB"	"CCL19"	"CLC"	"CAMP"	"SAMSN1"	"CD247"	"CSF2RB"	"CCL4"	"CD2"	"CD244"	"CD3D"	"CCL8"	"CFP"	"PCDH12"	"GREM1"	"CFP"	"CD38"	"ARHGAP15"
"CD1C"	"GZMH"	"CCL22"	"CSF2RB"	"CCDC88A"	""	"CRTAM"	"CSF3R"	"CCR2"	"CD244"	"CD247"	"CD3E"	"CCR1"	"CLEC10A"	"RAMP3"	"ISLR"	"CLEC10A"	"CD79A"	"BATF"
"CD37"	"KLRB1"	"CCL4"	"DPEP2"	"CCL19"	""	"CST7"	"CXCR1"	"CCR7"	"CD247"	"CD300A"	"CD5"	"CCR7"	"CLEC4A"	"TFEC"	"LMOD1"	"CLEC4A"	"CD79B"	"BCL11A"
"CD69"	"KLRK1"	"CCL8"	"EMR3"	"CCL22"	""	"CTSW"	"CXCR2"	"CD2"	"CD27"	"CD3D"	"CD7"	"CD38"	"FGR"	""	"PRKG1"	"CLEC4E"	"CYBA"	"BCL11B"
"CD79A"	"NKG7"	"CCR2"	"FCER1A"	"CCL8"	""	"CX3CR1"	"FAM65B"	"CD247"	"CD300A"	"CD96"	"CTLA4"	"CD80"	"HCK"	""	"SGCD"	"CLEC5A"	"DOK3"	"BCL2A1"
