"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"ABI1"	"CTSW"	"ABI1"	"ALOX15"	"ABI1"	"CCL4"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"ARPC5L"	"APOBEC3G"	"CCR7"	"ABI1"	"AIF1"	"CD93"	"ABCA6"	"AIF1"	"AMPD1"	"ABI1"
"BACH2"	"DUSP2"	"ALOX15"	"BCL2A1"	"ACTR2"	"CD84"	"ARPC5L"	"C5AR1"	"AIM2"	"BCL11B"	"ARPC5L"	"CD2"	"ACTR2"	"CCL8"	""	"ASPN"	"C5AR1"	"CD19"	"ACAP1"
"BLK"	"EOMES"	"BCL2A1"	"CCL4"	"ATG7"	"KLRG1"	"CCL4"	"CLEC4E"	"ARHGAP15"	"BIN2"	"CCL4"	"CD247"	"CCL19"	"CFP"	""	"COL14A1"	"CCR2"	"CD27"	"ACTR2"
"CCL17"	"GZMA"	"BIRC3"	"CCR1"	"BCL2A1"	"LCP2"	"CCR5"	"CSF2RB"	"BATF"	"CCL4"	"CCR2"	"CD27"	"CCL22"	"CLEC10A"	""	"COL3A1"	"CD1E"	"CD38"	"AIF1"
"CD19"	"GZMB"	"CCL17"	"CD69"	"C5AR1"	"PTGDR"	"CD2"	"CSF3R"	"BCL11B"	"CCR5"	"CCR5"	"CD37"	"CCL4"	"CLEC4A"	""	"DCN"	"CD244"	"CD79A"	"AIM2"
"CD1C"	"GZMH"	"CCL19"	"CSF2RB"	"CCL19"	"SAMSN1"	"CD244"	"FAM65B"	"CCL4"	"CCR7"	"CD2"	"CD3E"	"CCL8"	"FGR"	""	"GREM1"	"CD37"	"CD79B"	"ALOX15"
"CD37"	"KLRB1"	"CCL22"	"DPEP2"	"CCL22"	"STAP1"	"CD247"	"FPR1"	"CCR2"	"CD2"	"CD244"	"CD5"	"CCR1"	"HCK"	""	"ISLR"	"CFP"	"CYBA"	"AMPD1"
"CD53"	"KLRK1"	"CCL4"	"GMIP"	"CCL8"	""	"CRTAM"	"HCK"	"CCR7"	"CD244"	"CD247"	"CD7"	"CCR7"	"HLA-DQA1"	""	"ITIH3"	"CLEC10A"	"DOK3"	"APOBEC3G"
"CD69"	"NKG7"	"CCL8"	"GPR183"	"CCR1"	""	"CST7"	"HPSE"	"CD2"	"CD247"	"CD300A"	"CTLA4"	"CD38"	"MMP19"	""	"LMOD1"	"CLEC4A"	"ENTPD1"	"ARHGAP15"
"CD79A"	"PRF1"	"CCR2"	"GPR65"	"CD80"	""	"CTSW"	"HSPA6"	"CD247"	"CD27"	"CD96"	"CXCR6"	"CD80"	"MS4A6A"	""	"SGCD"	"CLEC4E"	"FCRL2"	"ARPC5L"
"CD79B"	"RUNX3"	"CCR5"	"NCF2"	"CD84"	""	"CXCR6"	"IL18RAP"	"CD27"	"CD300A"	"CST7"	"FAIM3"	"CD84"	"NAGPA"	""	"TCF21"	"CLEC7A"	"HSPA6"	"ATG7"
"CD80"	""	"CCR7"	"RGS1"	"CLEC4E"	""	"DUSP4"	"LILRA1"	"CD37"	"CD3E"	"CTLA4"	"GPR171"	"CLEC4E"	"NCF2"	""	"WISP1"	"CSF1R"	"IRF4"	"BACH2"
"CR1"	""	"CD1B"	"RNASE2"	"CSF1"	""	"EOMES"	"LILRB2"	"CD3E"	"CD3G"	"CXCR6"	"ICOS"	"CSF1"	"NCKAP1L"	""	""	"CSF3R"	"KIAA0125"	"BATF"
"FAIM3"	""	"CD1C"	"SAMSN1"	"CSF1R"	""	"FASLG"	"LST1"	"CD3G"	"CD7"	"FASLG"	"IL10RA"	"CSF1R"	"NPL"	""	""	"CYBB"	"MGAT2"	"BCL11B"
"FAM65B"	""	"CD1E"	""	"CXCL9"	""	"GZMA"	"MEFV"	"CD5"	"CD8B"	"GMIP"	"IL2RA"	"CXCL10"	"OSBPL11"	""	""	"DOK3"	"PNOC"	"BCL2A1"
"FCRL2"	""	"CD209"	""	"CYBA"	""	"GZMB"	"MNDA"	"CD6"	"CD96"	"GPR15"	"IL2RB"	"CXCL11"	"PDCD1LG2"	""	""	"DPEP2"	"RGS1"	"BIN2"
"GMIP"	""	"CD80"	""	"CYBB"	""	"GZMH"	"NCF2"	"CD69"	"CRTAM"	"GPR171"	"ITK"	"CXCL9"	"PILRA"	""	""	"FGL2"	"TNFRSF17"	"BIRC3"
"GPR18"	""	"CD86"	""	"FGR"	""	"GZMK"	"NMI"	"CD7"	"CST7"	"GPR68"	"LCK"	"CYBB"	"RNASE6"	""	""	"FGR"	"UBE2G1"	"BLK"
"HLA-DQA1"	""	"CLEC10A"	""	"FPR3"	""	"GZMM"	"NRBF2"	"CD96"	"CTSW"	"GZMA"	"LTB"	"EBI3"	"SLAMF8"	""	""	"FPR1"	"ZBP1"	"C5AR1"
"IL12B"	""	"CLEC4A"	""	"GRB2"	""	"IFNG"	"P2RY13"	"CRLF3"	"CXCR6"	"GZMB"	"RGS1"	"FPR3"	"SLC15A3"	""	""	"GPR183"	""	"CCL17"
