"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"BLK"	"CTSW"	"ADPGK"	"BCL2A1"	"ATG7"	"CCL4"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"BCL11B"	"APOBEC3G"	"CCR3"	"CCL22"	"AIF1"	"CD93"	"ABCA6"	"AIF1"	"AMPD1"	"ACAP1"
"CD19"	"DUSP2"	"BCL2A1"	"CAMP"	"BCL2A1"	"CD84"	"CCL4"	"C5AR1"	"AIM2"	"BIN2"	"CCL4"	"CCR7"	"CCL24"	"CAMP"	"ERG"	"DCN"	"C5AR1"	"CAMP"	"ADPGK"
"CD1C"	"EOMES"	"BIRC3"	"CCL4"	"C5AR1"	"CXCL3"	"CCR5"	"CLEC4E"	"ARHGAP15"	"CCL4"	"CCR2"	"CD2"	"CCL4"	"CCDC88A"	"RAMP3"	"ISLR"	"CCR2"	"CCDC88A"	"AIF1"
"CD37"	"GZMA"	"CCL22"	"CCR1"	"CAMP"	"KLRG1"	"CD2"	"CSF2RB"	"BATF"	"CCR5"	"CCR3"	"CD247"	"CCL8"	"CCL8"	""	"ITIH3"	"CD1E"	"CD19"	"AIM2"
"CD53"	"GZMB"	"CCL24"	"CCR3"	"CCDC88A"	"LCP2"	"CD244"	"CSF3R"	"BCL11B"	"CCR7"	"CCR5"	"CD27"	"CCR1"	"CFP"	""	"TCF21"	"CD244"	"CD27"	"AMPD1"
"CD69"	"GZMH"	"CCL4"	"CD69"	"CCL22"	"MMP9"	"CD247"	"CXCR1"	"CCL4"	"CD2"	"CD2"	"CD37"	"CCR7"	"CLEC10A"	""	"WISP1"	"CD37"	"CD38"	"APOBEC3G"
"CD79A"	"KLRB1"	"CCL8"	"CSF2RB"	"CCL24"	"PTGDR"	"CRTAM"	"CXCR2"	"CCR2"	"CD244"	"CD244"	"CD3E"	"CD38"	"CLEC4A"	""	""	"CFP"	"CD79A"	"ARHGAP15"
"CD79B"	"KLRD1"	"CCR2"	"DPEP2"	"CCL8"	"SAMSN1"	"CST7"	"FAM65B"	"CCR7"	"CD247"	"CD247"	"CD5"	"CD80"	"FGR"	""	""	"CLEC10A"	"CD79B"	"ATG7"
"CD80"	"KLRK1"	"CCR5"	"EMR3"	"CCR1"	"STAP1"	"CTSW"	"FCAR"	"CD2"	"CD27"	"CD300A"	"CD7"	"CD84"	"HCK"	""	""	"CLEC4A"	"DOK3"	"BATF"
"CR1"	"NKG7"	"CCR7"	"FCER1A"	"CD80"	""	"CXCR6"	"FCGR3B"	"CD247"	"CD300A"	"CD96"	"CTLA4"	"CLEC4E"	"HLA-DQA1"	""	""	"CLEC4E"	"ENTPD1"	"BCL11B"
