"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"BANK1"	"DUSP2"	"BIRC3"	"CCR1"	"ATG7"	"CD84"	"APOBEC3G"	"C5AR1"	"ACAP1"	"BIN2"	"APOBEC3G"	"CD247"	"CCL22"	"AIF1"	"RAMP3"	"ABCA6"	"AIF1"	"BMP8B"	"ACAP1"
"BCL11A"	"FGFBP2"	"CCL17"	"CD69"	"BHLHE41"	"LCP2"	"CCR5"	"CSF2RB"	"ARHGAP15"	"CASP8"	"CCR5"	"CD37"	"CCR1"	"FGR"	"TFEC"	"GREM1"	"C5AR1"	"CD19"	"AIF1"
"BLNK"	"KLRB1"	"CCL22"	"CSF2RB"	"C5AR1"	"MBOAT7"	"CD244"	"CSF3R"	"CASP8"	"CCR5"	"CD244"	"CD3E"	"CD40"	"HCK"	""	"ISLR"	"CD244"	"CD79B"	"APOBEC3G"
"BMP8B"	"KLRD1"	"CCR5"	"DPEP2"	"CCL22"	"SAMSN1"	"CD247"	"FCAR"	"CD247"	"CD244"	"CD247"	"CD5"	"CD84"	"ITGAX"	""	"PRKG1"	"CD37"	"CYBA"	"ARHGAP15"
"CCL17"	""	"CD86"	"GPR183"	"CCR1"	""	"CRTAM"	"FPR1"	"CD37"	"CD247"	"CD300A"	"CD7"	"CSF1"	"LILRA2"	""	""	"CLEC5A"	"DOK3"	"ATG7"
"CD19"	""	"CLEC7A"	"GPR65"	"CD164"	""	"CST7"	"FPR2"	"CD3E"	"CD300A"	"CD96"	"CISH"	"CSF1R"	"NCF2"	""	""	"CLEC7A"	"GPRC5D"	"BANK1"
"CD37"	""	"CSF1R"	"LRMP"	"CD84"	""	"CX3CR1"	"HCK"	"CD5"	"CD3E"	"CST7"	"CTLA4"	"CYBB"	"NCKAP1L"	""	""	"CSF1R"	"RGS1"	"BCL11A"
"CD53"	""	"CYTH4"	"MBOAT7"	"CHI3L1"	""	"CXCR6"	"LILRA1"	"CD6"	"CD7"	"CTLA4"	"CXCR6"	"EBI3"	"NPL"	""	""	"CSF3R"	"ZBP1"	"BHLHE41"
"CD69"	""	"EBI3"	"NCF2"	"CLEC5A"	""	"GZMK"	"LILRA2"	"CD69"	"CD8B"	"CXCR6"	"ICOS"	"FPR2"	"PDCD1LG2"	""	""	"CX3CR1"	""	"BIN2"
"CD79B"	""	"FGL2"	"RGS1"	"CSF1"	""	"KLRB1"	"LILRB2"	"CD7"	"CD96"	"GZMK"	"IL10RA"	"HCK"	"PILRA"	""	""	"CYBB"	""	"BIRC3"
