"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"BACH2"	"CTSW"	"BCL2A1"	"BCL2A1"	"BCL2A1"	"CCL4"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"BCL11B"	"APOBEC3G"	"CCR3"	"BLVRA"	"AIF1"	"CD93"	"ASPN"	"AIF1"	"AMPD1"	"ACAP1"
"BANK1"	"DUSP2"	"BIRC3"	"CAMP"	"BHLHE41"	"CD84"	"CCL4"	"C5AR1"	"AIM2"	"BIN2"	"CCL4"	"CCR7"	"CCL19"	"CAMP"	"CDH5"	"COL14A1"	"C5AR1"	"CAMP"	"AIF1"
"BCL11A"	"EOMES"	"BLVRA"	"CCL4"	"BLVRA"	"CXCL3"	"CCR5"	"CLEC4E"	"ARHGAP15"	"CCL4"	"CCR2"	"CD2"	"CCL22"	"CCL8"	"EMCN"	"COL3A1"	"CCR2"	"CD19"	"AIM2"
"BLK"	"GZMA"	"CCL17"	"CCR1"	"C5AR1"	"KLRG1"	"CD160"	"CSF2RB"	"BATF"	"CCR5"	"CCR3"	"CD247"	"CCL24"	"CFP"	"ERG"	"DCN"	"CD1E"	"CD27"	"AMPD1"
"CCL17"	"GZMB"	"CCL19"	"CCR3"	"CAMP"	"LCP2"	"CD2"	"CSF3R"	"BCL11B"	"CCR7"	"CCR5"	"CD27"	"CCL4"	"CLEC10A"	"KDR"	"GREM1"	"CD244"	"CD38"	"APOBEC3G"
"CD19"	"GZMH"	"CCL22"	"CD69"	"CCL19"	"MMP9"	"CD244"	"CXCR1"	"CCL4"	"CD160"	"CD160"	"CD37"	"CCL8"	"CLEC4A"	"PCDH12"	"ISLR"	"CD37"	"CD79A"	"ARHGAP15"
"CD1A"	"KLRB1"	"CCL24"	"CSF2RB"	"CCL22"	"PTGDR"	"CD247"	"CXCR2"	"CCR2"	"CD2"	"CD2"	"CD3E"	"CCR1"	"FGR"	"RAMP3"	"LMOD1"	"CFP"	"CD79B"	"BACH2"
"CD1C"	"KLRD1"	"CCL4"	"DPEP2"	"CCL24"	"SAMSN1"	"CRTAM"	"FAM65B"	"CCR7"	"CD244"	"CD244"	"CD5"	"CCR7"	"HCK"	"TFEC"	"PRKG1"	"CLEC10A"	"CYBA"	"BANK1"
"CD37"	"KLRF1"	"CCL8"	"EMR3"	"CCL8"	"STAP1"	"CST7"	"FCAR"	"CD2"	"CD247"	"CD247"	"CD7"	"CD38"	"HLA-DQA1"	""	"SGCD"	"CLEC4A"	"DOK3"	"BATF"
"CD53"	"KLRK1"	"CCR2"	"FCER1A"	"CCR1"	""	"CTSW"	"FCGR3B"	"CD247"	"CD27"	"CD300A"	"CTLA4"	"CD80"	"ITGAX"	""	"TCF21"	"CLEC4E"	"ENTPD1"	"BCL11A"
"CD69"	"NKG7"	"CCR5"	"GMIP"	"CD80"	""	"CX3CR1"	"FPR1"	"CD27"	"CD300A"	"CD96"	"CXCR6"	"CD84"	"LILRA2"	""	"WISP1"	"CLEC5A"	"FCRL2"	"BCL11B"
"CD79A"	"PRF1"	"CCR7"	"GPR183"	"CD84"	""	"CXCR6"	"FPR2"	"CD37"	"CD3E"	"CHST12"	"FAIM3"	"CLEC4E"	"MMP9"	""	"WNT2"	"CLEC7A"	"IRF4"	"BCL2A1"
"CD79B"	"RUNX3"	"CD1A"	"GPR65"	"CHI3L1"	""	"DUSP4"	"HCK"	"CD3E"	"CD3G"	"CST7"	"GPR171"	"CSF1"	"MS4A6A"	""	""	"CSF1R"	"KIAA0125"	"BHLHE41"
"CD80"	""	"CD1B"	"LRMP"	"CLEC4E"	""	"EOMES"	"HPSE"	"CD3G"	"CD7"	"CTLA4"	"ICOS"	"CSF1R"	"NCF2"	""	""	"CSF3R"	"PNOC"	"BIN2"
"CR1"	""	"CD1C"	"MMP25"	"CLEC5A"	""	"FASLG"	"IL18RAP"	"CD5"	"CD8B"	"CXCR6"	"IL10RA"	"CXCL11"	"NCKAP1L"	""	""	"CX3CR1"	"RGS1"	"BIRC3"
"FAIM3"	""	"CD1E"	"NCF2"	"CSF1"	""	"GZMA"	"LILRA1"	"CD6"	"CD96"	"FASLG"	"IL2RA"	"CXCL9"	"NPL"	""	""	"CXCR2"	"TNFRSF17"	"BLK"
"FAM65B"	""	"CD209"	"RGS1"	"CSF1R"	""	"GZMB"	"LILRA2"	"CD69"	"CHST12"	"GMIP"	"IL2RB"	"CYBB"	"PDCD1LG2"	""	""	"CYBB"	"ZBP1"	"BLVRA"
"FCAR"	""	"CD80"	"SAMSN1"	"CXCL5"	""	"GZMH"	"LILRB2"	"CD7"	"CRTAM"	"GPR15"	"ITGB7"	"EBI3"	"PILRA"	""	""	"DOK3"	""	"C5AR1"
"FCRL2"	""	"CD86"	"THBS1"	"CXCL9"	""	"GZMK"	"LST1"	"CD96"	"CST7"	"GPR171"	"ITK"	"FPR2"	"RNASE6"	""	""	"DPEP2"	""	"CAMP"
"GMIP"	""	"CLEC10A"	""	"CYBA"	""	"GZMM"	"MEFV"	"CTLA4"	"CTSW"	"GPR68"	"LCK"	"FPR3"	"SLAMF8"	""	""	"FCAR"	""	"CCL17"
"GPR18"	""	"CLEC4A"	""	"CYBB"	""	"IFNG"	"MMP25"	"CTSW"	"CX3CR1"	"GZMA"	"LTB"	"HCK"	"SLC15A3"	""	""	"FCER1A"	""	"CCL19"
"HLA-DOB"	""	"CLEC7A"	""	"FGR"	""	"IL18RAP"	"MNDA"	"CXCR6"	"CXCR6"	"GZMB"	"PIK3IP1"	"HK3"	"TFEC"	""	""	"FCN1"	""	"CCL22"
"HLA-DQA1"	""	"CLIC2"	""	"FPR2"	""	"IL2RB"	"NCF2"	"DPEP2"	"CYTH4"	"GZMH"	"RGS1"	"IDO1"	"TREM2"	""	""	"FGL2"	""	"CCL24"
"IL12B"	""	"CSF1R"	""	"FPR3"	""	"KLRB1"	"P2RY13"	"FAIM3"	"EOMES"	"GZMK"	""	"IGSF6"	""	""	""	"FGR"	""	"CCL4"
"IRF8"	""	"CXCL9"	""	"HK3"	""	"KLRD1"	"PDE4B"	"FAM65B"	"FAIM3"	"IFNG"	""	"IL12B"	""	""	""	"FPR1"	""	"CCL8"
"KIAA0125"	""	"CYTH4"	""	"IGSF6"	""	"KLRF1"	"S100A12"	"FCN1"	"FASLG"	"IL18RAP"	""	"IRF8"	""	""	""	"FPR2"	""	"CCR1"
"LILRB1"	""	"EBI3"	""	"IL12B"	""	"KLRG1"	""	"GIMAP4"	"GIMAP4"	"IL2RA"	""	"LILRB1"	""	""	""	"GPR183"	""	"CCR2"
"LTB"	""	"FGL2"	""	"ITGAX"	""	"KLRK1"	""	"GIMAP6"	"GIMAP6"	"IL2RB"	""	"NECAP2"	""	""	""	"HCK"	""	"CCR3"
"LY9"	""	"FPR3"	""	"LILRA2"	""	"LAG3"	""	"GPR132"	"GPR15"	"ITGB7"	""	"PILRA"	""	""	""	"HK3"	""	"CCR5"
"MEFV"	""	"GPR132"	""	"LILRB1"	""	"LTA"	""	"GPR15"	"GPR171"	"ITK"	""	"PLEKHB2"	""	""	""	"IL10RA"	""	"CCR7"
"OSBPL10"	""	"GZMB"	""	"MMP9"	""	"LTB"	""	"GPR171"	"GPR65"	"KLRB1"	""	"SIGLEC1"	""	""	""	"IQGAP1"	""	"CD160"
"P2RX5"	""	"HAVCR2"	""	"MS4A6A"	""	"NCR3"	""	"GPR183"	"GPR68"	"KLRG1"	""	"SLAMF1"	""	""	""	"LILRA1"	""	"CD19"
"PNOC"	""	"HCK"	""	"NCF2"	""	"NKG7"	""	"GPSM3"	"GZMA"	"LAG3"	""	"SLAMF8"	""	""	""	"LILRA2"	""	"CD1A"
"POU2F2"	""	"HK3"	""	"NCKAP1L"	""	"PRF1"	""	"GZMA"	"GZMB"	"LCP2"	""	"TFEC"	""	""	""	"LILRB1"	""	"CD1B"
"PTPN6"	""	"HLA-DQA1"	""	"NECAP2"	""	"PTGDR"	""	"GZMB"	"GZMH"	"LTA"	""	"TNFAIP6"	""	""	""	"LILRB2"	""	"CD1C"
