"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"BACH2"	"CTSW"	"BCL2A1"	"BCL2A1"	"ATG7"	"CCL4"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"BCL11B"	"APOBEC3G"	"CCR3"	"CCL1"	"AIF1"	"CD93"	"ABCA6"	"AIF1"	"AMPD1"	"ACAP1"
"BANK1"	"DUSP2"	"BIRC3"	"CCL4"	"BCL2A1"	"CD84"	"CCL4"	"C5AR1"	"AIM2"	"BIN2"	"CCL1"	"CCR7"	"CCL19"	"CCDC88A"	"CDH5"	"ASPN"	"C5AR1"	"CCDC88A"	"AIF1"
"BLK"	"EOMES"	"CCL1"	"CCR1"	"BHLHE41"	"KLRG1"	"CCR5"	"CBL"	"ARHGAP15"	"CCL4"	"CCL4"	"CD2"	"CCL22"	"CCL8"	"EMCN"	"COL14A1"	"CCR2"	"CD19"	"AIM2"
"BLNK"	"FGFBP2"	"CCL17"	"CCR3"	"C5AR1"	"LCP2"	"CD160"	"CLEC4E"	"BCL11B"	"CCR5"	"CCR2"	"CD247"	"CCL4"	"CFP"	"ERG"	"COL3A1"	"CD1E"	"CD27"	"AMPD1"
"CCL17"	"GZMA"	"CCL19"	"CD69"	"CCDC88A"	"MMP9"	"CD2"	"CREB5"	"CCL4"	"CCR7"	"CCR3"	"CD27"	"CCL8"	"CLEC10A"	"PCDH12"	"DCN"	"CD244"	"CD38"	"APOBEC3G"
"CD19"	"GZMB"	"CCL22"	"CSF2RB"	"CCL1"	"PTGDR"	"CD244"	"CSF2RB"	"CCR2"	"CD160"	"CCR5"	"CD37"	"CCR1"	"CLEC4A"	"RAMP3"	"GREM1"	"CD37"	"CD79A"	"ARHGAP15"
"CD1A"	"GZMH"	"CCL4"	"DPEP2"	"CCL19"	"SAMSN1"	"CD247"	"CXCR1"	"CCR7"	"CD2"	"CD160"	"CD3E"	"CCR7"	"FGR"	"TFEC"	"ISLR"	"CFP"	"CD79B"	"ATG7"
"CD1C"	"KLRB1"	"CCL8"	"EMR3"	"CCL22"	"STAP1"	"CRTAM"	"CXCR2"	"CD2"	"CD244"	"CD2"	"CD5"	"CD38"	"HCK"	""	"ITIH3"	"CLEC10A"	"CYBA"	"BACH2"
"CD37"	"KLRD1"	"CCR2"	"GMIP"	"CCL8"	""	"CST7"	"FAM65B"	"CD247"	"CD247"	"CD244"	"CD7"	"CD40"	"HLA-DQA1"	""	"LMOD1"	"CLEC4A"	"DOK3"	"BANK1"
"CD53"	"KLRF1"	"CCR5"	"GPR183"	"CCR1"	""	"CTSW"	"FCAR"	"CD27"	"CD27"	"CD247"	"CTLA4"	"CD80"	"ITGAX"	""	"PRKG1"	"CLEC4E"	"ENTPD1"	"BCL11B"
