"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"BANK1"	"CTSW"	"BCL2A1"	"BCL2A1"	"ATG7"	"CCL4"	"CCL4"	"BCL2A1"	"ACAP1"	"BIN2"	"CCL1"	"CCR3"	"CCL1"	"AIF1"	"CD93"	"ABCA6"	"AIF1"	"AMPD1"	"ACAP1"
"BLK"	"GZMA"	"BIRC3"	"CAMP"	"BCL2A1"	"CD84"	"CCR5"	"C5AR1"	"AIM2"	"CCL4"	"CCL4"	"CCR7"	"CCL19"	"CAMP"	"CDH5"	"ASPN"	"C5AR1"	"CAMP"	"AIF1"
"BLNK"	"GZMB"	"CCL1"	"CCL4"	"BHLHE41"	"CXCL3"	"CD160"	"CLEC4E"	"ARHGAP15"	"CCR5"	"CCR2"	"CD2"	"CCL22"	"CFP"	"EMCN"	"COL14A1"	"CCR2"	"CD19"	"AIM2"
"CCL17"	"GZMH"	"CCL17"	"CCR1"	"C5AR1"	"KLRG1"	"CD2"	"CSF2RB"	"BATF"	"CCR7"	"CCR3"	"CD247"	"CCL24"	"CLEC10A"	"ERG"	"COL3A1"	"CD1E"	"CD27"	"AMPD1"
"CD19"	"KLRB1"	"CCL19"	"CCR3"	"CAMP"	"LCP2"	"CD244"	"CSF3R"	"CCL4"	"CD160"	"CCR5"	"CD27"	"CCL4"	"CLEC4A"	"KDR"	"DCN"	"CD244"	"CD38"	"ARHGAP15"
"CD1A"	"KLRD1"	"CCL22"	"CD69"	"CCL1"	"MMP9"	"CD247"	"CXCR1"	"CCR2"	"CD2"	"CD160"	"CD37"	"CCR1"	"FGR"	"PCDH12"	"GREM1"	"CD37"	"CD79A"	"ATG7"
"CD1C"	"KLRF1"	"CCL24"	"CSF2RB"	"CCL19"	"PTGDR"	"CRTAM"	"CXCR2"	"CCR7"	"CD244"	"CD2"	"CD3E"	"CCR7"	"HCK"	"RAMP3"	"ISLR"	"CFP"	"CD79B"	"BANK1"
"CD37"	"KLRK1"	"CCL4"	"DPEP2"	"CCL22"	"SAMSN1"	"CST7"	"FAM65B"	"CD2"	"CD247"	"CD244"	"CD5"	"CD38"	"HLA-DQA1"	"TFEC"	"ITIH3"	"CLEC10A"	"CYBA"	"BATF"
"CD53"	"NKG7"	"CCR2"	"EMR3"	"CCL24"	"STAP1"	"CTSW"	"FCAR"	"CD247"	"CD27"	"CD247"	"CD7"	"CD40"	"ITGAX"	""	"LMOD1"	"CLEC4A"	"DOK3"	"BCL2A1"
"CD69"	"PRF1"	"CCR5"	"FCER1A"	"CCR1"	""	"CX3CR1"	"FCGR3B"	"CD27"	"CD300A"	"CD300A"	"CISH"	"CD80"	"LILRA2"	""	"SGCD"	"CLEC4E"	"ENTPD1"	"BHLHE41"
"CD79A"	""	"CCR7"	"GMIP"	"CD80"	""	"CXCR6"	"FPR1"	"CD37"	"CD3E"	"CD96"	"CTLA4"	"CD84"	"MMP19"	""	"TCF21"	"CLEC5A"	"FCRL2"	"BIN2"
"CD79B"	""	"CD1A"	"GPR183"	"CD84"	""	"DUSP4"	"FPR2"	"CD3E"	"CD3G"	"CST7"	"CXCR6"	"CLEC4E"	"MMP9"	""	"WISP1"	"CLEC7A"	"IRF4"	"BIRC3"
"CD80"	""	"CD1B"	"GPR65"	"CHI3L1"	""	"FASLG"	"HCK"	"CD3G"	"CD7"	"CTLA4"	"FAIM3"	"CSF1"	"MS4A6A"	""	"WNT2"	"CSF1R"	"KIAA0125"	"BLK"
"CR1"	""	"CD1C"	"LRMP"	"CLEC4E"	""	"GZMA"	"IL18RAP"	"CD5"	"CD96"	"CXCR6"	"GPR171"	"CSF1R"	"NCF2"	""	""	"CSF3R"	"PNOC"	"BLNK"
"FAIM3"	""	"CD1E"	"MMP25"	"CLEC5A"	""	"GZMB"	"LILRA1"	"CD6"	"CRTAM"	"FASLG"	"ICOS"	"CXCL10"	"NCKAP1L"	""	""	"CX3CR1"	"RGS1"	"C5AR1"
