"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"ABI1"	"CTSW"	"ABI1"	"BCL2A1"	"ABI1"	"CD84"	"APOBEC3G"	"ACAP2"	"ACAP1"	"ARPC5L"	"APOBEC3G"	"CCR7"	"ABI1"	"AIF1"	"CD93"	"COL3A1"	"ACAP2"	"AMPD1"	"ABI1"
"BANK1"	"DUSP2"	"ADPGK"	"CCR1"	"ACTR2"	"KLRG1"	"ARPC5L"	"BCL2A1"	"AIM2"	"BCL11B"	"ARPC5L"	"CD2"	"ACTR2"	"CCDC88A"	"CDH5"	"GREM1"	"AIF1"	"CCDC88A"	"ACAP1"
"BCL11A"	"EOMES"	"ARL8B"	"CD69"	"ARL8B"	"LCP2"	"CCR5"	"C5AR1"	"ARHGAP15"	"BIN2"	"CCR2"	"CD247"	"ARL8B"	"CCL8"	"EMCN"	"LMOD1"	"ARL8B"	"CD19"	"ACAP2"
"BLK"	"FGFBP2"	"BCL2A1"	"CSF2RB"	"BCL2A1"	"MMP9"	"CD2"	"CLEC4E"	"BATF"	"CCR5"	"CCR5"	"CD27"	"CCL19"	"CFP"	"ERG"	"WNT2"	"C5AR1"	"CD27"	"ACTR2"
"BLNK"	"GZMA"	"CCL17"	"DPEP2"	"C5AR1"	"PAK2"	"CD247"	"CSF2RB"	"BCL11B"	"CCR7"	"CD2"	"CD37"	"CCL22"	"CLEC10A"	"PCDH12"	""	"CCR2"	"CD38"	"ADPGK"
"CCL17"	"GZMB"	"CCL19"	"EMR3"	"CCDC88A"	"PTGDR"	"CRTAM"	"CSF3R"	"CCR2"	"CD2"	"CD247"	"CD3D"	"CCL24"	"CLEC4A"	"RAMP3"	""	"CD37"	"CD79A"	"AIF1"
"CD19"	"GZMH"	"CCL22"	"GMIP"	"CCL19"	"SAMSN1"	"CST7"	"CXCR2"	"CCR7"	"CD247"	"CD3D"	"CD3E"	"CCL8"	"FGR"	"TFEC"	""	"CFP"	"CD79B"	"AIM2"
"CD1C"	"KLRB1"	"CCL24"	"GPR183"	"CCL22"	"STAP1"	"CTSW"	"FCAR"	"CD2"	"CD27"	"CD96"	"CD5"	"CCR1"	"HCK"	""	""	"CLEC10A"	"CYBA"	"AMPD1"
"CD37"	"KLRD1"	"CCL8"	"GPR65"	"CCL24"	"ZBTB1"	"CXCR6"	"FPR1"	"CD247"	"CD3D"	"CHST12"	"CD7"	"CCR7"	"HLA-DQA1"	""	""	"CLEC4A"	"DOK3"	"APOBEC3G"
"CD69"	"KLRF1"	"CCR2"	"LRMP"	"CCL8"	""	"DUSP4"	"FPR2"	"CD27"	"CD3E"	"CST7"	"CISH"	"CD38"	"ITGAX"	""	""	"CLEC4E"	"ENTPD1"	"ARHGAP15"
"CD79A"	"KLRK1"	"CCR5"	"MMP25"	"CCR1"	""	"EOMES"	"HCK"	"CD37"	"CD3G"	"CTLA4"	"CTLA4"	"CD40"	"MMP19"	""	""	"CLEC7A"	"FCRL2"	"ARL8B"
"CD79B"	"NKG7"	"CCR7"	"NCF2"	"CD80"	""	"FASLG"	"HPSE"	"CD3D"	"CD7"	"CXCR6"	"CXCR6"	"CD80"	"MMP9"	""	""	"CSF1R"	"IRF4"	"ARPC5L"
"CD80"	"PRF1"	"CD1C"	"RGS1"	"CD84"	""	"GZMA"	"IL18RAP"	"CD3E"	"CD8B"	"FASLG"	"FAIM3"	"CD84"	"MS4A6A"	""	""	"CSF3R"	"KIAA0125"	"BANK1"
"CR1"	"RUNX3"	"CD209"	"SAMSN1"	"CLEC4E"	""	"GZMB"	"LILRA1"	"CD3G"	"CD96"	"GMIP"	"GPR171"	"CLEC4E"	"NCF2"	""	""	"CXCR2"	"MGAT2"	"BATF"
"FAIM3"	""	"CD80"	"THBS1"	"CSF1R"	""	"GZMH"	"LILRB2"	"CD5"	"CHST12"	"GPR15"	"HS3ST3B1"	"CSF1R"	"NCKAP1L"	""	""	"CYBB"	"NGLY1"	"BCL11A"
"FCAR"	""	"CD86"	""	"CXCL9"	""	"GZMK"	"LST1"	"CD6"	"CRTAM"	"GPR171"	"ICOS"	"CXCL10"	"NPL"	""	""	"DDX21"	"PNOC"	"BCL11B"
"FCRL2"	""	"CLEC10A"	""	"CYBA"	""	"GZMM"	"MEFV"	"CD69"	"CST7"	"GPR68"	"IL10RA"	"CXCL11"	"OSBPL11"	""	""	"DOK3"	"RGS1"	"BCL2A1"
