"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"BLNK"	"CTSW"	"BCL2A1"	"ABHD2"	"ACTR2"	"ATP6V1C1"	"APOBEC3G"	"BCL2A1"	"AIM2"	"BCL11B"	"APOBEC3G"	"CCR7"	"ACTR2"	"AIF1"	"CD93"	"ABCA6"	"AIF1"	"CD27"	"ABHD2"
"CD1C"	"GZMA"	"BIRC3"	"BCL2A1"	"ATG7"	"CCL4"	"CCL4"	"C5AR1"	"ARHGAP15"	"BIN2"	"CCL4"	"CD2"	"CCL19"	"ATP6V1C1"	"CDH5"	"ASPN"	"AKAP13"	"CD38"	"ACTR2"
"CD37"	"GZMB"	"CCL19"	"CCL4"	"ATP6V1C1"	"CD84"	"CCR5"	"CSF2RB"	"BATF"	"CCL4"	"CCR2"	"CD247"	"CCL4"	"CLEC10A"	"EMCN"	"COL3A1"	"C5AR1"	"CYBA"	"AIF1"
"CD53"	"GZMH"	"CCL4"	"CCR1"	"BCL2A1"	"LCP2"	"CD2"	"CSF3R"	"BCL11B"	"CCR5"	"CCR5"	"CD27"	"CCR1"	"CLEC4A"	"ERG"	"DCN"	"CCR2"	"ENTPD1"	"AIM2"
"CD69"	"KLRB1"	"CCR2"	"CD69"	"C5AR1"	"MMP9"	"CD244"	"FCGR3B"	"CCL4"	"CCR7"	"CD2"	"CD37"	"CCR7"	"FGR"	"KDR"	"GREM1"	"CD244"	"HSPA6"	"AKAP13"
"CD80"	"KLRK1"	"CCR5"	"CSF2RB"	"CCL19"	"SAMSN1"	"CD247"	"FPR1"	"CCR2"	"CD2"	"CD244"	"CD3E"	"CD38"	"HCK"	"PCDH12"	"ISLR"	"CD37"	"MTDH"	"APOBEC3G"
"FAIM3"	"NKG7"	"CCR7"	"GMIP"	"CCR1"	"STAP1"	"CRTAM"	"HCK"	"CCR7"	"CD244"	"CD247"	"CD7"	"CD40"	"HLA-DQA1"	"RAMP3"	"ITIH3"	"CLEC10A"	"RGS1"	"ARHGAP15"
"GMIP"	"PRF1"	"CD1C"	"GPR65"	"CD80"	""	"CST7"	"HPSE"	"CD2"	"CD247"	"CD300A"	"CXCR6"	"CD80"	"ITGAX"	"TFEC"	"LMOD1"	"CLEC4A"	"SEC24A"	"ATG7"
"GPR18"	""	"CD80"	"LRMP"	"CD84"	""	"CTSW"	"HSPA6"	"CD247"	"CD27"	"CD96"	"FAIM3"	"CD84"	"LILRA2"	""	"PRKG1"	"CLEC5A"	"TMED9"	"ATP6V1C1"
"HLA-DQA1"	""	"CD86"	"NCF2"	"CLEC5A"	""	"CX3CR1"	"IL18RAP"	"CD27"	"CD300A"	"CHST12"	"GPR171"	"CSF1"	"MMP19"	""	"SGCD"	"CLEC7A"	"TNFRSF17"	"BATF"
"IL4R"	""	"CLEC10A"	"RGS1"	"CSF1"	""	"CXCR6"	"LILRA2"	"CD37"	"CD3E"	"CST7"	"ICOS"	"CSF1R"	"MMP9"	""	"WISP1"	"CSF1R"	""	"BCL11B"
"IRF8"	""	"CLEC4A"	"RNASE2"	"CSF1R"	""	"GZMA"	"LILRB2"	"CD3E"	"CD3G"	"CXCR6"	"IL10RA"	"CXCL10"	"MS4A6A"	""	""	"CSF3R"	""	"BCL2A1"
