"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"BACH2"	"CTSW"	"ALOX15"	"ALOX15"	"ACTR2"	"CD84"	"APOBEC3G"	"ACAP2"	"ACAP1"	"BCL11B"	"APOBEC3G"	"CCR3"	"ACTR2"	"AIF1"	"CD93"	"ABCA6"	"ACAP2"	"AMPD1"	"ACAP1"
"BANK1"	"DUSP2"	"BCL2A1"	"BCL2A1"	"ATP6V1A"	"KLRG1"	"CCR5"	"BCL2A1"	"AIM2"	"BIN2"	"CCR2"	"CCR7"	"ATP6V1A"	"CAMP"	"CDH5"	"ASPN"	"AIF1"	"CAMP"	"ACAP2"
"BCL11A"	"EOMES"	"BCL2L11"	"CAMP"	"BCL2A1"	"LCP2"	"CD2"	"C5AR1"	"ARHGAP15"	"CCR5"	"CCR3"	"CD2"	"CCL19"	"CCDC88A"	"EMCN"	"COL14A1"	"AKAP13"	"CCDC88A"	"ACTR2"
"BCL2L11"	"FGFBP2"	"BIRC3"	"CCR1"	"C5AR1"	"PTGDR"	"CD244"	"CLC"	"BCL11B"	"CCR7"	"CCR5"	"CD247"	"CCL22"	"CCL8"	"ERG"	"COL3A1"	"BCL2L11"	"CD19"	"AIF1"
"BLK"	"GZMA"	"CCL17"	"CCR3"	"CAMP"	"SAMSN1"	"CD247"	"CLEC4E"	"CCR2"	"CD2"	"CD2"	"CD27"	"CCL8"	"CFP"	"KDR"	"DCN"	"C5AR1"	"CD27"	"AIM2"
"CCL17"	"GZMB"	"CCL19"	"CD69"	"CCDC88A"	"STAP1"	"CRTAM"	"CREB5"	"CCR7"	"CD244"	"CD244"	"CD37"	"CCR1"	"CLEC10A"	"PCDH12"	"GREM1"	"CCR2"	"CD38"	"AKAP13"
"CD19"	"GZMH"	"CCL22"	"CLC"	"CCL19"	"THRAP3"	"CST7"	"CSF2RB"	"CD2"	"CD247"	"CD247"	"CD3D"	"CCR7"	"CLEC4A"	"RAMP3"	"ISLR"	"CD1E"	"CD79A"	"ALOX15"
"CD1A"	"KLRB1"	"CCL8"	"CSF2RB"	"CCL22"	""	"CTSW"	"CSF3R"	"CD247"	"CD27"	"CD300A"	"CD3E"	"CD38"	"COL4A3BP"	"TFEC"	"ITIH3"	"CD244"	"CD79B"	"AMPD1"
"CD1C"	"KLRD1"	"CCR2"	"DEFA4"	"CCL8"	""	"CX3CR1"	"CXCR1"	"CD27"	"CD300A"	"CD3D"	"CD5"	"CD40"	"FGR"	""	"LMOD1"	"CD37"	"DOK3"	"APOBEC3G"
"CD37"	"KLRF1"	"CCR5"	"DPEP2"	"CCR1"	""	"CXCR6"	"CXCR2"	"CD37"	"CD3D"	"CD96"	"CD7"	"CD80"	"HCK"	""	"PRKG1"	"CFP"	"ENTPD1"	"ARHGAP15"
