"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"BLK"	"CTSW"	"BCL2A1"	"BCL2A1"	"ATG7"	"CD84"	"CCR5"	"BCL2A1"	"ACAP1"	"BCL11B"	"CCR2"	"CCR7"	"CCL19"	"AIF1"	"CD93"	"ABCA6"	"AIF1"	"AMPD1"	"ACAP1"
"BLNK"	"EOMES"	"CCL17"	"CCR1"	"BCL2A1"	"CXCL3"	"CD2"	"C5AR1"	"AIM2"	"BIN2"	"CCR5"	"CD2"	"CCL22"	"CCL8"	"CDH5"	"ASPN"	"C5AR1"	"CD19"	"AIF1"
"CCL17"	"FGFBP2"	"CCL19"	"CD69"	"C5AR1"	"LCP2"	"CD244"	"CLEC4E"	"ARHGAP15"	"CASP8"	"CD2"	"CD247"	"CCL8"	"CFP"	"EMCN"	"COL14A1"	"CCR2"	"CD38"	"AIM2"
"CD19"	"GZMA"	"CCL22"	"CSF2RB"	"CCL19"	"MMP9"	"CD247"	"CSF2RB"	"BATF"	"CCR5"	"CD244"	"CD37"	"CCR1"	"CLEC10A"	"ERG"	"COL3A1"	"CD244"	"CD79A"	"AMPD1"
"CD1C"	"GZMB"	"CCL8"	"DPEP2"	"CCL22"	"PTGDR"	"CRTAM"	"CSF3R"	"BCL11B"	"CCR7"	"CD247"	"CD3D"	"CCR7"	"FGR"	"KDR"	"DCN"	"CD37"	"CD79B"	"ARHGAP15"
"CD37"	"GZMH"	"CCR2"	"GPR183"	"CCL8"	"SAMSN1"	"CST7"	"CXCR1"	"CASP8"	"CD2"	"CD300A"	"CD3E"	"CD38"	"HCK"	"PCDH12"	"GREM1"	"CFP"	"CYBA"	"ATG7"
"CD69"	"KLRB1"	"CCR5"	"GPR65"	"CCR1"	"STAP1"	"CTSW"	"CXCR2"	"CBX3"	"CD244"	"CD3D"	"CD5"	"CD40"	"HLA-DQA1"	"RAMP3"	"ISLR"	"CLEC10A"	"DOK3"	"BATF"
"CD79A"	"KLRD1"	"CCR7"	"LRMP"	"CD80"	""	"CXCR6"	"FPR1"	"CCR2"	"CD247"	"CD96"	"CD7"	"CD80"	"ITGAX"	"TFEC"	"ITIH3"	"CLEC4E"	"ENTPD1"	"BCL11B"
"CD79B"	"KLRF1"	"CD1C"	"NCF2"	"CD84"	""	"EOMES"	"FPR2"	"CCR7"	"CD300A"	"CST7"	"CTLA4"	"CD84"	"LILRA2"	""	"LMOD1"	"CLEC7A"	"FCRL2"	"BCL2A1"
"CD80"	"KLRK1"	"CD209"	"RGS1"	"CHI3L1"	""	"FASLG"	"HCK"	"CD2"	"CD3D"	"CTLA4"	"CXCR6"	"CLEC4E"	"MMP19"	""	"PRKG1"	"CSF1R"	"HSPA6"	"BIN2"
"CR1"	"NKG7"	"CD80"	"RNASE2"	"CLEC4E"	""	"GZMA"	"HSPA6"	"CD247"	"CD3E"	"CXCR6"	"FAIM3"	"CSF1"	"MMP9"	""	"SGCD"	"CSF3R"	"IRF4"	"BLK"
"FAIM3"	"PRF1"	"CD86"	"SAMSN1"	"CSF1"	""	"GZMB"	"IL18RAP"	"CD37"	"CD3G"	"FASLG"	"GPR171"	"CSF1R"	"MS4A6A"	""	"TCF21"	"CXCR2"	"RGS1"	"BLNK"
"FCRL2"	"RUNX3"	"CLEC10A"	"THBS1"	"CSF1R"	""	"GZMH"	"LILRA1"	"CD3D"	"CD7"	"GPR171"	"HS3ST3B1"	"CXCL10"	"NCF2"	""	"WISP1"	"CYBB"	"RPN1"	"C5AR1"
"GPR18"	""	"CLEC7A"	""	"CXCL5"	""	"GZMK"	"LILRA2"	"CD3E"	"CD8B"	"GZMA"	"ICOS"	"CXCL11"	"NCKAP1L"	""	"WNT2"	"DOK3"	"TMED9"	"CASP8"
"HLA-DOB"	""	"CLIC2"	""	"CXCL9"	""	"GZMM"	"LILRB2"	"CD3G"	"CD96"	"GZMB"	"IL10RA"	"CXCL9"	"NPL"	""	""	"DPEP2"	"TNFRSF17"	"CBX3"
"HLA-DQA1"	""	"CSF1R"	""	"CYBA"	""	"IL18RAP"	"LST1"	"CD5"	"CRTAM"	"GZMH"	"IL2RA"	"CYBB"	"PDCD1LG2"	""	""	"FCN1"	"UBE2G1"	"CCL17"
