"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"BACH2"	"CTSW"	"BCL2A1"	"BCL2A1"	"AGPS"	"AGPS"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"BCL11B"	"APOBEC3G"	"CCR3"	"AGPS"	"AIF1"	"CD93"	"ABCA6"	"AIF1"	"AMPD1"	"ACAP1"
"BCL11A"	"DUSP2"	"BIRC3"	"CAMP"	"BCL2A1"	"CCL4"	"CCL4"	"C5AR1"	"AIM2"	"BIN2"	"CCL4"	"CCR7"	"CCL19"	"CAMP"	"CDH5"	"COL14A1"	"C5AR1"	"CAMP"	"AGPS"
"BLK"	"FGFBP2"	"CCL13"	"CCL4"	"BHLHE41"	"CD84"	"CCR5"	"CLEC4E"	"ARHGAP15"	"CCL4"	"CCR2"	"CD2"	"CCL22"	"CCDC88A"	"EMCN"	"COL3A1"	"CCR2"	"CCDC88A"	"AIF1"
"CCL17"	"GZMA"	"CCL17"	"CCR1"	"C5AR1"	"CXCL3"	"CD160"	"CREB5"	"BATF"	"CCR5"	"CCR3"	"CD247"	"CCL4"	"CCL13"	"KDR"	"DCN"	"CD1E"	"CD19"	"AIM2"
"CD19"	"GZMB"	"CCL19"	"CCR3"	"CAMP"	"KLRG1"	"CD2"	"CSF2RB"	"BCL11B"	"CCR7"	"CCR5"	"CD27"	"CCR1"	"CFP"	"PCDH12"	"ISLR"	"CD244"	"CD27"	"AMPD1"
"CD1A"	"GZMH"	"CCL22"	"CD69"	"CCDC88A"	"LCP2"	"CD244"	"CSF3R"	"CCL4"	"CD160"	"CD160"	"CD37"	"CCR7"	"CLEC10A"	"RAMP3"	"LMOD1"	"CD37"	"CD38"	"APOBEC3G"
"CD1C"	"KLRB1"	"CCL4"	"CSF2RB"	"CCL19"	"MMP9"	"CD247"	"CXCR1"	"CCR2"	"CD2"	"CD2"	"CD3E"	"CD38"	"CLEC4A"	"TFEC"	"PRKG1"	"CFP"	"CD79A"	"ARHGAP15"
"CD37"	"KLRD1"	"CCR2"	"DEFA4"	"CCL22"	"PTGDR"	"CRTAM"	"CXCR2"	"CCR7"	"CD244"	"CD244"	"CD5"	"CD40"	"FGR"	""	"SGCD"	"CLEC10A"	"CD79B"	"BACH2"
"CD53"	"KLRF1"	"CCR5"	"DPEP2"	"CCR1"	"SAMSN1"	"CST7"	"FAM65B"	"CD2"	"CD247"	"CD247"	"CD7"	"CD84"	"HCK"	""	"TCF21"	"CLEC4A"	"CYBA"	"BATF"
"CD69"	"KLRK1"	"CCR7"	"EMR3"	"CD84"	"STAP1"	"CTSW"	"FCAR"	"CD247"	"CD27"	"CD300A"	"CISH"	"CLEC4E"	"HLA-DQA1"	""	"WISP1"	"CLEC4E"	"ENTPD1"	"BCL11A"
"CD79A"	"NKG7"	"CD1A"	"FCER1A"	"CHI3L1"	""	"CX3CR1"	"FCGR3B"	"CD27"	"CD300A"	"CD96"	"CTLA4"	"CSF1"	"ITGAX"	""	"WNT2"	"CLEC7A"	"FCRL2"	"BCL11B"
"CD79B"	"PRF1"	"CD1B"	"GMIP"	"CLEC4E"	""	"CXCR6"	"FPR1"	"CD37"	"CD3E"	"CHST12"	"CXCR6"	"CSF1R"	"LILRA2"	""	""	"CSF1R"	"IRF4"	"BCL2A1"
"CR1"	"RORA"	"CD1C"	"GPR183"	"CSF1"	""	"FASLG"	"FPR2"	"CD3E"	"CD3G"	"CST7"	"FAIM3"	"CXCL9"	"MMP19"	""	""	"CSF3R"	"KIAA0125"	"BHLHE41"
"FAIM3"	"RUNX3"	"CD1E"	"GPR65"	"CSF1R"	""	"GZMA"	"HCK"	"CD3G"	"CD7"	"CTLA4"	"GPR171"	"CYBB"	"MMP9"	""	""	"CX3CR1"	"PNOC"	"BIN2"
"FAM65B"	""	"CD209"	"LRMP"	"CXCL5"	""	"GZMB"	"HPSE"	"CD5"	"CD8B"	"CXCR6"	"HS3ST3B1"	"EBI3"	"MS4A6A"	""	""	"CXCR2"	"RGS1"	"BIRC3"
