"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"BACH2"	"CTSW"	"BCL2A1"	"BCL2A1"	"BCL2A1"	"CD84"	"CCR5"	"BCL2A1"	"ACAP1"	"BIN2"	"CCR2"	"CCR3"	"BLVRA"	"AIF1"	"CD93"	"ABCA6"	"AIF1"	"AMPD1"	"ACAP1"
"BANK1"	"EOMES"	"BIRC3"	"CCR1"	"BLVRA"	"KLRG1"	"CD2"	"C5AR1"	"AIM2"	"CCR5"	"CCR3"	"CCR7"	"CCL19"	"CCL8"	"CDH5"	"ASPN"	"C5AR1"	"CD19"	"AIF1"
"BLK"	"FGFBP2"	"BLVRA"	"CCR3"	"C5AR1"	"LCP2"	"CD244"	"CLEC4E"	"ARHGAP15"	"CCR7"	"CCR5"	"CD2"	"CCL8"	"CFP"	"EMCN"	"COL14A1"	"CCR2"	"CD27"	"AIM2"
"CCL17"	"GZMA"	"CCL17"	"CD69"	"CCL19"	"PTGDR"	"CD247"	"CSF2RB"	"CCR2"	"CD2"	"CD2"	"CD247"	"CCR1"	"CLEC10A"	"ERG"	"COL3A1"	"CD1E"	"CD38"	"AMPD1"
"CD19"	"GZMB"	"CCL19"	"CSF2RB"	"CCL8"	"SAMSN1"	"CRTAM"	"CSF3R"	"CCR7"	"CD244"	"CD244"	"CD27"	"CCR7"	"CLEC4A"	"KDR"	"DCN"	"CD244"	"CD79A"	"ARHGAP15"
"CD1A"	"GZMH"	"CCL8"	"DEFA4"	"CCR1"	"STAP1"	"CST7"	"CXCR1"	"CD2"	"CD247"	"CD247"	"CD37"	"CD38"	"FGR"	"PCDH12"	"GREM1"	"CD37"	"CD79B"	"BACH2"
"CD1C"	"KLRB1"	"CCR2"	"DPEP2"	"CD80"	""	"CTSW"	"CXCR2"	"CD247"	"CD27"	"CD300A"	"CD3D"	"CD40"	"HCK"	"RAMP3"	"ISLR"	"CFP"	"DOK3"	"BANK1"
"CD37"	"KLRD1"	"CCR5"	"EMR3"	"CD84"	""	"CX3CR1"	"FAM65B"	"CD27"	"CD300A"	"CD3D"	"CD3E"	"CD80"	"HLA-DQA1"	"TFEC"	"ITIH3"	"CLEC10A"	"ENTPD1"	"BCL2A1"
"CD53"	"KLRF1"	"CCR7"	"FCER1A"	"CHI3L1"	""	"CXCR6"	"FPR1"	"CD37"	"CD3D"	"CD96"	"CD5"	"CD84"	"ITGAX"	""	"LMOD1"	"CLEC4A"	"FCRL2"	"BIN2"
"CD69"	"KLRK1"	"CD1A"	"GPR183"	"CLEC4E"	""	"EOMES"	"FPR2"	"CD3D"	"CD3E"	"CST7"	"CD7"	"CLEC4E"	"MMP19"	""	"PRKG1"	"CLEC4E"	"IRF4"	"BIRC3"
"CD79A"	"NKG7"	"CD1B"	"GPR65"	"CSF1"	""	"FASLG"	"HCK"	"CD3E"	"CD3G"	"CTLA4"	"CTLA4"	"CSF1"	"MS4A6A"	""	"SGCD"	"CLEC7A"	"KIAA0125"	"BLK"
"CD79B"	"PRF1"	"CD1C"	"LRMP"	"CSF1R"	""	"GZMA"	"IL18RAP"	"CD3G"	"CD7"	"CXCR6"	"CXCR6"	"CSF1R"	"NCF2"	""	"TCF21"	"CSF1R"	"PNOC"	"BLVRA"
"CD80"	"RORA"	"CD1E"	"MMP25"	"CXCL9"	""	"GZMB"	"LILRA1"	"CD5"	"CD8B"	"FASLG"	"FAIM3"	"CXCL10"	"NCKAP1L"	""	"WISP1"	"CSF3R"	"RGS1"	"C5AR1"
"CR1"	"RUNX3"	"CD209"	"NCF2"	"CYBB"	""	"GZMH"	"LILRB2"	"CD6"	"CD96"	"GPR15"	"GPR171"	"CXCL11"	"PDCD1LG2"	""	""	"CX3CR1"	"TNFRSF17"	"CCL17"
"FAIM3"	""	"CD80"	"RGS1"	"FGR"	""	"GZMK"	"LST1"	"CD69"	"CRTAM"	"GPR171"	"HS3ST3B1"	"CXCL9"	"PILRA"	""	""	"CXCR2"	"VPREB3"	"CCL19"
"FAM65B"	""	"CD86"	"RNASE2"	"FPR2"	""	"GZMM"	"MEFV"	"CD7"	"CST7"	"GPR68"	"ICOS"	"CYBB"	"SLAMF8"	""	""	"CYBB"	"ZBP1"	"CCL8"
"FCRL2"	""	"CLEC10A"	"SAMSN1"	"FPR3"	""	"IFNG"	"MMP25"	"CD96"	"CTSW"	"GZMA"	"IL10RA"	"EBI3"	"SLC15A3"	""	""	"DOK3"	""	"CCR1"
"GNG7"	""	"CLEC4A"	"THBS1"	"HK3"	""	"IL18RAP"	"MNDA"	"CTLA4"	"CX3CR1"	"GZMB"	"IL2RA"	"FPR2"	"TFEC"	""	""	"DPEP2"	""	"CCR2"
"GPR18"	""	"CLEC7A"	""	"IGSF6"	""	"IL2RB"	"NCF2"	"CTSW"	"CXCR6"	"GZMH"	"IL2RB"	"FPR3"	"TREM2"	""	""	"FCER1A"	""	"CCR3"
"HLA-DQA1"	""	"CLIC2"	""	"IL12B"	""	"KLRB1"	"P2RY13"	"CXCR6"	"CYTH4"	"GZMK"	"ITGB7"	"HCK"	""	""	""	"FCN1"	""	"CCR5"
"IL12B"	""	"CSF1R"	""	"ITGAX"	""	"KLRD1"	"PDE4B"	"DPEP2"	"EOMES"	"IFNG"	"ITK"	"HK3"	""	""	""	"FGL2"	""	"CCR7"
"KIAA0125"	""	"CXCL10"	""	"LILRB1"	""	"KLRF1"	"S100A12"	"FAIM3"	"FAIM3"	"IL18RAP"	"LCK"	"IDO1"	""	""	""	"FGR"	""	"CD19"
"LILRB1"	""	"CXCL9"	""	"MMP19"	""	"KLRG1"	"VNN2"	"FAM65B"	"FASLG"	"IL2RA"	"LTB"	"IGSF6"	""	""	""	"FPR1"	""	"CD1A"
"LTB"	""	"CYTH4"	""	"MS4A6A"	""	"KLRK1"	""	"FCN1"	"GIMAP4"	"IL2RB"	"PIK3IP1"	"IL12B"	""	""	""	"FPR2"	""	"CD1B"
"LY9"	""	"EBI3"	""	"NCF2"	""	"LAG3"	""	"GIMAP4"	"GIMAP6"	"ITGAL"	"RGS1"	"LILRB1"	""	""	""	"GPR183"	""	"CD1C"
"MEFV"	""	"FGL2"	""	"NCKAP1L"	""	"LTA"	""	"GIMAP6"	"GPR15"	"ITGB7"	""	"MMP19"	""	""	""	"HCK"	""	"CD1E"
"PNOC"	""	"FPR3"	""	"NECAP2"	""	"LTB"	""	"GPR132"	"GPR171"	"ITK"	""	"NECAP2"	""	""	""	"HK3"	""	"CD2"
