"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"ABI1"	"CTSW"	"ABI1"	"BCL2A1"	"ABI1"	"CD84"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"ARPC5L"	"APOBEC3G"	"CCR3"	"ABI1"	"AIF1"	"RAMP3"	"ABCA6"	"AIF1"	"AMPD1"	"ABI1"
"BANK1"	"DUSP2"	"ADPGK"	"CAMP"	"BCL2A1"	"KLRG1"	"ARPC5L"	"C5AR1"	"AIM2"	"BIN2"	"ARPC5L"	"CCR7"	"CCL1"	"CAMP"	"TFEC"	""	"C5AR1"	"CAMP"	"ACAP1"
"BLK"	"GZMA"	"BCL2A1"	"CCR1"	"BHLHE41"	"LCP2"	"CCR5"	"CLEC4E"	"ARHGAP15"	"CASP8"	"CCL1"	"CD2"	"CCL19"	"CCL8"	""	""	"CCR2"	"CD19"	"ADPGK"
"BLNK"	"GZMB"	"BIRC3"	"CCR3"	"C5AR1"	"MMP9"	"CD160"	"CSF2RB"	"BATF"	"CCR5"	"CCR2"	"CD247"	"CCL22"	"CFP"	""	""	"CD244"	"CD27"	"AIF1"
"CCL17"	"GZMH"	"CCL1"	"CD69"	"CAMP"	"PTGDR"	"CD2"	"CSF3R"	"CASP8"	"CCR7"	"CCR3"	"CD27"	"CCL24"	"CLEC10A"	""	""	"CD37"	"CD38"	"AIM2"
"CD19"	"KLRB1"	"CCL17"	"CSF2RB"	"CCL1"	"SAMSN1"	"CD244"	"FCAR"	"CBX3"	"CD160"	"CCR5"	"CD37"	"CCL8"	"CLEC4A"	""	""	"CFP"	"CD79A"	"AMPD1"
"CD1C"	"KLRD1"	"CCL19"	"DPEP2"	"CCL19"	"STAP1"	"CD247"	"FPR1"	"CCR2"	"CD2"	"CD160"	"CD3D"	"CCR1"	"COL4A3BP"	""	""	"CLEC10A"	"CD79B"	"APOBEC3G"
"CD37"	"KLRF1"	"CCL22"	"EMR3"	"CCL22"	""	"CRTAM"	"FPR2"	"CCR7"	"CD244"	"CD2"	"CD3E"	"CCR7"	"FGR"	""	""	"CLEC4A"	"CYBA"	"ARHGAP15"
"CD53"	"KLRK1"	"CCL24"	"GMIP"	"CCL24"	""	"CST7"	"HCK"	"CD2"	"CD247"	"CD244"	"CD5"	"CD38"	"HCK"	""	""	"CLEC4E"	"DOK3"	"ARPC5L"
"CD69"	"NKG7"	"CCL8"	"GPR183"	"CCL8"	""	"CTSW"	"HPSE"	"CD247"	"CD27"	"CD247"	"CD7"	"CD40"	"HLA-DQA1"	""	""	"CLEC7A"	"FCRL2"	"BANK1"
"CD79A"	"PRF1"	"CCR2"	"GPR65"	"CCR1"	""	"CXCR6"	"IL18RAP"	"CD27"	"CD300A"	"CD300A"	"CTLA4"	"CD80"	"ITGAX"	""	""	"COL4A3BP"	"GPRC5D"	"BATF"
"CD79B"	"RUNX3"	"CCR5"	"LRMP"	"CD80"	""	"FASLG"	"LILRA1"	"CD37"	"CD3D"	"CD3D"	"CXCR6"	"CD84"	"LILRA2"	""	""	"CSF1R"	"IRF4"	"BCL2A1"
