"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"CD1C"	"CTSW"	"BIRC3"	"CD69"	"CCL19"	"KLRG1"	"CCR5"	"CSF2RB"	"ACAP1"	"BIN2"	"CCR2"	"CCR7"	"CCL19"	"AIF1"	"CD93"	"ABCA6"	"AIF1"	"CD27"	"ACAP1"
"CD37"	"GNLY"	"CCL19"	"CSF2RB"	"CCL22"	"LCP2"	"CD2"	"FAM65B"	"ARHGAP15"	"CCR5"	"CCR5"	"CD2"	"CCL22"	"CLEC10A"	"CDH5"	"ASPN"	"CCR2"	"CD79A"	"AIF1"
"CD53"	"GZMA"	"CCL22"	"DEFA4"	"CD48"	"PTGDR"	"CD244"	"HCK"	"CCR2"	"CCR7"	"CD2"	"CD247"	"CCR7"	"CLEC4A"	"EMCN"	"COL14A1"	"CD1E"	"CD79B"	"ARHGAP15"
"CD69"	"GZMH"	"CCR2"	"DPEP2"	"CSF1"	"SAMSN1"	"CD247"	"IL18RAP"	"CCR7"	"CD2"	"CD244"	"CD27"	"CD48"	"FGR"	"ERG"	"COL3A1"	"CD244"	"FCRL2"	"BIN2"
"CD79A"	"KLRB1"	"CCR5"	"GPR183"	"CSF1R"	""	"CRTAM"	"LILRA2"	"CD2"	"CD244"	"CD247"	"CD37"	"CSF1"	"HCK"	"KDR"	"DCN"	"CD37"	"IRF4"	"BIRC3"
"CD79B"	"KLRD1"	"CCR7"	"GPR65"	"CYBB"	""	"CST7"	"LST1"	"CD247"	"CD247"	"CD300A"	"CD3D"	"CSF1R"	"ITGAX"	"RAMP3"	"GREM1"	"CD48"	"RGS1"	"CCL19"
"FAIM3"	"KLRK1"	"CD1C"	"LRMP"	"FGR"	""	"CTSW"	"PDE4B"	"CD27"	"CD27"	"CD3D"	"CD3E"	"CYBB"	"LILRA2"	"TFEC"	"ISLR"	"CLEC10A"	"TNFRSF17"	"CCL22"
"FAM65B"	"NKG7"	"CD1E"	"RGS1"	"IGSF6"	""	"CXCR6"	"VNN2"	"CD37"	"CD300A"	"CD96"	"CD5"	"EBI3"	"MS4A6A"	""	"ITIH3"	"CLEC4A"	""	"CCR2"
"FCRL2"	"PRF1"	"CD86"	"RNASE2"	"ITGAX"	""	"GNLY"	""	"CD3D"	"CD3D"	"CST7"	"CD7"	"HCK"	"NCKAP1L"	""	"LMOD1"	"CSF1R"	""	"CCR5"
"GPR18"	""	"CLEC10A"	"SAMSN1"	"LILRA2"	""	"GZMA"	""	"CD3E"	"CD3E"	"CTLA4"	"CTLA4"	"IGSF6"	"NPL"	""	"PRKG1"	"CYBB"	""	"CCR7"
"IL4R"	""	"CLEC4A"	""	"LILRB1"	""	"GZMH"	""	"CD3G"	"CD3G"	"CXCR6"	"CXCR6"	"LILRB1"	"SLAMF8"	""	"TCF21"	"DPEP2"	""	"CD1C"
"LILRB1"	""	"CLIC2"	""	"MS4A6A"	""	"GZMK"	""	"CD48"	"CD48"	"GNLY"	"FAIM3"	"NECAP2"	""	""	"WISP1"	"FCN1"	""	"CD1E"
"LTB"	""	"CSF1R"	""	"NCKAP1L"	""	"GZMM"	""	"CD5"	"CD7"	"GPR171"	"GPR171"	"SLAMF1"	""	""	"WNT2"	"FGR"	""	"CD2"
