"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"
"ABCB4"	"APBA2"	"CCL1"	"ABHD2"	"APOE"	"ABCC4"	"ADARB1"	"ALPL"	"ANP32B"	"ABT1"	"C1orf61"	"FOXP3"	"C1QA"	"C1QA"	"ACVRL1"	"COL1A1"	"AATK"	"ABCB9"
"BACH2"	"APOL3"	"EBI3"	"ACACB"	"ATG7"	"ADCYAP1"	"AF107846"	"BST1"	"ASF1A"	"AES"	"CD160"	"CISH"	"C1QB"	"C1QB"	"APLN"	"COL3A1"	"ABCB7"	"ACBD3"
"BCL11A"	"CTSW"	"INDO"	"C9orf156"	"BCAT1"	"CALB2"	"ALDH1B1"	"CD93"	"ATF2"	"APBA2"	"FEZ1"	"CTLA4"	"C1QC"	"C1QC"	"BCL6B"	"COL6A1"	"ACAP2"	"ACBD4"
"BLK"	"DUSP2"	"LAMP3"	"CAT"	"CCL7"	"CEACAM8"	"APBB2"	"CEACAM3"	"BATF"	"ARHGAP8"	"TARP"	"GDPD3"	"CCL8"	"CCL8"	"BMP6"	"COL6A2"	"ADIPOR1"	"ADM2"
"BLNK"	"GNLY"	"OAS3"	"CCR3"	"CD163"	"CMA1"	"ATL2"	"CREB5"	"C13orf34"	"C12orf47"	"TRD"	"IL2RA"	"CD40"	"CD5L"	"BMX"	"DCN"	"AGFG1"	"AIPL1"
"CCR9"	"GZMA"	"ABCG2"	"CLC"	"CD68"	"CPA3"	"BCL2"	"CRISPLD2"	"CD28"	"C19orf6"	"TRGV9"	"SLC35D1"	"CD5L"	"CFP"	"CDH5"	"GREM1"	"AHNAK"	"ALG5"
"CD19"	"GZMH"	"BLVRB"	"CYSLTR2"	"CD84"	"CTSG"	"CDC5L"	"CSF3R"	"DDX50"	"C4orf15"	"ABCD2"	"ATG2B"	"CXCL10"	"FCGR3A"	"CLEC14A"	"PAMR1"	"AIF1"	"ALG9"
"CD72"	"KLRB1"	"CARD9"	"EMR1"	"CHI3L1"	"ELA2"	"FGF18"	"CYP4F3"	"FAM111A"	"CAMLG"	"ACD"	"BANP"	"CXCL11"	"HRH1"	"CXorf36"	"TAGLN"	"AKAP13"	"ALPI"
"COCH"	"KLRD1"	"CD1A"	"EPN2"	"CHIT1"	"GATA2"	"FUT5"	"DYSF"	"FRYL"	"CD8A"	"ACTR8"	"CCR3"	"CXCL9"	"ITGB5"	"EDN1"	"ABCA6"	"AKAP8"	"AMPD1"
"CR2"	"KLRF1"	"CD1B"	"GALC"	"CLEC5A"	"HDC"	"FZR1"	"FCAR"	"GOLGA8A"	"CD8B"	"AGGF1"	"CCR4"	"FCGR3A"	"MERTK"	"ELTD1"	"ACBD3"	"ANKS1A"	"APOA1"
"DTNB"	"KLRK1"	"CD1C"	"GPR44"	"COL8A2"	"HPGD"	"GAGE2A"	"FCGR3B"	"ICOS"	"CDKN2AIP"	"AK2"	"CCR8"	"ITGB5"	"NPL"	"EMCN"	"ACTR10"	"ANXA1"	"APOC3"
"FCRL2"	"NKG7"	"CD1E"	"HES1"	"COLEC12"	"HPGDS"	"IGFBP5"	"FLJ11151"	"ITM2A"	"DNAJB1"	"AMZ2"	"CD28"	"MERTK"	"PDCD1LG2"	"ESAM"	"ADAMTS12"	"AP1G1"	"ARHGEF16"
"GLDC"	"RORA"	"CH25H"	"HIST1H1C"	"CTSK"	"KIT"	"KANK2"	"FPR1"	"LRBA"	"FLT3LG"	"ARMC1"	"CD5"	"PILRA"	"PILRA"	"ESM1"	"ADD1"	"APAF1"	"ARL1"
"GNG7"	"RUNX3"	"CLEC10A"	"HRH4"	"CXCL5"	"LINC01140"	"LDB3"	"FPRL1"	"NAP1L4"	"GADD45A"	"ARPC2"	"CXCR6"	"SLAMF1"	"RENBP"	"FAM124B"	"ADH1B"	"APBB3"	"ARSA"
"HLA-DOB"	"SIGIRR"	"CSF1R"	"IGSF2"	"CYBB"	"MAOB"	"MAPRE3"	"G0S2"	"NUP107"	"GZMM"	"ARPC5L"	"GALNT8"	"TNIP3"	"ABCD1"	"HECW2"	"ADH5"	"ARF5"	"ATF6"
"HLA-DQA1"	"WHAMMP3"	"CTNS"	"IL5RA"	"DNASE2B"	"MLPH"	"MCM3AP"	"HIST1H2BC"	"PHF10"	"KLF9"	"ARPP19"	"GPR25"	"ABCD1"	"ACP2"	"HHIP"	"ADI1"	"ARL8B"	"AUP1"
"IGHA1"	"ZBTB16"	"F13A1"	"KBTBD11"	"EMP1"	"MPO"	"MRC2"	"HPSE"	"PPP2R5C"	"LEPROTL1"	"ASCC1"	"HS3ST3B1"	"ABI1"	"ACSM5"	"KDR"	"ADM2"	"ARNT"	"AVIL"
"IGHG1"	"GZMB"	"FABP4"	"KCNH2"	"FDX1"	"MS4A2"	"NCR1"	"IL8RA"	"RPA1"	"LIME1"	"ASXL2"	"ICOS"	"ABTB2"	"ADAMDEC1"	"MMRN1"	"AHNAK"	"ASGR2"	"AVP"
