"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"BACH2"	"EOMES"	"BCL2A1"	"BCL2A1"	"ATG7"	"CCL4"	"ARPC5L"	"BCL2A1"	"ACAP1"	"ARPC5L"	"ARPC5L"	"CCR7"	"BLVRA"	"AIF1"	"AIF1"	"AMPD1"	"AP2S1"	"CSF1"
"BLK"	"FGFBP2"	"BIRC3"	"CCL4"	"BCL2A1"	"CD84"	"CCL4"	"C5AR1"	"AIM2"	"BIN2"	"CCL1"	"CD2"	"CCL1"	"CCDC88A"	"AKAP13"	"CCDC88A"	"CHST12"	"CYBA"
"CCL17"	"GZMA"	"BLVRA"	"CCR1"	"BLVRA"	"CXCL3"	"CCR5"	"CLC"	"ARHGAP15"	"CCL4"	"CCL4"	"CD247"	"CCL19"	"CCL8"	"C5AR1"	"CD19"	"CSF2RB"	"JAK3"
"CD19"	"GZMH"	"CCDC88A"	"CD69"	"C5AR1"	"KLRG1"	"CD2"	"CLEC4E"	"CCL4"	"CCR5"	"CCR2"	"CD27"	"CCL22"	"CFP"	"CCR2"	"CD27"	"ENTPD1"	"TMED9"
"CD1A"	"KLRB1"	"CCL1"	"CLC"	"CCDC88A"	"LCP2"	"CD244"	"CREB5"	"CCR2"	"CCR7"	"CCR5"	"CD37"	"CCL24"	"CLEC10A"	"CD1E"	"CD38"	"GIMAP4"	""
"CD1C"	"KLRD1"	"CCL17"	"CSF2RB"	"CCL1"	"MMP9"	"CD247"	"CSF2RB"	"CCR7"	"CD2"	"CD2"	"CD3E"	"CCL4"	"CLEC4A"	"CD244"	"CD79A"	"GIMAP6"	""
"CD37"	"KLRK1"	"CCL19"	"DEFA4"	"CCL19"	"PTGDR"	"CRTAM"	"CSF3R"	"CD2"	"CD247"	"CD244"	"CD5"	"CCL8"	"FGR"	"CD37"	"CD79B"	"IL3RA"	""
"CD53"	"NKG7"	"CCL22"	"DPEP2"	"CCL22"	"SAMSN1"	"CST7"	"CXCR1"	"CD247"	"CD27"	"CD247"	"CD7"	"CCR1"	"HCK"	"CFP"	"CYBA"	"NCK1"	""
"CD69"	"RORA"	"CCL24"	"EMR3"	"CCL24"	"STAP1"	"CX3CR1"	"FAM65B"	"CD27"	"CD300A"	"CD300A"	"CISH"	"CCR7"	"HLA-DQA1"	"CLEC10A"	"DOK3"	"NECAP2"	""
"CD79A"	"RUNX3"	"CCL4"	"FCER1A"	"CCL8"	""	"CXCR6"	"FCAR"	"CD37"	"CD3E"	"CHST12"	"CTLA4"	"CD38"	"ITGAX"	"CLEC4A"	"ENTPD1"	"PPM1F"	""
