"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"BACH2"	"CTSW"	"BCL2A1"	"BCL2A1"	"ATG7"	"CCL4"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"BIN2"	"APOBEC3G"	"CCR3"	"BLVRA"	"AIF1"	"AIF1"	"AMPD1"	"CHST12"	"CSF1"
"BANK1"	"EOMES"	"BCL2L11"	"CAMP"	"BCL2A1"	"CD84"	"CCL4"	"C5AR1"	"AIM2"	"CCL4"	"CCL1"	"CCR7"	"CCL1"	"CAMP"	"AKAP13"	"CAMP"	"CSF2RB"	"JAK3"
"BCL2L11"	"FGFBP2"	"BIRC3"	"CCL4"	"BHLHE41"	"KLRG1"	"CCR5"	"CLC"	"ARHGAP15"	"CCR5"	"CCL4"	"CD2"	"CCL19"	"CCDC88A"	"BCL2L11"	"CCDC88A"	"ENTPD1"	"MMP19"
"BLK"	"GZMA"	"BLVRA"	"CCR1"	"BLVRA"	"LCP2"	"CD160"	"CLEC4E"	"BATF"	"CCR7"	"CCR2"	"CD247"	"CCL22"	"CCL8"	"C5AR1"	"CD19"	"GIMAP4"	"SEC24A"
"CCL17"	"GZMH"	"CCDC88A"	"CCR3"	"C5AR1"	"MMP9"	"CD2"	"CSF2RB"	"CCL4"	"CD160"	"CCR3"	"CD27"	"CCL4"	"CFP"	"CCR2"	"CD27"	"GIMAP6"	"ZBTB1"
"CD19"	"KLRB1"	"CCL1"	"CD69"	"CAMP"	"PTGDR"	"CD244"	"CSF3R"	"CCR2"	"CD2"	"CCR5"	"CD37"	"CCL8"	"CLEC10A"	"CD1E"	"CD38"	"IL3RA"	""
"CD1A"	"KLRD1"	"CCL17"	"CLC"	"CCDC88A"	"SAMSN1"	"CD247"	"CXCR1"	"CCR7"	"CD247"	"CD160"	"CD3E"	"CCR1"	"CLEC4A"	"CD244"	"CD79A"	"NCK1"	""
"CD1C"	"KLRF1"	"CCL19"	"CSF2RB"	"CCL1"	"STAP1"	"CRTAM"	"CXCR2"	"CD2"	"CD27"	"CD2"	"CD5"	"CCR7"	"FGR"	"CD37"	"CD79B"	"NECAP2"	""
"CD37"	"KLRK1"	"CCL22"	"DPEP2"	"CCL19"	"ZBTB1"	"CST7"	"FAM65B"	"CD247"	"CD300A"	"CD244"	"CD7"	"CD38"	"HCK"	"CFP"	"DOK3"	"PPM1F"	""
"CD53"	"NKG7"	"CCL4"	"EMR3"	"CCL22"	""	"CTSW"	"FCAR"	"CD27"	"CD3E"	"CD247"	"CTLA4"	"CD40"	"HLA-DQA1"	"CLEC10A"	"ENTPD1"	"STAB1"	""
"CD69"	"RORA"	"CCL8"	"FCER1A"	"CCL8"	""	"CXCR6"	"FCGR3B"	"CD37"	"CD3G"	"CD300A"	"CXCR6"	"CD80"	"ITGAX"	"CLEC4A"	"FCRL2"	"TFEC"	""
"CD79A"	"RUNX3"	"CCR2"	"GMIP"	"CCR1"	""	"DUSP4"	"FPR1"	"CD3E"	"CD7"	"CD96"	"FAIM3"	"CD84"	"LILRA2"	"CLEC4E"	"HSPA6"	""	""
"CD79B"	""	"CCR5"	"GPR183"	"CD80"	""	"EOMES"	"FPR2"	"CD3G"	"CD8B"	"CHST12"	"GPR171"	"CLEC4E"	"MMP19"	"CLEC5A"	"IRF4"	""	""
"CD80"	""	"CCR7"	"GPR65"	"CD84"	""	"FASLG"	"HCK"	"CD5"	"CD96"	"CST7"	"HS3ST3B1"	"CSF1"	"MMP9"	"CLEC7A"	"KIAA0125"	""	""
