"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"BLK"	"CTSW"	"BCL2A1"	"BCL2A1"	"BCL2A1"	"CCL4"	"CCL4"	"BCL2A1"	"ACAP1"	"BIN2"	"CCL1"	"CCR3"	"CCL1"	"AIF1"	"AIF1"	"AMPD1"	"CSF2RB"	"CSF1"
"CCL17"	"EOMES"	"BIRC3"	"CAMP"	"C5AR1"	"CD84"	"CCR5"	"C5AR1"	"AIM2"	"CCL4"	"CCL4"	"CCR7"	"CCL19"	"CAMP"	"AKAP13"	"CAMP"	"ENTPD1"	"JAK3"
"CD19"	"GZMA"	"CCL1"	"CCL4"	"CAMP"	"LCP2"	"CD2"	"CLC"	"ARHGAP15"	"CCR5"	"CCR2"	"CD2"	"CCL22"	"CCL8"	"C5AR1"	"CD19"	"GIMAP4"	"MMP19"
"CD1A"	"GZMH"	"CCL17"	"CCR1"	"CCL1"	"MMP9"	"CD244"	"CLEC4E"	"CCL4"	"CCR7"	"CCR3"	"CD247"	"CCL4"	"CFP"	"CCR2"	"CD27"	"GIMAP6"	"SEC24A"
"CD1C"	"KLRB1"	"CCL19"	"CCR3"	"CCL19"	"PTGDR"	"CD247"	"CSF2RB"	"CCR2"	"CD2"	"CCR5"	"CD27"	"CCL8"	"CLEC10A"	"CD1E"	"CD38"	"IL3RA"	""
"CD37"	"KLRD1"	"CCL22"	"CD69"	"CCL22"	"SAMSN1"	"CRTAM"	"CSF3R"	"CCR7"	"CD247"	"CD2"	"CD37"	"CCR1"	"CLEC4A"	"CD244"	"CD79A"	"NECAP2"	""
"CD53"	"KLRF1"	"CCL4"	"CLC"	"CCL8"	"STAP1"	"CST7"	"CXCR1"	"CD2"	"CD27"	"CD244"	"CD3D"	"CCR7"	"COL4A3BP"	"CD37"	"CD79B"	"STAB1"	""
"CD69"	"KLRK1"	"CCL8"	"CSF2RB"	"CCR1"	""	"CTSW"	"CXCR2"	"CD247"	"CD300A"	"CD247"	"CD3E"	"CD38"	"FGR"	"CFP"	"DOK3"	"TFEC"	""
"CD79A"	"NKG7"	"CCR2"	"DEFA4"	"CD80"	""	"CX3CR1"	"FAM65B"	"CD27"	"CD3D"	"CD300A"	"CD5"	"CD40"	"HCK"	"CLEC10A"	"ENTPD1"	""	""
"CD79B"	"RORA"	"CCR5"	"DPEP2"	"CD84"	""	"CXCR6"	"FCAR"	"CD37"	"CD3E"	"CD3D"	"CD7"	"CD80"	"HLA-DQA1"	"CLEC4A"	"FCRL2"	""	""
"CD80"	""	"CCR7"	"EMR3"	"CHI3L1"	""	"EOMES"	"FCGR3B"	"CD3D"	"CD3G"	"CD96"	"CTLA4"	"CD84"	"ITGAX"	"CLEC4E"	"IRF4"	""	""
"CR1"	""	"CD1A"	"FCER1A"	"CLEC4E"	""	"FASLG"	"FPR1"	"CD3E"	"CD7"	"CST7"	"CXCR6"	"CLEC4E"	"MMP19"	"CLEC5A"	"KIAA0125"	""	""
"FAIM3"	""	"CD1B"	"GPR183"	"CLEC5A"	""	"GZMA"	"FPR2"	"CD3G"	"CD8B"	"CTLA4"	"FAIM3"	"CSF1"	"MMP9"	"CLEC7A"	"PNOC"	""	""
"FAM65B"	""	"CD1C"	"GPR65"	"COL4A3BP"	""	"GZMB"	"HCK"	"CD5"	"CD96"	"CXCR6"	"GPR171"	"CSF1R"	"MS4A6A"	"COL4A3BP"	"RGS1"	""	""
"FCAR"	""	"CD1E"	"LRMP"	"CSF1"	""	"GZMH"	"IL18RAP"	"CD6"	"CRTAM"	"FASLG"	"HS3ST3B1"	"CXCL10"	"NCF2"	"CSF1R"	"SEC24A"	""	""
"FCRL2"	""	"CD209"	"MMP25"	"CSF1R"	""	"GZMK"	"LILRA1"	"CD69"	"CST7"	"GPR15"	"ICOS"	"CXCL11"	"NCKAP1L"	"CSF3R"	"TNFRSF17"	""	""
"GNG7"	""	"CD80"	"NCF2"	"CXCL9"	""	"GZMM"	"LILRB2"	"CD7"	"CTSW"	"GPR171"	"IL10RA"	"CXCL9"	"PDCD1LG2"	"CX3CR1"	"ZBP1"	""	""
"GPR18"	""	"CD86"	"RGS1"	"CYBB"	""	"IFNG"	"LST1"	"CD96"	"CX3CR1"	"GPR68"	"IL2RA"	"CYBB"	"PILRA"	"CXCR2"	""	""	""
"HLA-DQA1"	""	"CLEC10A"	"RNASE2"	"FGR"	""	"IL18RAP"	"MEFV"	"CLC"	"CXCR6"	"GZMA"	"IL2RB"	"EBI3"	"RNASE6"	"CYBB"	""	""	""
"IL12B"	""	"CLEC4A"	"SAMSN1"	"FPR2"	""	"IL2RB"	"MMP25"	"CTLA4"	"CYTH4"	"GZMB"	"ITGB7"	"FPR2"	"SLAMF8"	"DOK3"	""	""	""
"IL4R"	""	"CLEC7A"	"THBS1"	"FPR3"	""	"KLRB1"	"MNDA"	"CTSW"	"FAIM3"	"GZMH"	"ITK"	"FPR3"	"SLC15A3"	"DPEP2"	""	""	""
"KIAA0125"	""	"CLIC2"	""	"HK3"	""	"KLRD1"	"NCF2"	"CXCR6"	"FASLG"	"GZMK"	"LTB"	"HCK"	"TFEC"	"FCAR"	""	""	""
"LILRB1"	""	"CSF1R"	""	"IGSF6"	""	"KLRF1"	"P2RY13"	"DPEP2"	"GIMAP4"	"IFNG"	"RGS1"	"HK3"	"TREM2"	"FCER1A"	""	""	""
"LTB"	""	"CXCL10"	""	"IL12B"	""	"KLRK1"	"PDE4B"	"FAIM3"	"GIMAP6"	"IL18RAP"	""	"IDO1"	""	"FCN1"	""	""	""
"LY9"	""	"CXCL9"	""	"ITGAX"	""	"LAG3"	"S100A12"	"FAM65B"	"GPR15"	"IL2RA"	""	"IGSF6"	""	"FGL2"	""	""	""
"MEFV"	""	"CYTH4"	""	"LILRB1"	""	"LTA"	"TNFRSF10C"	"FCN1"	"GPR171"	"IL2RB"	""	"IL12B"	""	"FGR"	""	""	""
"PNOC"	""	"EBI3"	""	"MMP19"	""	"LTB"	"USP15"	"GIMAP4"	"GPR65"	"ITGAL"	""	"LILRB1"	""	"FPR1"	""	""	""
"POU2F2"	""	"FCER1A"	""	"MMP9"	""	"NCR3"	"VNN2"	"GIMAP6"	"GPR68"	"ITGB7"	""	"MMP19"	""	"FPR2"	""	""	""
"RASGRP2"	""	"FGL2"	""	"MS4A6A"	""	"NKG7"	""	"GPR132"	"GZMA"	"ITK"	""	"NECAP2"	""	"GPR183"	""	""	""
"S1PR4"	""	"FPR3"	""	"NCF2"	""	"PRF1"	""	"GPR15"	"GZMB"	"KLRB1"	""	"PILRA"	""	"HCK"	""	""	""
"SEC24A"	""	"GPR132"	""	"NCKAP1L"	""	"PTGDR"	""	"GPR171"	"GZMH"	"LAG3"	""	"SIGLEC1"	""	"HK3"	""	""	""
"SPIB"	""	"GZMB"	""	"NECAP2"	""	"SAMD3"	""	"GPR183"	"GZMK"	"LCP2"	""	"SLAMF1"	""	"IL10RA"	""	""	""
"STAP1"	""	"HAVCR2"	""	"PILRA"	""	"SERPINB9"	""	"GPSM3"	"GZMM"	"LTA"	""	"SLAMF8"	""	"LILRA1"	""	""	""
"TNFRSF17"	""	"HCK"	""	"PLA2G7"	""	"TBX21"	""	"GZMA"	"IFNG"	"MMP25"	""	"SLC11A1"	""	"LILRB1"	""	""	""
""	""	"HK3"	""	"SIGLEC1"	""	""	""	"GZMB"	"IL10RA"	"NCR3"	""	"TFEC"	""	"LILRB2"	""	""	""
""	""	"HLA-DQA1"	""	"SLAMF8"	""	""	""	"GZMK"	"IL16"	"NKG7"	""	"TNFAIP6"	""	"LILRB3"	""	""	""
""	""	"HS3ST3B1"	""	"SLC11A1"	""	""	""	"GZMM"	"IL18RAP"	"PRF1"	""	"TNIP3"	""	"LST1"	""	""	""
""	""	"IDO1"	""	"STAB1"	""	""	""	"ICOS"	"IL2RB"	"PTPN7"	""	"TREM2"	""	"MEFV"	""	""	""
""	""	"IL10RA"	""	"TFEC"	""	""	""	"IFNG"	"ITGAL"	"SASH3"	""	""	""	"MNDA"	""	""	""
""	""	"IL12B"	""	"TREM2"	""	""	""	"IKZF1"	"ITK"	"SLAMF1"	""	""	""	"MS4A6A"	""	""	""
""	""	"IL2RA"	""	""	""	""	""	"IL10RA"	"KLRB1"	"TBX21"	""	""	""	"MYO1F"	""	""	""
""	""	"IL3RA"	""	""	""	""	""	"IL16"	"KLRD1"	""	""	""	""	"NCF2"	""	""	""
""	""	"IRF4"	""	""	""	""	""	"IL2RA"	"KLRK1"	""	""	""	""	"NCF4"	""	""	""
""	""	"ITGAX"	""	""	""	""	""	"IL2RB"	"LAG3"	""	""	""	""	"P2RY13"	""	""	""
""	""	"LILRB1"	""	""	""	""	""	"ITGB7"	"LTB"	""	""	""	""	"PILRA"	""	""	""
""	""	"LILRB2"	""	""	""	""	""	"ITK"	"LY9"	""	""	""	""	"PLEK"	""	""	""
""	""	"MMP12"	""	""	""	""	""	"JAK3"	"MMP19"	""	""	""	""	"POU2F2"	""	""	""
""	""	"MMP25"	""	""	""	""	""	"KLRB1"	"MYO1F"	""	""	""	""	"RHOG"	""	""	""
""	""	"MNDA"	""	""	""	""	""	"LTA"	"NCR3"	""	""	""	""	"RNASE2"	""	""	""
""	""	"MS4A6A"	""	""	""	""	""	"LTB"	"NKG7"	""	""	""	""	"S100A12"	""	""	""
""	""	"NCF2"	""	""	""	""	""	"LY9"	"PRF1"	""	""	""	""	"SAMSN1"	""	""	""
""	""	"NECAP2"	""	""	""	""	""	"NECAP2"	"PTGDR"	""	""	""	""	"SLC11A1"	""	""	""
""	""	"NR4A3"	""	""	""	""	""	"PTPRCAP"	"PTPRC"	""	""	""	""	"STAB1"	""	""	""
""	""	"PLA2G7"	""	""	""	""	""	"RBMS1"	"PTPRCAP"	""	""	""	""	"TLR2"	""	""	""
""	""	"RHOG"	""	""	""	""	""	"RGS1"	"PYHIN1"	""	""	""	""	"TLR8"	""	""	""
""	""	"RNASE6"	""	""	""	""	""	"SAMSN1"	"RGS1"	""	""	""	""	"USP15"	""	""	""
""	""	"RSAD2"	""	""	""	""	""	"SELPLG"	"RHOG"	""	""	""	""	"WAS"	""	""	""
""	""	"SAMSN1"	""	""	""	""	""	"SLAMF1"	"SASH3"	""	""	""	""	""	""	""	""
""	""	"SEC24A"	""	""	""	""	""	"STAP1"	"SEC24A"	""	""	""	""	""	""	""	""
""	""	"SIGLEC1"	""	""	""	""	""	"TNFRSF4"	"SLAMF1"	""	""	""	""	""	""	""	""
""	""	"SLAMF1"	""	""	""	""	""	"TNFSF8"	"TBX21"	""	""	""	""	""	""	""	""
""	""	"SLAMF8"	""	""	""	""	""	"TRAF1"	"TNFSF8"	""	""	""	""	""	""	""	""
""	""	"SPIB"	""	""	""	""	""	"TRAF3IP3"	"TRAF3IP3"	""	""	""	""	""	""	""	""
""	""	"STAB1"	""	""	""	""	""	"TRAT1"	"TSC22D3"	""	""	""	""	""	""	""	""
""	""	"TFEC"	""	""	""	""	""	"ZAP70"	"WAS"	""	""	""	""	""	""	""	""
""	""	"TNFAIP6"	""	""	""	""	""	""	"ZAP70"	""	""	""	""	""	""	""	""
""	""	"TNFRSF4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"TRAF1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"TREM2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
