"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"BACH2"	"CTSW"	"BCL2A1"	"BCL2A1"	"BCL2A1"	"CCL4"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"BCL11B"	"APOBEC3G"	"CCR3"	"BLVRA"	"AIF1"	"AIF1"	"AMPD1"	"CHST12"	"CSF1"
"BANK1"	"DUSP2"	"BIRC3"	"CAMP"	"BHLHE41"	"CD84"	"CCL4"	"C5AR1"	"AIM2"	"BIN2"	"CCL4"	"CCR7"	"CCL19"	"CAMP"	"C5AR1"	"CAMP"	"CSF2RB"	"CYBA"
"BCL11A"	"EOMES"	"BLVRA"	"CCL4"	"BLVRA"	"CXCL3"	"CCR5"	"CLEC4E"	"ARHGAP15"	"CCL4"	"CCR2"	"CD2"	"CCL22"	"CCL8"	"CCR2"	"CD19"	"ENTPD1"	"JAK3"
"BLK"	"GZMA"	"CCL17"	"CCR1"	"C5AR1"	"KLRG1"	"CD160"	"CSF2RB"	"BATF"	"CCR5"	"CCR3"	"CD247"	"CCL24"	"CFP"	"CD1E"	"CD27"	"GIMAP4"	"MTHFD2"
"CCL17"	"GZMH"	"CCL19"	"CCR3"	"CAMP"	"LCP2"	"CD2"	"CSF3R"	"BCL11B"	"CCR7"	"CCR5"	"CD27"	"CCL4"	"CLEC10A"	"CD244"	"CD38"	"GIMAP6"	""
"CD19"	"KLRB1"	"CCL22"	"CD69"	"CCL19"	"MMP9"	"CD244"	"CXCR1"	"CCL4"	"CD160"	"CD160"	"CD37"	"CCL8"	"CLEC4A"	"CD37"	"CD79A"	"IL3RA"	""
"CD1A"	"KLRD1"	"CCL24"	"CSF2RB"	"CCL22"	"PTGDR"	"CD247"	"CXCR2"	"CCR2"	"CD2"	"CD2"	"CD3E"	"CCR1"	"FGR"	"CFP"	"CD79B"	"NECAP2"	""
"CD1C"	"KLRF1"	"CCL4"	"DPEP2"	"CCL24"	"SAMSN1"	"CRTAM"	"FAM65B"	"CCR7"	"CD247"	"CD244"	"CD5"	"CCR7"	"HCK"	"CLEC10A"	"CYBA"	"STAB1"	""
"CD37"	"KLRK1"	"CCL8"	"EMR3"	"CCL8"	"STAP1"	"CST7"	"FCAR"	"CD2"	"CD27"	"CD247"	"CD7"	"CD38"	"HLA-DQA1"	"CLEC4A"	"DOK3"	"TFEC"	""
"CD53"	"NKG7"	"CCR2"	"FCER1A"	"CCR1"	""	"CTSW"	"FCGR3B"	"CD247"	"CD300A"	"CD300A"	"CTLA4"	"CD80"	"ITGAX"	"CLEC4E"	"ENTPD1"	""	""
"CD69"	"RUNX3"	"CCR5"	"GMIP"	"CD80"	""	"CX3CR1"	"FPR1"	"CD27"	"CD3E"	"CD96"	"CXCR6"	"CD84"	"LILRA2"	"CLEC5A"	"FCRL2"	""	""
"CD79A"	""	"CCR7"	"GPR183"	"CD84"	""	"CXCR6"	"FPR2"	"CD37"	"CD3G"	"CHST12"	"FAIM3"	"CLEC4E"	"MMP9"	"CLEC7A"	"IRF4"	""	""
"CD79B"	""	"CD1A"	"GPR65"	"CHI3L1"	""	"DUSP4"	"HCK"	"CD3E"	"CD7"	"CST7"	"GPR171"	"CSF1"	"MS4A6A"	"CSF1R"	"KIAA0125"	""	""
"CD80"	""	"CD1B"	"LRMP"	"CLEC4E"	""	"EOMES"	"HPSE"	"CD3G"	"CD8B"	"CTLA4"	"ICOS"	"CSF1R"	"NCF2"	"CSF3R"	"PNOC"	""	""
"CR1"	""	"CD1C"	"MMP25"	"CLEC5A"	""	"FASLG"	"IL18RAP"	"CD5"	"CD96"	"CXCR6"	"IL10RA"	"CXCL11"	"NCKAP1L"	"CX3CR1"	"RGS1"	""	""
"FAIM3"	""	"CD1E"	"NCF2"	"CSF1"	""	"GZMA"	"LILRA1"	"CD6"	"CHST12"	"FASLG"	"IL2RA"	"CXCL9"	"NPL"	"CXCR2"	"TNFRSF17"	""	""
"FAM65B"	""	"CD209"	"RGS1"	"CSF1R"	""	"GZMB"	"LILRA2"	"CD69"	"CRTAM"	"GMIP"	"IL2RB"	"CYBB"	"PDCD1LG2"	"CYBB"	"ZBP1"	""	""
"FCAR"	""	"CD80"	"SAMSN1"	"CXCL5"	""	"GZMH"	"LILRB2"	"CD7"	"CST7"	"GPR15"	"ITGB7"	"EBI3"	"PILRA"	"DOK3"	""	""	""
