"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"ABI1"	"CTSW"	"ABI1"	"BCL2A1"	"ABI1"	"CD84"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"ARPC5L"	"APOBEC3G"	"CCR3"	"ABI1"	"AIF1"	"AIF1"	"AMPD1"	"CHST12"	"C6orf62"
"BANK1"	"DUSP2"	"ADPGK"	"CAMP"	"BCL2A1"	"KLRG1"	"ARPC5L"	"C5AR1"	"AIM2"	"BIN2"	"ARPC5L"	"CCR7"	"CCL1"	"CAMP"	"C5AR1"	"CAMP"	"CSF2RB"	"CYBA"
"BLK"	"GZMA"	"BCL2A1"	"CCR1"	"BHLHE41"	"LCP2"	"CCR5"	"CLEC4E"	"ARHGAP15"	"CASP8"	"CCL1"	"CD2"	"CCL19"	"CCL8"	"CCR2"	"CD19"	"GIMAP4"	"JAK3"
"BLNK"	"GZMH"	"BIRC3"	"CCR3"	"C5AR1"	"MMP9"	"CD160"	"CSF2RB"	"BATF"	"CCR5"	"CCR2"	"CD247"	"CCL22"	"CFP"	"CD244"	"CD27"	"GIMAP6"	""
"CCL17"	"KLRB1"	"CCL1"	"CD69"	"CAMP"	"PTGDR"	"CD2"	"CSF3R"	"CASP8"	"CCR7"	"CCR3"	"CD27"	"CCL24"	"CLEC10A"	"CD37"	"CD38"	"IL3RA"	""
"CD19"	"KLRD1"	"CCL17"	"CSF2RB"	"CCL1"	"SAMSN1"	"CD244"	"FCAR"	"CBX3"	"CD160"	"CCR5"	"CD37"	"CCL8"	"CLEC4A"	"CFP"	"CD79A"	"NECAP2"	""
"CD1C"	"KLRF1"	"CCL19"	"DPEP2"	"CCL19"	"STAP1"	"CD247"	"FPR1"	"CCR2"	"CD2"	"CD160"	"CD3D"	"CCR1"	"COL4A3BP"	"CLEC10A"	"CD79B"	"TFEC"	""
"CD37"	"KLRK1"	"CCL22"	"EMR3"	"CCL22"	""	"CRTAM"	"FPR2"	"CCR7"	"CD247"	"CD2"	"CD3E"	"CCR7"	"FGR"	"CLEC4A"	"CYBA"	""	""
"CD53"	"NKG7"	"CCL24"	"GMIP"	"CCL24"	""	"CST7"	"HCK"	"CD2"	"CD27"	"CD244"	"CD5"	"CD38"	"HCK"	"CLEC4E"	"DOK3"	""	""
"CD69"	"RUNX3"	"CCL8"	"GPR183"	"CCL8"	""	"CTSW"	"HPSE"	"CD247"	"CD300A"	"CD247"	"CD7"	"CD40"	"HLA-DQA1"	"CLEC7A"	"FCRL2"	""	""
