"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"CD1C"	"CTSW"	"BIRC3"	"CD69"	"CCL19"	"KLRG1"	"CCR5"	"CSF2RB"	"ACAP1"	"BIN2"	"CCR2"	"CCR7"	"CCL19"	"AIF1"	"AIF1"	"CD27"	"CSF2RB"	"CSF1"
"CD37"	"GNLY"	"CCL19"	"CSF2RB"	"CCL22"	"LCP2"	"CD2"	"FAM65B"	"ARHGAP15"	"CCR5"	"CCR5"	"CD2"	"CCL22"	"CLEC10A"	"CCR2"	"CD79A"	"GIMAP4"	""
"CD53"	"GZMA"	"CCL22"	"DEFA4"	"CD48"	"PTGDR"	"CD244"	"HCK"	"CCR2"	"CCR7"	"CD2"	"CD247"	"CCR7"	"CLEC4A"	"CD1E"	"CD79B"	"GIMAP6"	""
"CD69"	"GZMH"	"CCR2"	"DPEP2"	"CSF1"	"SAMSN1"	"CD247"	"IL18RAP"	"CCR7"	"CD2"	"CD244"	"CD27"	"CD48"	"FGR"	"CD244"	"FCRL2"	"NECAP2"	""
"CD79A"	"KLRB1"	"CCR5"	"GPR183"	"CSF1R"	""	"CRTAM"	"LILRA2"	"CD2"	"CD247"	"CD247"	"CD37"	"CSF1"	"HCK"	"CD37"	"IRF4"	"STAB1"	""
"CD79B"	"KLRD1"	"CCR7"	"GPR65"	"CYBB"	""	"CST7"	"LST1"	"CD247"	"CD27"	"CD300A"	"CD3D"	"CSF1R"	"ITGAX"	"CD48"	"RGS1"	""	""
"FAIM3"	"KLRK1"	"CD1C"	"LRMP"	"FGR"	""	"CTSW"	"PDE4B"	"CD27"	"CD300A"	"CD3D"	"CD3E"	"CYBB"	"LILRA2"	"CLEC10A"	"TNFRSF17"	""	""
"FAM65B"	"NKG7"	"CD1E"	"RGS1"	"IGSF6"	""	"CXCR6"	"VNN2"	"CD37"	"CD3D"	"CD96"	"CD5"	"EBI3"	"MS4A6A"	"CLEC4A"	""	""	""
"FCRL2"	""	"CD86"	"RNASE2"	"ITGAX"	""	"GNLY"	""	"CD3D"	"CD3E"	"CST7"	"CD7"	"HCK"	"NCKAP1L"	"CSF1R"	""	""	""
"GPR18"	""	"CLEC10A"	"SAMSN1"	"LILRA2"	""	"GZMA"	""	"CD3E"	"CD3G"	"CTLA4"	"CTLA4"	"IGSF6"	"NPL"	"CYBB"	""	""	""
"IL4R"	""	"CLEC4A"	""	"LILRB1"	""	"GZMH"	""	"CD3G"	"CD48"	"CXCR6"	"CXCR6"	"LILRB1"	"SLAMF8"	"DPEP2"	""	""	""
"LILRB1"	""	"CLIC2"	""	"MS4A6A"	""	"GZMK"	""	"CD48"	"CD7"	"GNLY"	"FAIM3"	"NECAP2"	""	"FCN1"	""	""	""
"LTB"	""	"CSF1R"	""	"NCKAP1L"	""	"GZMM"	""	"CD5"	"CD96"	"GPR171"	"GPR171"	"SLAMF1"	""	"FGR"	""	""	""
"LY9"	""	"CYTH4"	""	"NECAP2"	""	"IFNG"	""	"CD6"	"CRTAM"	"GZMA"	"ICOS"	"SLAMF8"	""	"GPR183"	""	""	""
"RASGRP2"	""	"EBI3"	""	"PLA2G7"	""	"IL18RAP"	""	"CD69"	"CST7"	"GZMH"	"IL10RA"	""	""	"HCK"	""	""	""
"S1PR4"	""	"HAVCR2"	""	"SLAMF8"	""	"IL2RB"	""	"CD7"	"CTSW"	"GZMK"	"IL2RB"	""	""	"IL10RA"	""	""	""
"SPIB"	""	"HCK"	""	"STAB1"	""	"KIR2DL3"	""	"CD96"	"CXCR6"	"IFNG"	"ITGB7"	""	""	"LILRA2"	""	""	""
"TNFRSF17"	""	"IL10RA"	""	""	""	"KLRB1"	""	"CTLA4"	"CYTH4"	"IL18RAP"	"ITK"	""	""	"LILRB1"	""	""	""
""	""	"IRF4"	""	""	""	"KLRD1"	""	"CTSW"	"FAIM3"	"IL2RB"	"LCK"	""	""	"LILRB3"	""	""	""
""	""	"ITGAX"	""	""	""	"KLRG1"	""	"CXCR6"	"GIMAP4"	"ITGAL"	"LTB"	""	""	"LST1"	""	""	""
""	""	"LILRB1"	""	""	""	"KLRK1"	""	"DPEP2"	"GIMAP6"	"ITGB7"	"RGS1"	""	""	"MS4A6A"	""	""	""
""	""	"MS4A6A"	""	""	""	"LTB"	""	"FAIM3"	"GNLY"	"ITK"	""	""	""	"MYO1F"	""	""	""
""	""	"NECAP2"	""	""	""	"NCR3"	""	"FAM65B"	"GPR171"	"KLRB1"	""	""	""	"NCF4"	""	""	""
""	""	"PLA2G7"	""	""	""	"NKG7"	""	"FCN1"	"GPR65"	"KLRG1"	""	""	""	"PLEK"	""	""	""
""	""	"SAMSN1"	""	""	""	"PRF1"	""	"GIMAP4"	"GZMA"	"LCP2"	""	""	""	"RNASE2"	""	""	""
""	""	"SLAMF1"	""	""	""	"PTGDR"	""	"GIMAP6"	"GZMH"	"NCR3"	""	""	""	"SAMSN1"	""	""	""
""	""	"SLAMF8"	""	""	""	"SAMD3"	""	"GPR171"	"GZMK"	"NKG7"	""	""	""	"STAB1"	""	""	""
""	""	"SPIB"	""	""	""	"TBX21"	""	"GPR183"	"GZMM"	"PRF1"	""	""	""	"WAS"	""	""	""
""	""	"STAB1"	""	""	""	""	""	"GZMA"	"IFNG"	"PTPN7"	""	""	""	""	""	""	""
""	""	"TNFRSF4"	""	""	""	""	""	"GZMK"	"IL10RA"	"PVRIG"	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"GZMM"	"IL16"	"SASH3"	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ICOS"	"IL18RAP"	"SLAMF1"	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"IFNG"	"IL2RB"	"TBX21"	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"IKZF1"	"ITGAL"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"IL10RA"	"ITK"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"IL16"	"KLRB1"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"IL2RB"	"KLRD1"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ITGB7"	"KLRG1"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ITK"	"KLRK1"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"KLRB1"	"LCK"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"LCK"	"LTB"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"LTB"	"LY9"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"LY9"	"MYO1F"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"NECAP2"	"NCR3"	""	""	""	""	""	""	""	""
