"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"BACH2"	"EOMES"	"BCL2A1"	"BCL2A1"	"ATG7"	"CCL4"	"ARPC5L"	"BCL2A1"	"ACAP1"	"ARPC5L"	"ARPC5L"	"CCR7"	"BLVRA"	"AIF1"	"AIF1"	"AMPD1"	"CD93"	"ASPN"
"BLK"	"FGFBP2"	"BIRC3"	"CCL4"	"BCL2A1"	"CD84"	"CCL4"	"C5AR1"	"AIM2"	"BIN2"	"CCL1"	"CD2"	"CCL1"	"CCDC88A"	"AKAP13"	"CCDC88A"	"CDH5"	"COL14A1"
"CCL17"	"GZMA"	"BLVRA"	"CCR1"	"BLVRA"	"CXCL3"	"CCR5"	"CLC"	"ARHGAP15"	"CCL4"	"CCL4"	"CD247"	"CCL19"	"CCL8"	"C5AR1"	"CD19"	"EMCN"	"COL3A1"
"CD19"	"GZMB"	"CCDC88A"	"CD69"	"C5AR1"	"KLRG1"	"CD2"	"CLEC4E"	"CCL4"	"CCR5"	"CCR2"	"CD27"	"CCL22"	"CFP"	"CCR2"	"CD27"	"ERG"	"DCN"
"CD1A"	"GZMH"	"CCL1"	"CLC"	"CCDC88A"	"LCP2"	"CD244"	"CREB5"	"CCR2"	"CCR7"	"CCR5"	"CD37"	"CCL24"	"CLEC10A"	"CD1E"	"CD38"	"PCDH12"	"GREM1"
"CD1C"	"KLRB1"	"CCL17"	"CSF2RB"	"CCL1"	"MMP9"	"CD247"	"CSF2RB"	"CCR7"	"CD2"	"CD2"	"CD3E"	"CCL4"	"CLEC4A"	"CD244"	"CD79A"	"RAMP3"	"ISLR"
"CD37"	"KLRD1"	"CCL19"	"DEFA4"	"CCL19"	"PTGDR"	"CRTAM"	"CSF3R"	"CD2"	"CD244"	"CD244"	"CD5"	"CCL8"	"FGR"	"CD37"	"CD79B"	"TFEC"	"ITIH3"
"CD53"	"KLRK1"	"CCL22"	"DPEP2"	"CCL22"	"SAMSN1"	"CST7"	"CXCR1"	"CD247"	"CD247"	"CD247"	"CD7"	"CCR1"	"HCK"	"CFP"	"CYBA"	""	"LMOD1"
"CD69"	"NKG7"	"CCL24"	"EMR3"	"CCL24"	"STAP1"	"CX3CR1"	"FAM65B"	"CD27"	"CD27"	"CD300A"	"CISH"	"CCR7"	"HLA-DQA1"	"CLEC10A"	"DOK3"	""	"PRKG1"
"CD79A"	"PRF1"	"CCL4"	"FCER1A"	"CCL8"	""	"CXCR6"	"FCAR"	"CD37"	"CD300A"	"CHST12"	"CTLA4"	"CD38"	"ITGAX"	"CLEC4A"	"ENTPD1"	""	"SGCD"
