"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"BANK1"	"CTSW"	"BCL2A1"	"BCL2A1"	"BCL2A1"	"CD84"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"BCL11B"	"APOBEC3G"	"CCR3"	"CCL19"	"AIF1"	"AIF1"	"AMPD1"	"CD93"	"ABCA6"
"BLK"	"EOMES"	"CCL17"	"CCR1"	"CCL19"	"KLRG1"	"CCR5"	"CLC"	"AIM2"	"BIN2"	"CCR2"	"CCR7"	"CCL22"	"CCL8"	"CCR2"	"CD19"	"CDH5"	"ASPN"
"CCL17"	"GZMA"	"CCL19"	"CCR3"	"CCL22"	"LCP2"	"CD2"	"CLEC4E"	"ARHGAP15"	"CCR5"	"CCR3"	"CD2"	"CCL24"	"CFP"	"CD1E"	"CD27"	"EMCN"	"COL14A1"
"CD19"	"GZMH"	"CCL22"	"CD69"	"CCL24"	"MMP9"	"CD244"	"CSF2RB"	"BATF"	"CCR7"	"CCR5"	"CD247"	"CCL8"	"CLEC10A"	"CD244"	"CD38"	"ERG"	"COL3A1"
"CD1C"	"KLRB1"	"CCL24"	"CLC"	"CCL8"	"PTGDR"	"CD247"	"CSF3R"	"BCL11B"	"CD2"	"CD2"	"CD27"	"CCR1"	"CLEC4A"	"CD37"	"CD79A"	"KDR"	"DCN"
"CD37"	"KLRD1"	"CCL8"	"CSF2RB"	"CCR1"	"SAMSN1"	"CRTAM"	"CXCR1"	"CCR2"	"CD247"	"CD244"	"CD37"	"CCR7"	"FGR"	"CFP"	"CD79B"	"PCDH12"	"GREM1"
"CD53"	"KLRK1"	"CCR2"	"DPEP2"	"CD80"	"STAP1"	"CST7"	"CXCR2"	"CCR7"	"CD27"	"CD247"	"CD3E"	"CD38"	"HCK"	"CLEC10A"	"DOK3"	"RAMP3"	"ISLR"
"CD69"	"NKG7"	"CCR5"	"EMR3"	"CD84"	""	"CTSW"	"FAM65B"	"CD2"	"CD300A"	"CD300A"	"CD5"	"CD40"	"ITGAX"	"CLEC4A"	"ENTPD1"	"TFEC"	"ITIH3"
"CD79A"	""	"CCR7"	"GMIP"	"CHI3L1"	""	"CX3CR1"	"FCAR"	"CD247"	"CD3E"	"CD96"	"CD7"	"CD80"	"LILRA2"	"CLEC4E"	"FCRL2"	""	"LMOD1"
"CD79B"	""	"CD1B"	"GPR183"	"CLEC4E"	""	"CXCR6"	"FPR1"	"CD27"	"CD3G"	"CHST12"	"CISH"	"CD84"	"MMP19"	"CLEC5A"	"HSPA6"	""	"PRKG1"
"CD80"	""	"CD1C"	"GPR65"	"CLEC5A"	""	"EOMES"	"FPR2"	"CD37"	"CD7"	"CST7"	"CTLA4"	"CLEC4E"	"MMP9"	"CLEC7A"	"IRF4"	""	"WISP1"
"CR1"	""	"CD1E"	"LRMP"	"CSF1"	""	"FASLG"	"HCK"	"CD3E"	"CD8B"	"CTLA4"	"CXCR6"	"CSF1"	"MS4A6A"	"CSF1R"	"KIAA0125"	""	"WNT2"
"FAIM3"	""	"CD209"	"MMP25"	"CSF1R"	""	"GZMA"	"HSPA6"	"CD3G"	"CD96"	"CXCR6"	"FAIM3"	"CSF1R"	"NCF2"	"CSF3R"	"PNOC"	""	""
"FAM65B"	""	"CD80"	"NCF2"	"CXCL9"	""	"GZMB"	"IL18RAP"	"CD5"	"CHST12"	"FASLG"	"GPR171"	"CXCL10"	"NCKAP1L"	"CX3CR1"	"RGS1"	""	""
