"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"BLNK"	"CTSW"	"ACP5"	"BCL2A1"	"ACP5"	"CCL4"	"APOBEC3G"	"BCL2A1"	"ARHGAP15"	"BIN2"	"APOBEC3G"	"CCR7"	"CCL4"	"ACP5"	"AIF1"	"CAMP"	"CD93"	"ABCA6"
"CD37"	"DUSP2"	"ADPGK"	"CAMP"	"BCL2A1"	"CD84"	"CCL4"	"C5AR1"	"BATF"	"CASP8"	"CCL4"	"CD2"	"CCL5"	"AIF1"	"C5AR1"	"CD38"	"TFEC"	"ASPN"
"CD53"	"GNLY"	"BCL2A1"	"CCL4"	"C5AR1"	"CXCL3"	"CCL5"	"CSF2RB"	"CASP8"	"CCL4"	"CCL5"	"CD37"	"CCR1"	"CAMP"	"CCR2"	"CYBA"	""	"COL14A1"
"CD69"	"GZMA"	"BIRC3"	"CCR1"	"CAMP"	"IL1B"	"CCR5"	"CSF3R"	"CCL4"	"CCL5"	"CCR2"	"CD3D"	"CCR7"	"CCL13"	"CD244"	"DOK3"	""	"COL3A1"
"CR1"	"GZMB"	"CCL13"	"CD69"	"CCR1"	"LCP2"	"CD2"	"FCGR3B"	"CCR2"	"CCR5"	"CCR5"	"CD3E"	"CD38"	"CD52"	"CD37"	"ENTPD1"	""	"DCN"
"GMIP"	"GZMH"	"CCL4"	"CSF2RB"	"CD48"	"SAMSN1"	"CD244"	"FPR1"	"CCR7"	"CCR7"	"CD2"	"CD7"	"CD40"	"CLEC10A"	"CD48"	"HSPA6"	""	"GREM1"
"HLA-DQA1"	"KLRB1"	"CCL5"	"DPEP2"	"CD52"	""	"CRTAM"	"HCK"	"CD2"	"CD2"	"CD244"	"GPR171"	"CD48"	"CLEC4A"	"CLEC10A"	"RGS1"	""	"ISLR"
"IL4R"	"NKG7"	"CCR2"	"GMIP"	"CD84"	""	"CST7"	"HPSE"	"CD37"	"CD244"	"CD300A"	"IL10RA"	"CD84"	"FGR"	"CLEC4A"	""	""	"ITIH3"
"IRF8"	"PRF1"	"CCR5"	"GPR65"	"CLEC5A"	""	"CTSW"	"HSPA6"	"CD3D"	"CD300A"	"CD3D"	"IL2RA"	"CSF1"	"HCK"	"CLEC5A"	""	""	"LMOD1"
"LILRB1"	"RUNX3"	"CCR7"	"LRMP"	"CSF1"	""	"FASLG"	"IL18RAP"	"CD3E"	"CD3D"	"CST7"	"IL2RB"	"CSF1R"	"HLA-DQA1"	"CLEC7A"	""	""	"SGCD"
"LTB"	""	"CD86"	"NCF2"	"CSF1R"	""	"GNLY"	"LILRA1"	"CD3G"	"CD3E"	"FASLG"	"ITGB7"	"CXCL9"	"ITGAX"	"CSF1R"	""	""	"WNT2"
"POU2F2"	""	"CLEC10A"	"RGS1"	"CXCL5"	""	"GZMA"	"LILRA2"	"CD48"	"CD3G"	"GMIP"	"ITK"	"CYBB"	"LILRA2"	"CSF3R"	""	""	""
"PTPN6"	""	"CLEC4A"	"RNASE2"	"CXCL9"	""	"GZMB"	"LILRB2"	"CD52"	"CD48"	"GNLY"	"LCK"	"EBI3"	"MMP19"	"CYBB"	""	""	""
"SELL"	""	"CLEC7A"	"SAMSN1"	"CYBA"	""	"GZMH"	"LST1"	"CD6"	"CD7"	"GPR171"	"LTB"	"HCK"	"MS4A6A"	"DOK3"	""	""	""
""	""	"CLIC2"	"THBS1"	"CYBB"	""	"GZMK"	"MNDA"	"CD69"	"CRTAM"	"GZMA"	"PIK3IP1"	"HK3"	"NAGPA"	"DPEP2"	""	""	""
