"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"ABI1"	"CTSW"	"ABI1"	"ALOX15"	"ABI1"	"CCL4"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"ARPC5L"	"APOBEC3G"	"CCR7"	"ABI1"	"AIF1"	"AIF1"	"AMPD1"	"CD93"	"ABCA6"
"BACH2"	"DUSP2"	"ALOX15"	"BCL2A1"	"ACTR2"	"CD84"	"ARPC5L"	"C5AR1"	"AIM2"	"BCL11B"	"ARPC5L"	"CD2"	"ACTR2"	"CCL8"	"C5AR1"	"CD19"	""	"ASPN"
"BLK"	"EOMES"	"BCL2A1"	"CCL4"	"ATG7"	"KLRG1"	"CCL4"	"CLEC4E"	"ARHGAP15"	"BIN2"	"CCL4"	"CD247"	"CCL19"	"CFP"	"CCR2"	"CD27"	""	"COL14A1"
"CCL17"	"GZMA"	"BIRC3"	"CCR1"	"BCL2A1"	"LCP2"	"CCR5"	"CSF2RB"	"BATF"	"CCL4"	"CCR2"	"CD27"	"CCL22"	"CLEC10A"	"CD1E"	"CD38"	""	"COL3A1"
"CD19"	"GZMH"	"CCL17"	"CD69"	"C5AR1"	"PTGDR"	"CD2"	"CSF3R"	"BCL11B"	"CCR5"	"CCR5"	"CD37"	"CCL4"	"CLEC4A"	"CD244"	"CD79A"	""	"DCN"
"CD1C"	"KLRB1"	"CCL19"	"CSF2RB"	"CCL19"	"SAMSN1"	"CD244"	"FAM65B"	"CCL4"	"CCR7"	"CD2"	"CD3E"	"CCL8"	"FGR"	"CD37"	"CD79B"	""	"GREM1"
"CD37"	"KLRK1"	"CCL22"	"DPEP2"	"CCL22"	"STAP1"	"CD247"	"FPR1"	"CCR2"	"CD2"	"CD244"	"CD5"	"CCR1"	"HCK"	"CFP"	"CYBA"	""	"ISLR"
"CD53"	"NKG7"	"CCL4"	"GMIP"	"CCL8"	""	"CRTAM"	"HCK"	"CCR7"	"CD247"	"CD247"	"CD7"	"CCR7"	"HLA-DQA1"	"CLEC10A"	"DOK3"	""	"ITIH3"
"CD69"	"RUNX3"	"CCL8"	"GPR183"	"CCR1"	""	"CST7"	"HPSE"	"CD2"	"CD27"	"CD300A"	"CTLA4"	"CD38"	"MMP19"	"CLEC4A"	"ENTPD1"	""	"LMOD1"
"CD79A"	""	"CCR2"	"GPR65"	"CD80"	""	"CTSW"	"HSPA6"	"CD247"	"CD300A"	"CD96"	"CXCR6"	"CD80"	"MS4A6A"	"CLEC4E"	"FCRL2"	""	"SGCD"
"CD79B"	""	"CCR5"	"NCF2"	"CD84"	""	"CXCR6"	"IL18RAP"	"CD27"	"CD3E"	"CST7"	"FAIM3"	"CD84"	"NAGPA"	"CLEC7A"	"HSPA6"	""	"TCF21"
"CD80"	""	"CCR7"	"RGS1"	"CLEC4E"	""	"DUSP4"	"LILRA1"	"CD37"	"CD3G"	"CTLA4"	"GPR171"	"CLEC4E"	"NCF2"	"CSF1R"	"IRF4"	""	"WISP1"
