"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"ACTN2"	"APOL3"	"ABCA6"	"ACACB"	"ACSM5"	"ANXA1"	"APOBEC3G"	"AATK"	"AAK1"	"AAK1"	"AK2"	"CCR3"	"ADRA2B"	"ACSM5"	"AATK"	"ARHGEF16"	"ADRA1B"	"ABCA6"
"ADAMTS8"	"CD8A"	"ACOT9"	"ADORA3"	"ADRA2B"	"ANXA11"	"CCL5"	"AQP9"	"ACAP1"	"AHNAK"	"APOBEC3G"	"CD247"	"ANXA2"	"ADRA2B"	"ADIPOR1"	"ARL1"	"ADSS"	"ADH1B"
"ADCY2"	"DUSP2"	"ADPRH"	"ASPA"	"AKR7A2"	"BAIAP2"	"CCR5"	"BCL2A1"	"AK1"	"ARHGAP8"	"ATP8B4"	"CD37"	"AP1M2"	"AIF1"	"AHNAK"	"ARSA"	"ANXA2"	"AHNAK"
"ANKRD34C"	"EOMES"	"ALDH1A2"	"BCL2A1"	"ANXA11"	"BTK"	"CD244"	"C5AR1"	"AMIGO2"	"ARHGEF5"	"CCL5"	"CD3E"	"APOL3"	"AKR7A2"	"AIF1"	"CACNA1S"	"ANXA3"	"ANKRD40"
"ANXA3"	"FGFBP2"	"ANXA1"	"C3AR1"	"ANXA2"	"C3AR1"	"CD247"	"CSF2RB"	"ANXA7"	"BCAS2"	"CCR3"	"CD4"	"ARL8B"	"ANXA11"	"ANXA1"	"CASP10"	"AP2S1"	"ANXA11"
"AP1M2"	"KLRB1"	"ANXA5"	"CCR1"	"AP1B1"	"C8G"	"CHRNE"	"CSF3R"	"ARHGAP15"	"BIN2"	"CCR5"	"CD5"	"ATOX1"	"AP1B1"	"ARL8B"	"CD180"	"CALM1"	"ARHGAP6"
"ARG1"	"KLRD1"	"ARL8B"	"CCR3"	"AP1M2"	"CALB2"	"COQ10B"	"CXCR1"	"BAG3"	"C8G"	"CD244"	"CD7"	"ATP6V1D"	"ATP6V1D"	"ASGR2"	"CD19"	"CASP10"	"ARL1"
"BAIAP3"	"SIGIRR"	"BCL2A1"	"CD69"	"ARL8B"	"CASP10"	"CRTAM"	"CXCR2"	"BCAS2"	"CALM1"	"CD247"	"CISH"	"ATP6V1E1"	"BAIAP2"	"BTK"	"CD79B"	"CAV2"	"ASPA"
"BANK1"	""	"BIRC3"	"CDH19"	"ATG7"	"CD22"	"CST7"	"CYP4F3"	"CAPZB"	"CAPZB"	"CD300A"	"CTLA4"	"C1QA"	"C1QA"	"C3AR1"	"CEACAM21"	"CD9"	"C7"
"BCL11A"	""	"BLVRB"	"CEBPE"	"ATOX1"	"CD33"	"CX3CR1"	"FAM65B"	"CASP8"	"CASP8"	"CD96"	"CXCR6"	"C1QB"	"C1QB"	"C5AR1"	"CLCNKB"	"CEACAM21"	"CASS4"
"BCL2L10"	""	"C1QA"	"CSF2RB"	"ATP6V1D"	"CD84"	"CXCR6"	"FCAR"	"CCR9"	"CCDC25"	"CLIC1"	"IL10RA"	"C1QC"	"C1QC"	"CAPN3"	"COX6A2"	"CLIC1"	"CSF1"
"BLNK"	""	"C1QB"	"DPEP2"	"ATP6V1E1"	"DR1"	"DR1"	"FCGR3B"	"CD226"	"CCL5"	"CST7"	"IPCEF1"	"C3AR1"	"CD4"	"CAPNS1"	"CRYBB1"	"COX7A2L"	"CYBA"
"BMP3"	""	"C3AR1"	"DPEP3"	"BAG3"	"ESYT1"	"EOMES"	"FPR1"	"CD247"	"CCR5"	"CTLA4"	"ITGB7"	"CCL22"	"CD52"	"CAST"	"CUL7"	"CSF2RB"	"DCTD"
"BTK"	""	"CAMK1G"	"FBXO40"	"BAIAP2"	"HPGDS"	"GZMK"	"FPR2"	"CD2AP"	"CD244"	"CXCR6"	"ITK"	"CCL5"	"CEPT1"	"CD244"	"CYBA"	"CTNNA1"	"DPT"
"CACNA1F"	""	"CARD9"	"FOSB"	"BCAT1"	"IL1B"	"HIPK1"	"G0S2"	"CD37"	"CD247"	"DR1"	"LCK"	"CCR1"	"CYFIP1"	"CD300C"	"CYP11A1"	"DYNC1LI2"	"ETF1"
"CALY"	""	"CCL17"	"GALC"	"BCL2A1"	"KCNJ5"	"IGFBP5"	"HBB"	"CD3E"	"CD300A"	"FEZ1"	"RGS1"	"CD300C"	"EFR3A"	"CD33"	"DOK3"	"DYNLL1"	"FMO2"
"CAPN3"	""	"CCL22"	"GPR183"	"BHLHE41"	"LCP2"	"IL12RB2"	"HCK"	"CD4"	"CD3E"	"GPI"	"SIT1"	"CD40"	"FCGR3A"	"CD37"	"DRD5"	"DYRK1B"	"FTL"
"CASQ2"	""	"CCL5"	"GPR65"	"C1QA"	"LINC01140"	"IL18R1"	"HERC3"	"CD5"	"CD7"	"GRAP2"	"SKAP1"	"CD84"	"FGR"	"CD4"	"GP9"	"ECHS1"	"GREM1"
"CCL17"	""	"CCR5"	"KBTBD11"	"C1QB"	"LTC4S"	"IL18RAP"	"HSPA6"	"CD52"	"CD8A"	"GYG1"	"TULP4"	"CSF1"	"FTL"	"CEACAM4"	"GPRC5D"	"EIF3K"	"GSTM5"
"CCR9"	""	"CD2AP"	"KCNA5"	"C1QC"	"LYL1"	"KANK2"	"IL18RAP"	"CD6"	"CD8B"	"GZMK"	""	"CSF1R"	"GORASP1"	"CEPT1"	"GUCA1A"	"ELOVL1"	"HPS1"
"CD180"	""	"CD300C"	"LRMP"	"C3AR1"	"MAOB"	"KLRB1"	"LILRA1"	"CD69"	"CD96"	"HIVEP3"	""	"CYBB"	"GPD1"	"CLEC5A"	"HSPA6"	"F11R"	"HSPB6"
"CD19"	""	"CD86"	"MBOAT7"	"C5AR1"	"MBOAT7"	"KLRD1"	"LILRA2"	"CD7"	"CDC14A"	"HMOX2"	""	"CYFIP1"	"GSTO1"	"CLEC7A"	"IGF1"	"FAM107A"	"HSPB7"
"CD22"	""	"CD9"	"MOG"	"CCL22"	"MPO"	"LDB3"	"LILRB2"	"CD96"	"CEPT1"	"HSPB11"	""	"EBI3"	"GUCA1A"	"CLIP1"	"ISCU"	"FEZ2"	"ICMT"
"CD37"	""	"CH25H"	"MYO15B"	"CCR1"	"OSBPL9"	"MPPED1"	"LST1"	"CDC14A"	"COL5A3"	"IL12RB1"	""	"FCER1G"	"HAMP"	"CSF1R"	"KCNQ4"	"GIMAP4"	"ISLR"
"CD53"	""	"CLEC7A"	"MYO3A"	"CD164"	"P2RX1"	"PDLIM4"	"MEFV"	"CEPT1"	"CRTAM"	"IL18RAP"	""	"FCGR3A"	"HCK"	"CSF3R"	"LEFTY2"	"GIMAP6"	"JAK3"
"CD55"	""	"CLIC2"	"NCF2"	"CD300C"	"PABPC4"	"PLCG2"	"MNDA"	"CLIP1"	"CST7"	"INPP4A"	""	"FPR2"	"HPS1"	"CX3CR1"	"LMAN1L"	"GNB1"	"KDELR1"
"CD69"	""	"CLIP1"	"NPY2R"	"CD52"	"PPM1H"	"PRDM2"	"NCF2"	"CMPK1"	"CX3CR1"	"ITGAL"	""	"FTL"	"HRH1"	"CXCR2"	"NPAS1"	"GPN2"	"KRT19"
"CD79B"	""	"CSF1R"	"RASL12"	"CD68"	"PPP3R1"	"PRDX6"	"NMI"	"COL5A3"	"CXCR6"	"ITGB7"	""	"GPD1"	"ITGAX"	"CYBB"	"NPPC"	"GSDMD"	"LGALS1"
"CEACAM21"	""	"CXCL16"	"RGS1"	"CD84"	"PRKAR1A"	"PRX"	"NRBF2"	"CTLA4"	"CYTH4"	"ITK"	""	"HAMP"	"ITGB5"	"DENND1A"	"PABPC4"	"GYG1"	"LTBR"
"CEPT1"	""	"CYTH4"	"RNASE2"	"CD9"	"PTGDR"	"PTGDR"	"P2RY13"	"CXCR6"	"DDX24"	"KLRB1"	""	"HCK"	"KCNJ1"	"DNAH17"	"PICK1"	"HHIP"	"LTC4S"
"CHAD"	""	"DENND1A"	"SAMSN1"	"CEPT1"	"PTGS1"	"RRAD"	"PADI4"	"DDX24"	"DLEC1"	"LCP2"	""	"HSPB7"	"KCNJ5"	"DOK3"	"POMC"	"HSPB11"	"MGMT"
"CHP2"	""	"DPYS"	"SIGLEC8"	"CHI3L1"	"RENBP"	"SACM1L"	"S100A12"	"DLEC1"	"DMWD"	"MRPS15"	""	"IGSF6"	"KCNK13"	"DPEP2"	"PRX"	"HTATIP2"	"MGST3"
"CIITA"	""	"EBI3"	"TACSTD2"	"CLEC5A"	"SAMSN1"	"SAMD3"	"SIGLEC5"	"DNAH6"	"DNAJB1"	"NCDN"	""	"IL10"	"LAIR1"	"ETF1"	"RGS1"	"HTR1B"	"MYOF"
"CLCA4"	""	"EIF5"	"TIPARP"	"CLIP1"	"SERINC3"	"SEPT7"	"TECPR2"	"DNAJB1"	"EOMES"	"NFKBIB"	""	"IL17RA"	"LAMP1"	"FBXL5"	"SLC6A13"	"ITGA9"	"NFATC4"
"COX6A2"	""	"ENO1"	"TRPM6"	"COL8A2"	"SIGLEC8"	"SERPINB9"	"TMEM185B"	"DPEP2"	"FYCO1"	"NMT1"	""	"IRF8"	"LILRA2"	"FCAR"	"TMEM59"	"ITGB1BP1"	"NPTN"
"CPA2"	""	"FCER1G"	""	"COLEC12"	"SYPL1"	"SH2D1B"	"TREM1"	"DR1"	"GIMAP4"	"POP4"	""	"ITGB1BP1"	"LILRB4"	"FCER1G"	"TNFRSF13B"	"KIF17"	"PAMR1"
"CPB1"	""	"FGL2"	""	"CPNE6"	"TAL1"	"SPN"	"TRPM6"	"ESYT1"	"GIMAP6"	"PPID"	""	"ITGB5"	"LONRF3"	"FGL2"	"USP48"	"KRT19"	"PAPPA2"
"CR2"	""	"GFRA2"	""	"CRYBB1"	"TEC"	"TINAGL1"	"VNN2"	"FAM65B"	"GJC2"	"PSMC4"	""	"KCNJ1"	"LY86"	"FGR"	"VPREB3"	"LAMP1"	"PCDHGA11"
"DPEP3"	""	"GNG5"	""	"CSF1"	"USP48"	"TRPV6"	"ZDHHC18"	"FRYL"	"GPR65"	"PTP4A2"	""	"KCNJ5"	"MERTK"	"FPR1"	"VSX1"	"LGALS1"	"PODNL1"
