"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"BANK1"	"CTSW"	"BCL2A1"	"BCL2A1"	"ATG7"	"CCL4"	"CCL4"	"BCL2A1"	"ACAP1"	"BIN2"	"CCL1"	"CCR3"	"CCL1"	"AIF1"	"AIF1"	"AMPD1"	"CD93"	"ABCA6"
"BLK"	"GZMA"	"BIRC3"	"CAMP"	"BCL2A1"	"CD84"	"CCR5"	"C5AR1"	"AIM2"	"CCL4"	"CCL4"	"CCR7"	"CCL19"	"CAMP"	"C5AR1"	"CAMP"	"CDH5"	"ASPN"
"BLNK"	"GZMB"	"CCL1"	"CCL4"	"BHLHE41"	"CXCL3"	"CD160"	"CLEC4E"	"ARHGAP15"	"CCR5"	"CCR2"	"CD2"	"CCL22"	"CFP"	"CCR2"	"CD19"	"EMCN"	"COL14A1"
"CCL17"	"GZMH"	"CCL17"	"CCR1"	"C5AR1"	"KLRG1"	"CD2"	"CSF2RB"	"BATF"	"CCR7"	"CCR3"	"CD247"	"CCL24"	"CLEC10A"	"CD1E"	"CD27"	"ERG"	"COL3A1"
"CD19"	"KLRB1"	"CCL19"	"CCR3"	"CAMP"	"LCP2"	"CD244"	"CSF3R"	"CCL4"	"CD160"	"CCR5"	"CD27"	"CCL4"	"CLEC4A"	"CD244"	"CD38"	"KDR"	"DCN"
"CD1A"	"KLRD1"	"CCL22"	"CD69"	"CCL1"	"MMP9"	"CD247"	"CXCR1"	"CCR2"	"CD2"	"CD160"	"CD37"	"CCR1"	"FGR"	"CD37"	"CD79A"	"PCDH12"	"GREM1"
"CD1C"	"KLRF1"	"CCL24"	"CSF2RB"	"CCL19"	"PTGDR"	"CRTAM"	"CXCR2"	"CCR7"	"CD244"	"CD2"	"CD3E"	"CCR7"	"HCK"	"CFP"	"CD79B"	"RAMP3"	"ISLR"
"CD37"	"KLRK1"	"CCL4"	"DPEP2"	"CCL22"	"SAMSN1"	"CST7"	"FAM65B"	"CD2"	"CD247"	"CD244"	"CD5"	"CD38"	"HLA-DQA1"	"CLEC10A"	"CYBA"	"TFEC"	"ITIH3"
"CD53"	"NKG7"	"CCR2"	"EMR3"	"CCL24"	"STAP1"	"CTSW"	"FCAR"	"CD247"	"CD27"	"CD247"	"CD7"	"CD40"	"ITGAX"	"CLEC4A"	"DOK3"	""	"LMOD1"
"CD69"	"PRF1"	"CCR5"	"FCER1A"	"CCR1"	""	"CX3CR1"	"FCGR3B"	"CD27"	"CD300A"	"CD300A"	"CISH"	"CD80"	"LILRA2"	"CLEC4E"	"ENTPD1"	""	"SGCD"
