"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"ACTN2"	"APBA2"	"ACOT9"	"ADAM18"	"ACP2"	"AMHR2"	"ALDH1B1"	"AQP9"	"ADSL"	"APBA2"	"ASCC1"	"CCR3"	"ACP2"	"ACP2"	"AIF1"	"CAV1"	"ACTR1A"	"ADAMTS12"
"ADAMTS12"	"CD8A"	"ACP5"	"ADORA3"	"ACP5"	"BTK"	"BCL2"	"BCL2A1"	"AIM2"	"BIN2"	"ATP8B4"	"CD2"	"BLVRA"	"ACP5"	"BTK"	"CD180"	"ACVRL1"	"AMOTL2"
"AICDA"	"KLRD1"	"ADPRH"	"BCL2A1"	"AQP8"	"C3AR1"	"CCL5"	"C5AR1"	"AMIGO2"	"CAPZB"	"CCL5"	"CD27"	"C1QA"	"AIF1"	"C3AR1"	"CD19"	"AP2M1"	"AP2M1"
"ALOX15B"	"KLRF1"	"ALOX15B"	"C3AR1"	"ARSB"	"CD22"	"CCR5"	"CAMKK2"	"ARHGAP15"	"CCL5"	"CCR2"	"CD37"	"C1QB"	"AQP8"	"C5AR1"	"CD27"	"ARL2BP"	"ASPN"
"AQP8"	""	"ANPEP"	"CCL23"	"BCAT1"	"CD33"	"CD2"	"CD93"	"CAPZB"	"CCR5"	"CCR3"	"CD3D"	"C1QC"	"ARSB"	"CAMKK2"	"CD38"	"BCL6B"	"COL14A1"
"AZU1"	""	"ANXA5"	"CCR1"	"BCL2A1"	"CD84"	"CRTAM"	"CLEC4E"	"CCR2"	"CD2"	"CCR5"	"CD3E"	"C3AR1"	"C1QA"	"CCR2"	"CD79B"	"CAPN11"	"COL1A1"
"BACH2"	""	"BCL2A1"	"CCR3"	"BLVRA"	"DCLRE1B"	"CXCR6"	"CRISPLD2"	"CD2"	"CD27"	"CD101"	"CD4"	"CCL18"	"C1QB"	"CD101"	"CELA2B"	"CAV1"	"COL3A1"
"BTK"	""	"BLVRA"	"CD101"	"C1QA"	"HPGDS"	"GZMK"	"CSF2RB"	"CD27"	"CD300A"	"CD2"	"CTLA4"	"CCL19"	"C1QC"	"CD163"	"CLCNKB"	"CAV2"	"COL6A1"
"CCL17"	""	"C1QA"	"CDH19"	"C1QB"	"KCNJ5"	"IGFBP5"	"CSF3R"	"CD37"	"CD3D"	"CD300A"	"CXCR6"	"CCL5"	"CCL18"	"CD300C"	"DOK3"	"CD9"	"COL6A2"
"CD180"	""	"C1QB"	"CEBPE"	"C1QC"	"LCP2"	"IL21R"	"CXCR2"	"CD3D"	"CD3E"	"CD3D"	"FOXP3"	"CCL7"	"CCL23"	"CD33"	"ENTPD1"	"CD93"	"CORIN"
