"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"BACH2"	"CTSW"	"BCL2A1"	"BCL2A1"	"AGPS"	"AGPS"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"BCL11B"	"APOBEC3G"	"CCR3"	"AGPS"	"AIF1"	"AIF1"	"AMPD1"	"CHST12"	"CSF1"
"BCL11A"	"DUSP2"	"BIRC3"	"CAMP"	"BCL2A1"	"CCL4"	"CCL4"	"C5AR1"	"AIM2"	"BIN2"	"CCL4"	"CCR7"	"CCL19"	"CAMP"	"C5AR1"	"CAMP"	"CSF2RB"	"CYBA"
"BLK"	"FGFBP2"	"CCDC88A"	"CCL4"	"BHLHE41"	"CD84"	"CCR5"	"CLEC4E"	"ARHGAP15"	"CCL4"	"CCR2"	"CD2"	"CCL22"	"CCDC88A"	"CCR2"	"CCDC88A"	"ENTPD1"	"JAK3"
"CCL17"	"GZMA"	"CCL13"	"CCR1"	"C5AR1"	"CXCL3"	"CD160"	"CREB5"	"BATF"	"CCR5"	"CCR3"	"CD247"	"CCL4"	"CCL13"	"CD1E"	"CD19"	"GIMAP4"	"MMP19"
"CD19"	"GZMH"	"CCL17"	"CCR3"	"CAMP"	"KLRG1"	"CD2"	"CSF2RB"	"BCL11B"	"CCR7"	"CCR5"	"CD27"	"CCR1"	"CFP"	"CD244"	"CD27"	"GIMAP6"	""
"CD1A"	"KLRB1"	"CCL19"	"CD69"	"CCDC88A"	"LCP2"	"CD244"	"CSF3R"	"CCL4"	"CD160"	"CD160"	"CD37"	"CCR7"	"CLEC10A"	"CD37"	"CD38"	"IL3RA"	""
"CD1C"	"KLRD1"	"CCL22"	"CSF2RB"	"CCL19"	"MMP9"	"CD247"	"CXCR1"	"CCR2"	"CD2"	"CD2"	"CD3E"	"CD38"	"CLEC4A"	"CFP"	"CD79A"	"PPM1F"	""
"CD37"	"KLRF1"	"CCL4"	"DEFA4"	"CCL22"	"PTGDR"	"CRTAM"	"CXCR2"	"CCR7"	"CD247"	"CD244"	"CD5"	"CD40"	"FGR"	"CLEC10A"	"CD79B"	"STAB1"	""
"CD53"	"KLRK1"	"CCR2"	"DPEP2"	"CCR1"	"SAMSN1"	"CST7"	"FAM65B"	"CD2"	"CD27"	"CD247"	"CD7"	"CD84"	"HCK"	"CLEC4A"	"CYBA"	"TFEC"	""
"CD69"	"NKG7"	"CCR5"	"EMR3"	"CD84"	"STAP1"	"CTSW"	"FCAR"	"CD247"	"CD300A"	"CD300A"	"CISH"	"CLEC4E"	"HLA-DQA1"	"CLEC4E"	"ENTPD1"	""	""
"CD79A"	"RORA"	"CCR7"	"FCER1A"	"CHI3L1"	""	"CX3CR1"	"FCGR3B"	"CD27"	"CD3E"	"CD96"	"CTLA4"	"CSF1"	"ITGAX"	"CLEC7A"	"FCRL2"	""	""
"CD79B"	"RUNX3"	"CD1A"	"GMIP"	"CLEC4E"	""	"CXCR6"	"FPR1"	"CD37"	"CD3G"	"CHST12"	"CXCR6"	"CSF1R"	"LILRA2"	"CSF1R"	"IRF4"	""	""
"CR1"	""	"CD1B"	"GPR183"	"CSF1"	""	"FASLG"	"FPR2"	"CD3E"	"CD7"	"CST7"	"FAIM3"	"CXCL9"	"MMP19"	"CSF3R"	"KIAA0125"	""	""
"FAIM3"	""	"CD1C"	"GPR65"	"CSF1R"	""	"GZMA"	"HCK"	"CD3G"	"CD8B"	"CTLA4"	"GPR171"	"CYBB"	"MMP9"	"CX3CR1"	"PNOC"	""	""
"FAM65B"	""	"CD1E"	"LRMP"	"CXCL5"	""	"GZMB"	"HPSE"	"CD5"	"CD96"	"CXCR6"	"HS3ST3B1"	"EBI3"	"MS4A6A"	"CXCR2"	"RGS1"	""	""
"FCAR"	""	"CD209"	"MMP25"	"CXCL9"	""	"GZMH"	"IL18RAP"	"CD6"	"CHST12"	"FASLG"	"ICOS"	"FPR2"	"NAGPA"	"CYBB"	"TNFRSF17"	""	""
"FCRL2"	""	"CD86"	"NCF2"	"CYBA"	""	"GZMK"	"LILRA1"	"CD69"	"CRTAM"	"GMIP"	"IL10RA"	"FPR3"	"NCF2"	"DPEP2"	"ZBP1"	""	""
"GMIP"	""	"CLEC10A"	"RARA"	"CYBB"	""	"GZMM"	"LILRA2"	"CD7"	"CST7"	"GPR15"	"IL2RA"	"HCK"	"NCKAP1L"	"FCAR"	""	""	""
"GNG7"	""	"CLEC4A"	"RGS1"	"FGR"	""	"IFNG"	"LILRB2"	"CD96"	"CTSW"	"GPR171"	"IL2RB"	"IDO1"	"NPL"	"FCER1A"	""	""	""
