"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"BANK1"	"CTSW"	"ALOX15"	"ALOX15"	"C5AR1"	"CCL4"	"APOBEC3G"	"C5AR1"	"ACAP1"	"ARPC5L"	"APOBEC3G"	"CCR3"	"CCL1"	"AIF1"	"AIF1"	"AMPD1"	"CD93"	"COL14A1"
"BCL11A"	"DUSP2"	"BIRC3"	"CCL4"	"CCL1"	"CD84"	"ARPC5L"	"CLC"	"AIM2"	"BCL11B"	"ARPC5L"	"CCR7"	"CCL19"	"CCL8"	"C5AR1"	"CD19"	"CDH5"	"COL3A1"
"BLK"	"EOMES"	"CCL1"	"CCR1"	"CCL19"	"CXCL3"	"CCL4"	"CLEC4E"	"ARHGAP15"	"BIN2"	"CCL1"	"CD2"	"CCL22"	"CFP"	"CCR2"	"CD27"	"ERG"	"DCN"
"BLNK"	"GZMA"	"CCL17"	"CCR3"	"CCL22"	"KLRG1"	"CCR5"	"CSF2RB"	"BATF"	"CCL4"	"CCL4"	"CD247"	"CCL24"	"CLEC10A"	"CD1E"	"CD38"	"PCDH12"	"GREM1"
"CCL17"	"GZMB"	"CCL19"	"CD69"	"CCL24"	"LCP2"	"CD160"	"CSF3R"	"BCL11B"	"CCR5"	"CCR2"	"CD27"	"CCL4"	"CLEC4A"	"CD244"	"CD79A"	"RAMP3"	"ISLR"
"CD19"	"GZMH"	"CCL22"	"CLC"	"CCL8"	"MMP9"	"CD2"	"CXCR1"	"CCL4"	"CCR7"	"CCR3"	"CD37"	"CCL8"	"FGR"	"CD37"	"CD79B"	"TFEC"	"ITIH3"
"CD1A"	"KLRB1"	"CCL24"	"CSF2RB"	"CCR1"	"PTGDR"	"CD244"	"CXCR2"	"CCR2"	"CD160"	"CCR5"	"CD3E"	"CCR1"	"HCK"	"CFP"	"CYBA"	""	"LMOD1"
"CD1C"	"KLRD1"	"CCL4"	"DEFA4"	"CD80"	"SAMSN1"	"CD247"	"FCAR"	"CCR7"	"CD2"	"CD160"	"CD5"	"CCR7"	"HLA-DQA1"	"CLEC10A"	"DOK3"	""	"WISP1"
"CD37"	"KLRF1"	"CCL8"	"DPEP2"	"CD84"	"STAP1"	"CRTAM"	"FPR1"	"CD2"	"CD244"	"CD2"	"CD7"	"CD38"	"ITGAX"	"CLEC4A"	"ENTPD1"	""	"WNT2"
"CD53"	"KLRK1"	"CCR2"	"EMR3"	"CHI3L1"	""	"CST7"	"FPR2"	"CD247"	"CD247"	"CD244"	"CISH"	"CD40"	"LILRA2"	"CLEC4E"	"FCRL2"	""	""
"CD69"	"NKG7"	"CCR5"	"FCER1A"	"CLEC4E"	""	"CTSW"	"HCK"	"CD27"	"CD27"	"CD247"	"CTLA4"	"CD80"	"MMP9"	"CLEC5A"	"GPRC5D"	""	""
"CD79A"	"PRF1"	"CCR7"	"GMIP"	"CLEC5A"	""	"CX3CR1"	"HPSE"	"CD37"	"CD300A"	"CD300A"	"CXCR6"	"CD84"	"MS4A6A"	"CLEC7A"	"KIAA0125"	""	""
"CD79B"	"RORA"	"CD1A"	"GPR183"	"CSF1"	""	"CXCR6"	"IL18RAP"	"CD3E"	"CD3E"	"CD96"	"FAIM3"	"CLEC4E"	"NCF2"	"CSF1R"	"PNOC"	""	""
"CD80"	""	"CD1B"	"GPR65"	"CSF1R"	""	"EOMES"	"LILRA1"	"CD3G"	"CD3G"	"CST7"	"GPR171"	"CSF1"	"NCKAP1L"	"CSF3R"	"TNFRSF17"	""	""
"CR1"	""	"CD1C"	"LRMP"	"CXCL5"	""	"FASLG"	"LILRA2"	"CD5"	"CD7"	"CTLA4"	"HS3ST3B1"	"CSF1R"	"NPL"	"CX3CR1"	"VPREB3"	""	""
"FAIM3"	""	"CD1E"	"MMP25"	"CXCL9"	""	"GZMA"	"LILRB2"	"CD6"	"CD8B"	"CXCR6"	"ICOS"	"CXCL10"	"PDCD1LG2"	"CXCR2"	"ZBP1"	""	""
"FCAR"	""	"CD209"	"NCF2"	"CYBA"	""	"GZMB"	"LST1"	"CD69"	"CD96"	"FASLG"	"IL10RA"	"CXCL11"	"PILRA"	"CYBB"	""	""	""
"FCRL2"	""	"CD80"	"RNASE2"	"CYBB"	""	"GZMH"	"MEFV"	"CD7"	"CRTAM"	"GMIP"	"IL2RA"	"CXCL9"	"RNASE6"	"DOK3"	""	""	""
"GMIP"	""	"CD86"	"SAMSN1"	"FGR"	""	"GZMK"	"MMP25"	"CD96"	"CST7"	"GPR15"	"IL2RB"	"CYBB"	"SLAMF8"	"DPEP2"	""	""	""
"GPR18"	""	"CLEC10A"	"THBS1"	"FPR2"	""	"GZMM"	"MNDA"	"CLC"	"CTSW"	"GPR171"	"ITGB7"	"EBI3"	"SLC15A3"	"FCAR"	""	""	""
"GPRC5D"	""	"CLEC4A"	""	"FPR3"	""	"IFNG"	"NCF2"	"CTLA4"	"CX3CR1"	"GPR68"	"ITK"	"FPR2"	"TFEC"	"FCER1A"	""	""	""
"HLA-DOB"	""	"CLEC7A"	""	"GRB2"	""	"IL18RAP"	"NMI"	"CTSW"	"CXCR6"	"GZMA"	"LCK"	"FPR3"	"TREM2"	"FCN1"	""	""	""
"HLA-DQA1"	""	"CLIC2"	""	"HK3"	""	"IL2RB"	"P2RY13"	"CXCR6"	"CYTH4"	"GZMB"	"PIK3IP1"	"HCK"	""	"FGL2"	""	""	""
"IL12B"	""	"CSF1R"	""	"IGSF6"	""	"KIR2DL3"	"S100A12"	"DPEP2"	"EOMES"	"GZMH"	""	"HK3"	""	"FGR"	""	""	""
"IL4R"	""	"CXCL10"	""	"IL12B"	""	"KIR2DL4"	"TNFRSF10C"	"FAIM3"	"FAIM3"	"GZMK"	""	"IDO1"	""	"FPR1"	""	""	""
"IRF8"	""	"CXCL9"	""	"ITGAX"	""	"KIR3DL1"	"VNN2"	"FCN1"	"FASLG"	"IFNG"	""	"IGSF6"	""	"FPR2"	""	""	""
"KIAA0125"	""	"CYTH4"	""	"LILRA2"	""	"KLRB1"	"ZDHHC18"	"GIMAP4"	"GIMAP4"	"IL18RAP"	""	"IL12B"	""	"GPR183"	""	""	""
"LILRB1"	""	"EBI3"	""	"LILRB1"	""	"KLRD1"	""	"GIMAP6"	"GIMAP6"	"IL2RA"	""	"IRF8"	""	"HCK"	""	""	""
"LY9"	""	"FCER1A"	""	"MMP9"	""	"KLRF1"	""	"GPR132"	"GPR15"	"IL2RB"	""	"LILRB1"	""	"HK3"	""	""	""
"MEFV"	""	"FGL2"	""	"MS4A6A"	""	"KLRG1"	""	"GPR15"	"GPR171"	"ITGAL"	""	"NECAP2"	""	"IL10RA"	""	""	""
