"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"ABCB4"	"APOL3"	"ABCA6"	"ADORA3"	"ACP5"	"ABCC4"	"APOBEC3G"	"AQP9"	"ABCD2"	"ABCD2"	"ABCD2"	"CCR4"	"ACTR3"	"ACP5"	"AIF1"	"AMPD1"	"ANXA2"	"ABCA6"
"ADAMDEC1"	"CD8A"	"ACP5"	"ALOX15"	"ACTR3"	"ADCYAP1"	"CCL4"	"BCL2A1"	"ACAP1"	"BCL11B"	"APOBEC3G"	"CCR7"	"ADAMDEC1"	"ADAMDEC1"	"ASGR2"	"BFSP2"	"ART4"	"ADH1B"
"AICDA"	"CTSW"	"ACTR3"	"BCL2A1"	"ADAMDEC1"	"BTK"	"CCL5"	"BST1"	"AIM2"	"BIN2"	"ARPC2"	"CCR8"	"ANXA2"	"AIF1"	"BTK"	"CD180"	"BMP6"	"ASPN"
"ART4"	"DUSP2"	"ADPRH"	"C3AR1"	"ANXA2"	"C3AR1"	"CCR5"	"C5AR1"	"ANKRD55"	"CCL4"	"ATP8B4"	"CD2"	"APOL3"	"ARSB"	"C3AR1"	"CD19"	"CCDC90B"	"C7"
"BLK"	"EOMES"	"ALOX15"	"CCL23"	"ARSB"	"CCL4"	"CD2"	"CASP5"	"ARHGAP15"	"CCL5"	"CCL4"	"CD247"	"C1QA"	"C1QA"	"C5AR1"	"CD38"	"CEACAM21"	"CASS4"
"BTK"	"GNLY"	"ANPEP"	"CCL4"	"ATG7"	"CD33"	"CD244"	"CEACAM3"	"BATF"	"CCR5"	"CCL5"	"CD28"	"C1QB"	"C1QB"	"CASP5"	"CD79A"	"CSF2RB"	"CCDC90B"
"CCL17"	"GZMA"	"BCL2A1"	"CCR1"	"BCAT1"	"CD84"	"CD247"	"CLEC4E"	"BCL11B"	"CCR7"	"CCR2"	"CD37"	"C1QC"	"C1QC"	"CCR2"	"CD79B"	"FEZ2"	"COL1A1"
"CCR6"	"GZMB"	"BIRC3"	"CD101"	"BCL2A1"	"CPA3"	"CRTAM"	"CRISPLD2"	"CCL4"	"CCR8"	"CCR5"	"CD3D"	"C3AR1"	"CCL13"	"CD101"	"CEACAM21"	"GIMAP4"	"COL3A1"
"CCR8"	"GZMH"	"C1QA"	"CD69"	"C1QA"	"CTSG"	"CST7"	"CSF2RB"	"CCR2"	"CD2"	"CD101"	"CD3E"	"CCL18"	"CCL18"	"CD163"	"CHST8"	"GYG1"	"COL6A2"
"CCR9"	"KLRB1"	"C1QB"	"CDH19"	"C1QB"	"CXCL3"	"CTSW"	"CSF3R"	"CCR4"	"CD244"	"CD2"	"CD4"	"CCL19"	"CCL23"	"CD1E"	"CRYBB1"	"HTR2B"	"CSF1"
"CD180"	"KLRD1"	"C3AR1"	"CSF2RB"	"C1QC"	"HDC"	"CXCR6"	"CXCR2"	"CCR6"	"CD247"	"CD244"	"CD5"	"CCL22"	"CCL8"	"CD244"	"DOK3"	"LYL1"	"DCN"
"CD19"	"KLRK1"	"CARD9"	"DPEP2"	"C3AR1"	"HPGDS"	"EOMES"	"FCAR"	"CCR7"	"CD28"	"CD247"	"CD7"	"CCL24"	"CD4"	"CD300C"	"FCRL2"	"LYVE1"	"DPT"
"CD1A"	"NKG7"	"CASP5"	"DRP2"	"C5AR1"	"IL1B"	"FASLG"	"FCGR3B"	"CCR8"	"CD300A"	"CD300A"	"CTLA4"	"CCL4"	"CD52"	"CD33"	"HAND2"	"NECAP2"	"EMILIN1"
"CD1C"	"PRF1"	"CCL13"	"FMO3"	"CCL18"	"KLRG1"	"FGF18"	"FPR1"	"CCR9"	"CD3D"	"CD3D"	"CXCR6"	"CCL5"	"CFP"	"CD37"	"HSPA6"	"PIK3CG"	"FAIM2"
"CD37"	"RUNX3"	"CCL17"	"GMIP"	"CCL19"	"KRT1"	"GNLY"	"FPR2"	"CD2"	"CD3E"	"CD40LG"	"FOXP3"	"CCL8"	"CLEC10A"	"CD4"	"IGF1"	"PNP"	"FGF7"
"CD53"	""	"CCL18"	"GPR183"	"CCL22"	"LAX1"	"GZMA"	"HCK"	"CD226"	"CD3G"	"CD96"	"GPR171"	"CCR1"	"CLEC4A"	"CD48"	"IRF4"	"RAB35"	"FMO2"
"CD69"	""	"CCL19"	"GPR65"	"CCL24"	"LCP2"	"GZMB"	"HSPA6"	"CD247"	"CD48"	"CST7"	"ICOS"	"CCR7"	"FCGR3A"	"CEACAM4"	"KIAA0125"	"RALA"	"GREM1"
