"Gene_Symbol"	"Cancer"
"ABCA6"	"ACC"
"ADAMTS5"	"ACC"
"AIF1"	"ACC"
"APBB1IP"	"ACC"
"ARHGAP28"	"ACC"
"ASPN"	"ACC"
"ATP8B4"	"ACC"
"BGN"	"ACC"
"BTK"	"ACC"
"C1QA"	"ACC"
"C1QB"	"ACC"
"C3AR1"	"ACC"
"CCR1"	"ACC"
"CD14"	"ACC"
"CD163"	"ACC"
"CD200"	"ACC"
"CD248"	"ACC"
"CD33"	"ACC"
"CD86"	"ACC"
"CD93"	"ACC"
"CDH5"	"ACC"
"CH25H"	"ACC"
"CLEC7A"	"ACC"
"COL10A1"	"ACC"
"COL14A1"	"ACC"
"COL1A2"	"ACC"
"COL3A1"	"ACC"
"COL6A3"	"ACC"
"COL8A2"	"ACC"
"COX7A1"	"ACC"
"CSF1R"	"ACC"
"CXCL12"	"ACC"
"CXCL9"	"ACC"
"ECM2"	"ACC"
"EGFL6"	"ACC"
"EMCN"	"ACC"
"ENPEP"	"ACC"
"ERG"	"ACC"
"F13A1"	"ACC"
"FASLG"	"ACC"
"FBLN2"	"ACC"
"FCGR2A"	"ACC"
"FCGR2B"	"ACC"
"FPR1"	"ACC"
"FRZB"	"ACC"
"GIMAP5"	"ACC"
"HDC"	"ACC"
"HGF"	"ACC"
"IGF1"	"ACC"
"IGSF6"	"ACC"
"IL1B"	"ACC"
"ISLR"	"ACC"
"ITGAM"	"ACC"
"ITGBL1"	"ACC"
"ITM2A"	"ACC"
"KDR"	"ACC"
"LMOD1"	"ACC"
"LRRC32"	"ACC"
"LY86"	"ACC"
"MAF"	"ACC"
"MS4A4A"	"ACC"
"MS4A6A"	"ACC"
"MSR1"	"ACC"
"OLFML1"	"ACC"
"OLFML2B"	"ACC"
"PAPPA"	"ACC"
"PCDH12"	"ACC"
"PDGFRB"	"ACC"
"PIK3R5"	"ACC"
"PLXDC1"	"ACC"
"PRKG1"	"ACC"
"PTGER3"	"ACC"
"RAMP3"	"ACC"
"RARRES2"	"ACC"
"RASGRP3"	"ACC"
"SAMSN1"	"ACC"
"SERPING1"	"ACC"
"SH2D1A"	"ACC"
"SIGLEC1"	"ACC"
"SP140"	"ACC"
"SPON2"	"ACC"
"SULF1"	"ACC"
"TCF21"	"ACC"
"TFEC"	"ACC"
"THBS2"	"ACC"
"TLR2"	"ACC"
"TLR7"	"ACC"
"TNN"	"ACC"
"TRAT1"	"ACC"
"VSIG4"	"ACC"
"ZFPM2"	"ACC"
"ABCA6"	"ACC"
"ADAMTS5"	"ACC"
"AIF1"	"ACC"
"APBB1IP"	"ACC"
"ARHGAP28"	"ACC"
"ASPN"	"ACC"
"ATP8B4"	"ACC"
"BGN"	"ACC"
"BTK"	"ACC"
"C1QA"	"ACC"
"C1QB"	"ACC"
"C3AR1"	"ACC"
"CCR1"	"ACC"
"CD14"	"ACC"
"CD163"	"ACC"
"CD200"	"ACC"
"CD248"	"ACC"
"CD33"	"ACC"
"CD86"	"ACC"
"CD93"	"ACC"
"CDH5"	"ACC"
"CH25H"	"ACC"
"CLEC7A"	"ACC"
"COL10A1"	"ACC"
"COL14A1"	"ACC"
"COL1A2"	"ACC"
"COL3A1"	"ACC"
"COL6A3"	"ACC"
"COL8A2"	"ACC"
"COX7A1"	"ACC"
"CSF1R"	"ACC"
"CXCL12"	"ACC"
"CXCL9"	"ACC"
"ECM2"	"ACC"
"EGFL6"	"ACC"
"EMCN"	"ACC"
"ENPEP"	"ACC"
"ERG"	"ACC"
"F13A1"	"ACC"
"FASLG"	"ACC"
"FBLN2"	"ACC"
"FCGR2A"	"ACC"
"FCGR2B"	"ACC"
"FPR1"	"ACC"
"FRZB"	"ACC"
"GIMAP5"	"ACC"
"HDC"	"ACC"
"HGF"	"ACC"
"IGF1"	"ACC"
"IGSF6"	"ACC"
"IL1B"	"ACC"
"ISLR"	"ACC"
"ITGAM"	"ACC"
"ITGBL1"	"ACC"
"ITM2A"	"ACC"
"KDR"	"ACC"
"LMOD1"	"ACC"
"LRRC32"	"ACC"
"LY86"	"ACC"
"MAF"	"ACC"
"MS4A4A"	"ACC"
"MS4A6A"	"ACC"
"MSR1"	"ACC"
"OLFML1"	"ACC"
"OLFML2B"	"ACC"
"PAPPA"	"ACC"
"PCDH12"	"ACC"
"PDGFRB"	"ACC"
"PIK3R5"	"ACC"
"PLXDC1"	"ACC"
"PRKG1"	"ACC"
"PTGER3"	"ACC"
"RAMP3"	"ACC"
"RARRES2"	"ACC"
"RASGRP3"	"ACC"
"SAMSN1"	"ACC"
"SERPING1"	"ACC"
"SH2D1A"	"ACC"
"SIGLEC1"	"ACC"
"SP140"	"ACC"
"SPON2"	"ACC"
"SULF1"	"ACC"
"TCF21"	"ACC"
"TFEC"	"ACC"
"THBS2"	"ACC"
"TLR2"	"ACC"
"TLR7"	"ACC"
"TNN"	"ACC"
"TRAT1"	"ACC"
"VSIG4"	"ACC"
"ZFPM2"	"ACC"
"ACTG2"	"BLCA"
"ADAM12"	"BLCA"
"ADAMTS5"	"BLCA"
"AIF1"	"BLCA"
"AOC3"	"BLCA"
"APBB1IP"	"BLCA"
"ASPN"	"BLCA"
"ATP8B4"	"BLCA"
"BGN"	"BLCA"
"BTK"	"BLCA"
"C1QA"	"BLCA"
"C1QB"	"BLCA"
"C3AR1"	"BLCA"
"CCR1"	"BLCA"
"CD14"	"BLCA"
"CD163"	"BLCA"
"CD200"	"BLCA"
"CD248"	"BLCA"
"CD33"	"BLCA"
"CD86"	"BLCA"
"CD93"	"BLCA"
"CDH5"	"BLCA"
"CH25H"	"BLCA"
"CILP"	"BLCA"
"CLEC7A"	"BLCA"
"COL10A1"	"BLCA"
"COL14A1"	"BLCA"
"COL15A1"	"BLCA"
"COL1A2"	"BLCA"
"COL3A1"	"BLCA"
"COL5A3"	"BLCA"
"COL6A3"	"BLCA"
"COL8A2"	"BLCA"
"COMP"	"BLCA"
"COX7A1"	"BLCA"
"CSF1R"	"BLCA"
"CXCL12"	"BLCA"
"CXCL9"	"BLCA"
"DCN"	"BLCA"
"DDR2"	"BLCA"
"DIO2"	"BLCA"
"ECM2"	"BLCA"
"EDIL3"	"BLCA"
"EDNRA"	"BLCA"
"EGFL6"	"BLCA"
"EMCN"	"BLCA"
"ENPEP"	"BLCA"
"ENPP2"	"BLCA"
"ERG"	"BLCA"
"F13A1"	"BLCA"
"FAP"	"BLCA"
"FASLG"	"BLCA"
"FBLN2"	"BLCA"
"FCGR2A"	"BLCA"
"FCGR2B"	"BLCA"
"FMO1"	"BLCA"
"FOXF1"	"BLCA"
"FPR1"	"BLCA"
"GIMAP5"	"BLCA"
"GREM1"	"BLCA"
"HDC"	"BLCA"
"HEPH"	"BLCA"
"HGF"	"BLCA"
"IGF1"	"BLCA"
"IGSF6"	"BLCA"
"IL18R1"	"BLCA"
"IL1B"	"BLCA"
"ISLR"	"BLCA"
"ITGAM"	"BLCA"
"ITGBL1"	"BLCA"
"ITIH3"	"BLCA"
"ITM2A"	"BLCA"
"KCNJ8"	"BLCA"
"LDB2"	"BLCA"
"LMOD1"	"BLCA"
"LRRC15"	"BLCA"
"LRRC32"	"BLCA"
"LUM"	"BLCA"
"LY86"	"BLCA"
"MAF"	"BLCA"
"MFAP5"	"BLCA"
"MMP3"	"BLCA"
"MS4A4A"	"BLCA"
"MS4A6A"	"BLCA"
"MSR1"	"BLCA"
"MXRA5"	"BLCA"
"NOX4"	"BLCA"
"OLFML1"	"BLCA"
"OLFML2B"	"BLCA"
"PAPPA"	"BLCA"
"PCDH12"	"BLCA"
"PDE2A"	"BLCA"
"PDGFRB"	"BLCA"
"PIK3R5"	"BLCA"
"PLXDC1"	"BLCA"
