"Gene"	"Cancer"
"2"	"A1BG"	"ACC"
"3"	"A1BG-AS1"	"ACC"
"4"	"A2M"	"ACC"
"5"	"A4GNT"	"ACC"
"6"	"ABCA6"	"ACC"
"7"	"ABCA9"	"ACC"
"8"	"ABCC6"	"ACC"
"9"	"ABCG2"	"ACC"
"10"	"ABHD12"	"ACC"
"11"	"ABHD5"	"ACC"
"12"	"ABI3"	"ACC"
"13"	"ABI3BP"	"ACC"
"14"	"ABTB1"	"ACC"
"15"	"ACAD8"	"ACC"
"16"	"ACAD9"	"ACC"
"17"	"ACAP1"	"ACC"
"18"	"ACAT1"	"ACC"
"19"	"ACE"	"ACC"
"20"	"ACER3"	"ACC"
"21"	"ACKR1"	"ACC"
"22"	"ACKR2"	"ACC"
"23"	"ACKR4"	"ACC"
"24"	"ACO1"	"ACC"
"25"	"ACOT11"	"ACC"
"26"	"ACOT13"	"ACC"
"27"	"ACP5"	"ACC"
"28"	"ACRBP"	"ACC"
"29"	"ACSL4"	"ACC"
"30"	"ACSL5"	"ACC"
"31"	"ACSM2A"	"ACC"
"32"	"ACSM2B"	"ACC"
"33"	"ACSM5"	"ACC"
"34"	"ACTA2"	"ACC"
"35"	"ACTB"	"ACC"
"36"	"ACTBL2"	"ACC"
"37"	"ACTL10"	"ACC"
"38"	"ACTR3C"	"ACC"
"39"	"ACVR1"	"ACC"
"40"	"ACVR2A"	"ACC"
"41"	"ACVRL1"	"ACC"
"42"	"ADAM15"	"ACC"
"43"	"ADAM28"	"ACC"
"44"	"ADAM6"	"ACC"
"45"	"ADAMDEC1"	"ACC"
"46"	"ADAMTS1"	"ACC"
"47"	"ADAMTS15"	"ACC"
"48"	"ADAMTSL2"	"ACC"
"49"	"ADAMTSL3"	"ACC"
"50"	"ADAMTSL4"	"ACC"
"51"	"ADAP2"	"ACC"
"52"	"ADARB2"	"ACC"
"53"	"ADCY4"	"ACC"
"54"	"ADCY7"	"ACC"
"55"	"ADCYAP1"	"ACC"
"56"	"ADGRA2"	"ACC"
"57"	"ADGRE1"	"ACC"
"58"	"ADGRE2"	"ACC"
"59"	"ADGRE3"	"ACC"
"60"	"ADGRE4P"	"ACC"
"61"	"ADGRF2"	"ACC"
"62"	"ADGRF4"	"ACC"
"63"	"ADGRF5"	"ACC"
"64"	"ADGRG3"	"ACC"
"65"	"ADGRG5"	"ACC"
"66"	"ADGRG6"	"ACC"
"67"	"ADGRL4"	"ACC"
"68"	"ADH1A"	"ACC"
"69"	"ADH1B"	"ACC"
"70"	"ADH1C"	"ACC"
"71"	"ADH4"	"ACC"
"72"	"ADH6"	"ACC"
"73"	"ADIRF"	"ACC"
"74"	"ADK"	"ACC"
"75"	"ADORA2A"	"ACC"
"76"	"ADORA3"	"ACC"
"77"	"ADPRH"	"ACC"
"78"	"ADRB1"	"ACC"
"79"	"ADRB2"	"ACC"
"80"	"ADRBK2"	"ACC"
"81"	"ADTRP"	"ACC"
"82"	"AEBP1"	"ACC"
"83"	"AFAP1L1"	"ACC"
"84"	"AFAP1L2"	"ACC"
"85"	"AFP"	"ACC"
"86"	"AGAP2"	"ACC"
"87"	"AGR2"	"ACC"
"88"	"AGTPBP1"	"ACC"
"89"	"AHNAK"	"ACC"
"90"	"AIF1"	"ACC"
"91"	"AIM1"	"ACC"
"92"	"AIM2"	"ACC"
"93"	"AKAP13"	"ACC"
"94"	"AKAP2"	"ACC"
"95"	"AKIP1"	"ACC"
"96"	"AKNA"	"ACC"
"97"	"AKR1A1"	"ACC"
"98"	"AKR1B10"	"ACC"
"99"	"AKR1B15"	"ACC"
"100"	"AKR1C1"	"ACC"
"101"	"AKT3"	"ACC"
"102"	"ALDH1A3"	"ACC"
"103"	"ALDH1L2"	"ACC"
"104"	"ALDH2"	"ACC"
"105"	"ALDH3B1"	"ACC"
"106"	"ALDH3B2"	"ACC"
"107"	"ALG3"	"ACC"
"108"	"ALOX5"	"ACC"
"109"	"ALOX5AP"	"ACC"
"110"	"ALPK2"	"ACC"
"111"	"ALPK3"	"ACC"
"112"	"AMIGO2"	"ACC"
"113"	"AMPD1"	"ACC"
"114"	"AMPD3"	"ACC"
"115"	"AMY1A"	"ACC"
"116"	"AMY2A"	"ACC"
"117"	"AMY2B"	"ACC"
"118"	"ANAPC11"	"ACC"
"119"	"ANAPC13"	"ACC"
"120"	"ANAPC15"	"ACC"
"121"	"ANGPT1"	"ACC"
"122"	"ANGPTL1"	"ACC"
"123"	"ANK2"	"ACC"
"124"	"ANKH"	"ACC"
"125"	"ANKRD22"	"ACC"
"126"	"ANKRD33"	"ACC"
"127"	"ANKRD35"	"ACC"
"128"	"ANKRD55"	"ACC"
"129"	"ANKUB1"	"ACC"
"130"	"ANO10"	"ACC"
"131"	"ANO2"	"ACC"
"132"	"ANO9"	"ACC"
"133"	"ANOS1"	"ACC"
"134"	"ANPEP"	"ACC"
"135"	"ANXA1"	"ACC"
"136"	"ANXA2"	"ACC"
"137"	"ANXA2P2"	"ACC"
"138"	"ANXA2R"	"ACC"
"139"	"ANXA3"	"ACC"
"140"	"ANXA4"	"ACC"
"141"	"ANXA9"	"ACC"
"142"	"AOAH"	"ACC"
"143"	"AP1B1"	"ACC"
"144"	"AP3B2"	"ACC"
"145"	"AP5B1"	"ACC"
"146"	"AP5S1"	"ACC"
"147"	"APBA1"	"ACC"
"148"	"APBB1IP"	"ACC"
"149"	"APBB2"	"ACC"
"150"	"APCDD1L"	"ACC"
"151"	"APEX2"	"ACC"
"152"	"APLNR"	"ACC"
"153"	"APOBEC3D"	"ACC"
"154"	"APOBEC3G"	"ACC"
"155"	"APOBEC3H"	"ACC"
"156"	"APOBR"	"ACC"
"157"	"APOC3"	"ACC"
"158"	"APOL1"	"ACC"
"159"	"APOL2"	"ACC"
"160"	"APOL3"	"ACC"
"161"	"APOL4"	"ACC"
"162"	"APOL6"	"ACC"
"163"	"APOLD1"	"ACC"
"164"	"APOO"	"ACC"
"165"	"AQP1"	"ACC"
"166"	"AQP7"	"ACC"
"167"	"AQP9"	"ACC"
"168"	"ARAP2"	"ACC"
"169"	"ARAP3"	"ACC"
"170"	"ARC"	"ACC"
"171"	"AREG"	"ACC"
"172"	"ARHGAP10"	"ACC"
"173"	"ARHGAP15"	"ACC"
"174"	"ARHGAP17"	"ACC"
"175"	"ARHGAP22"	"ACC"
"176"	"ARHGAP24"	"ACC"
"177"	"ARHGAP25"	"ACC"
"178"	"ARHGAP26"	"ACC"
"179"	"ARHGAP27"	"ACC"
"180"	"ARHGAP29"	"ACC"
"181"	"ARHGAP30"	"ACC"
"182"	"ARHGAP31"	"ACC"
"183"	"ARHGAP4"	"ACC"
"184"	"ARHGAP6"	"ACC"
"185"	"ARHGAP9"	"ACC"
"186"	"ARHGDIB"	"ACC"
"187"	"ARHGEF1"	"ACC"
"188"	"ARHGEF10L"	"ACC"
"189"	"ARHGEF15"	"ACC"
"190"	"ARHGEF17"	"ACC"
"191"	"ARHGEF2"	"ACC"
"192"	"ARHGEF26"	"ACC"
"193"	"ARHGEF28"	"ACC"
"194"	"ARHGEF35"	"ACC"
"195"	"ARHGEF5"	"ACC"
"196"	"ARID5A"	"ACC"
"197"	"ARL11"	"ACC"
"198"	"ARL4C"	"ACC"
"199"	"ARL5C"	"ACC"
"200"	"ARMC2"	"ACC"
"201"	"ARMC7"	"ACC"
"202"	"ARMC9"	"ACC"
"203"	"ARPC1B"	"ACC"
"204"	"ARRB1"	"ACC"
"205"	"ARRB2"	"ACC"
"206"	"ARRDC2"	"ACC"
"207"	"ARRDC5"	"ACC"
"208"	"ARSB"	"ACC"
"209"	"ARSI"	"ACC"
"210"	"ASAH1"	"ACC"
"211"	"ASB2"	"ACC"
"212"	"ASB9"	"ACC"
"213"	"ASCL2"	"ACC"
"214"	"ASGR2"	"ACC"
"215"	"ASPN"	"ACC"
"216"	"ATG3"	"ACC"
"217"	"ATG4C"	"ACC"
"218"	"ATG7"	"ACC"
"219"	"ATOH8"	"ACC"
"220"	"ATOX1"	"ACC"
"221"	"ATP1A4"	"ACC"
"222"	"ATP5E"	"ACC"
"223"	"ATP5EP2"	"ACC"
"224"	"ATP5F1"	"ACC"
"225"	"ATP5G3"	"ACC"
"226"	"ATP5H"	"ACC"
"227"	"ATP5L"	"ACC"
"228"	"ATP5O"	"ACC"
"229"	"ATP6V0E1"	"ACC"
"230"	"ATP6V1B2"	"ACC"
"231"	"ATP6V1F"	"ACC"
"232"	"ATP8B4"	"ACC"
"233"	"ATRIP"	"ACC"
"234"	"AURKAIP1"	"ACC"
"235"	"AVPR2"	"ACC"
"236"	"AXL"	"ACC"
"237"	"AZGP1"	"ACC"
"238"	"AZI2"	"ACC"
"239"	"B2M"	"ACC"
"240"	"B3GALT5-AS1"	"ACC"
"241"	"B3GAT1"	"ACC"
"242"	"B3GNT5"	"ACC"
"243"	"B3GNT8"	"ACC"
"244"	"B3GNTL1"	"ACC"
"245"	"B4GALT1"	"ACC"
"246"	"BAG1"	"ACC"
"247"	"BAG2"	"ACC"
"248"	"BANK1"	"ACC"
"249"	"BATF"	"ACC"
"250"	"BATF2"	"ACC"
"251"	"BATF3"	"ACC"
"252"	"BBOF1"	"ACC"
"253"	"BBOX1"	"ACC"
"254"	"BCAS1"	"ACC"
"255"	"BCAS4"	"ACC"
"256"	"BCHE"	"ACC"
"257"	"BCL2"	"ACC"
"258"	"BCL2A1"	"ACC"
"259"	"BCL2L14"	"ACC"
