"Gene Symbol"	"Disease Name"
"ACAP1"	"ACC"
"ADAP2"	"ACC"
"ADCY7"	"ACC"
"AIF1"	"ACC"
"AIM2"	"ACC"
"AKNA"	"ACC"
"ALOX5"	"ACC"
"AMICA1"	"ACC"
"AMPD1"	"ACC"
"APBB1IP"	"ACC"
"APOBEC3G"	"ACC"
"ARHGAP15"	"ACC"
"ARHGAP22"	"ACC"
"ARHGAP25"	"ACC"
"ARHGAP26"	"ACC"
"ARHGAP30"	"ACC"
"ARHGAP9"	"ACC"
"ARRB2"	"ACC"
"ATG7"	"ACC"
"BATF3"	"ACC"
"BATF"	"ACC"
"BCL2A1"	"ACC"
"BIN2"	"ACC"
"BIRC3"	"ACC"
"BLK"	"ACC"
"BLNK"	"ACC"
"BTLA"	"ACC"
"C10orf54"	"ACC"
"C11orf21"	"ACC"
"C13orf18"	"ACC"
"C1orf162"	"ACC"
"C1orf228"	"ACC"
"C1orf38"	"ACC"
"C5orf20"	"ACC"
"CAMK4"	"ACC"
"CAPG"	"ACC"
"CARD11"	"ACC"
"CASP1"	"ACC"
"CCDC88B"	"ACC"
"CCDC88C"	"ACC"
"CCL13"	"ACC"
"CCL17"	"ACC"
"CCL19"	"ACC"
"CCL24"	"ACC"
"CCL4"	"ACC"
"CCL8"	"ACC"
"CCR1"	"ACC"
"CCR2"	"ACC"
"CCR3"	"ACC"
"CCR5"	"ACC"
"CCR7"	"ACC"
"CD1A"	"ACC"
"CD1B"	"ACC"
"CD1C"	"ACC"
"CD1D"	"ACC"
"CD1E"	"ACC"
"CD209"	"ACC"
"CD244"	"ACC"
"CD247"	"ACC"
"CD274"	"ACC"
"CD27"	"ACC"
"CD2"	"ACC"
"CD300A"	"ACC"
"CD37"	"ACC"
"CD38"	"ACC"
"CD3D"	"ACC"
"CD3E"	"ACC"
"CD3G"	"ACC"
"CD40"	"ACC"
"CD44"	"ACC"
"CD53"	"ACC"
"CD5"	"ACC"
"CD69"	"ACC"
"CD6"	"ACC"
"CD79A"	"ACC"
"CD79B"	"ACC"
"CD7"	"ACC"
"CD80"	"ACC"
"CD84"	"ACC"
"CD86"	"ACC"
"CD8B"	"ACC"
"CD96"	"ACC"
"CECR1"	"ACC"
"CELF2"	"ACC"
"CHI3L1"	"ACC"
"CHST15"	"ACC"
"CISH"	"ACC"
