CD4_mature	CD8_effector	NK_cells	B_cells	T_regs	Dendritics	CD8_effector_NK_cells	Macrophages	Macrophages_M2	Macrophages_M1
IGFBP4	GZMK	NKG7	BANK1	IL2RA	NR4A3	NKG7	CD5L	HRH1	CD40
ITM2A	CD3E	GZMA	CD79A	FOXP3	HAVCR2	CCL5	FCGR3A	NPL	CXCL10
AMIGO2	CD3G	EOMES	CD55	CTLA4	KMO	KLRK1	ITGB5	PDCD1LG2	CXCL11
TRAT1	CXCR3	SAMD3	CD19	SLC35D1	DNASE1L3	CCR5	MERTK	RENBP	CXCL9
CD40LG	CD3D	TBX21	CD79B	GDPD3	ANPEP	CXCR6	PILRA	CFP	SLAMF1
ICOS	BCL11B	KLRK1	CXCR5	CISH	CXCL16	CRTAM	CCL8	C1QC	TNIP3
RCAN3	CD28	NCR1	FAIM3			GZMA	C1QC	C1QB	C1QC
	KLRG1	PLCG2				KLRG1	C1QB	C1QA	C1QB
	IL7R	STYK1				SERPINB9	C1QA	CD5L	C1QA
						EOMES		FCGR3A	CD5L
						SAMD3		ITGB5	FCGR3A
						IL12RB2		MERTK	ITGB5
						TBX21		PILRA	MERTK
						CHSY1		CCL8	PILRA
						PRF1			CCL8
						IL2RB			
						KLRD1			
						GZMK			
						IL18R1			
